"Name",0
"String","boolean"
"Lauri Ahlgren",
"Seth Allison",
"James Back",
"Richard Bangs",
"Vicent Boned",
"Dan Bonett",
"Javier Calvo",
"Maxime Cambier",
"Jerry Chi",
"Thea Chow",
"John Cipriani",
"Patrick Corander",
"Sean Cornejo",
"Rick Crane",
"Niko Derome",
"Jonathan Dower",
"Stefan Engblom",
"Visa Forsten",
"Laura Gilliland",
"Tommi Hakala",
"Ari Hamara",
"David Hart",
"Hrvoje Horbec",
"Drew Haycock",
"Chih-Han Hsu",
"Eino Joas",
"Janne Juhola",
"Lyosha Kalibin",
"Matias Kirvelä",
"Rene Kivioja",
"Jonas Koli",
"Rauli Laatikainen",
"Brice Laville Saint-Martin",
"Wook-Jin Lee",
"Ilkka Leino",
"Lassi Leppinen",
"Jani Lintunen",
"Julio Lopez",
"Matt Millwood",
"Dariya Nonezova",
"Ilya Pavlenkov",
"Taneli Oksama",
"Riku Rikala",
"Jere Sanisalo",
"Martin Schjøler",
"Jarno Seppänen",
"Steven Spencer",
"Timothy Smith",
"Petri Styrman",
"Antti Summala",
"Nora Swithenbank",
"Yusuke Taniura",
"Erol Tekkanat",
"Ewan Thonger",
"Wilhelm Tigerstedt",
"Tibor Toth",
"Jouni Utriainen",
"Jussi Viiri",
"Nadya Volchetskaya",
"Pavel Volkov",
"Tuomas Volotinen",
"Kustaa Vuori",
"Lauri Warsta",
"Chaohua Yuan",
"-",
"Mikko Hokkanen",
"Michael Gurman",
"Daniel Iosca",
"Kim Jensen",
"Mikko Lehtonen",
"Lasse Louhento",
"Antti Mattila",
"Douglas Portugal",
"Asko Puurula",
"Eric Reimer",
"Jannica Routamo",
"Hayato Sekiguchi",
"Ville Suur-Uski",
"Stijn Tops",
