"Name","CameraMode","CameraXOffset","CameraYOffset","EventTimeMS","EventType","EventParamInt1","EventParamInt2","EventParamString1"
"String","String","Int","Int","IntArray","StringArray","IntArray","IntArray","StringArray"
"Knight","Normal",,-1500,500,"Spawn",3500,13000,"Knight"
,,,,2500,"SpawnEnemy",7000,15000,"Musketeer"
,,,,10000,"Reset",,,
,,,,10250,"SpawnEnemy",3500,14000,"Knight"
,,,,10750,"KingCrying",,,
,,,,11000,"Spawn",5000,22000,"MiniPekka"
,,,,18000,"Reset",,,
"Archer","Normal",,-3000,500,"Spawn",1000,23000,"Archer"
,,,,500,"SpawnEnemy",2000,15000,"Minions"
,,,,9000,"KingCrying",,,
,,,,10000,"SpawnEnemy",4000,17000,"Knight"
,,,,15500,"Reset",,,
"Minions","Normal",,-3000,500,"Spawn",4000,20000,"Minions"
,,,,500,"SpawnEnemy",4000,15000,"Knight"
,,,,6500,"KingCrying",,,
,,,,7500,"SpawnEnemy",8000,10000,"Musketeer"
,,,,13000,"Reset",,,
"Arrows","Normal",,,500,"SpawnEnemy",10000,10000,"Archer"
,,,,2500,"Spawn",10000,12000,"Arrows"
,,,,4750,"SpawnEnemy",6000,10000,"Goblins"
,,,,5500,"Spawn",6000,12000,"Arrows"
,,,,7250,"SpawnEnemy",14000,15000,"SpearGoblins"
,,,,8500,"Spawn",14000,17500,"Arrows"
,,,,10500,"Reset",,,
,,,,11500,"Spawn",4000,15000,"MiniPekka"
,,,,13500,"SpawnEnemy",5000,13000,"Minions"
,,,,14250,"Spawn",5000,13000,"Arrows"
,,,,19000,"Reset",,,
"Giant","Normal",,-1000,500,"Spawn",3500,15000,"Giant"
,,,,3000,"Spawn",3500,15000,"Archer"
,,,,7000,"SpawnEnemy",4000,9000,"Minions"
,,,,15500,"Reset",,,
,,,,15500,"KingCrying",,,
,,,,15750,"SpawnEnemy",3500,14000,"Giant"
,,,,15750,"CameraOffset",1000,,
,,,,17000,"Spawn",6000,20000,"GoblinHut"
,,,,31000,"Reset",,,
"Musketeer","Normal",,-1000,500,"Spawn",7000,18000,"Musketeer"
,,,,1500,"SpawnEnemy",7000,14000,"SpearGoblins"
,,,,5500,"KingCrying",,,
,,,,6000,"SpawnEnemy",3500,14000,"MiniPekka"
,,,,11000,"Reset",,,
,,,,11000,"KingLaughing",,,
,,,,11250,"SpawnEnemy",10000,14000,"Giant"
,,,,11500,"Spawn",10000,20000,"Musketeer"
,,,,17500,"Spawn",11000,20000,"Minions"
,,,,26000,"Reset",,,
"MiniPekka","Normal",,-2500,500,"Spawn",14000,22000,"MiniPekka"
,,,,550,"SpawnEnemy",14000,14000,"Knight"
,,,,7500,"KingCrying",,,
,,,,8000,"SpawnEnemy",12000,10000,"SpearGoblins"
,,,,14500,"Reset",,,
,,,,14500,"KingLaughing",,,
,,,,14750,"SpawnEnemy",14000,14000,"Giant"
,,,,14750,"CameraOffset",,3000,
,,,,15750,"Spawn",14000,19000,"MiniPekka"
,,,,27000,"Reset",,,
"Fireball","Normal",,,500,"SpawnEnemy",10000,10000,"Archer"
,,,,1500,"Spawn",10000,11000,"Fireball"
,,,,4000,"SpawnEnemy",5000,4500,"Minions"
,,,,5500,"Spawn",5000,7500,"Fireball"
,,,,7500,"SpawnEnemy",12000,6000,"Goblins"
,,,,9000,"Spawn",13000,9500,"Fireball"
,,,,11500,"SpawnEnemy",0,0,"GoblinHut"
,,,,12000,"Spawn",2000,5000,"Fireball"
,,,,16000,"Reset",,,
"SkeletonArmy","Fixed",5000,16000,500,"Spawn",5000,21000,"SkeletonArmy"
,,,,1500,"SpawnEnemy",4000,14000,"HogRider"
,,,,5250,"SpawnEnemy",6000,14000,"BabyDragon"
,,,,5500,"KingCrying",,,
,,,,11000,"Reset",,,
,,,,11000,"KingLaughing",,,
,,,,11250,"SpawnEnemy",4000,14000,"Pekka"
,,,,15000,"Spawn",7000,19500,"SkeletonArmy"
,,,,25000,"Reset",,,
"Prince","Normal",,-3000,500,"Spawn",4000,14000,"Prince"
,,,,5000,"SpawnEnemy",4000,9000,"Knight"
,,,,13500,"Reset",,,
,,,,13500,"KingCrying",,,
,,,,13750,"Spawn",4000,14000,"Prince"
,,,,15000,"SpawnEnemy",6500,9500,"Tombstone"
,,,,29000,"Reset",,,
"BabyDragon","Normal",,-3000,500,"Spawn",4000,21000,"BabyDragon"
,,,,1000,"SpawnEnemy",3500,14000,"BattleRam"
,,,,1500,"SpawnEnemy",3500,13000,"SkeletonArmy"
,,,,6500,"CameraOffset",,0,
,,,,12500,"KingCrying",,,
,,,,6500,"CameraOffset",,-3000,
,,,,14000,"SpawnEnemy",8000,9000,"Musketeer"
,,,,20500,"Reset",,,
"Wallbreakers","Normal",,-3000,500,"Spawn",3000,18000,"Wallbreakers"
,,,,7500,"Reset",,,
,,,,7500,"KingCrying",,,
,,,,7750,"Spawn",3000,17000,"Wallbreakers"
,,,,9500,"SpawnEnemy",8500,10000,"Cannon"
,,,,14000,"Reset",,,
"Goblins","Normal",,-2000,500,"Spawn",3500,21000,"Goblins"
,,,,2500,"SpawnEnemy",3500,14000,"Giant"
,,,,13000,"SpawnEnemy",5000,8000,"Knight"
,,,,13500,"KingCrying",,,
,,,,20000,"Reset",,,
"SpearGoblins","Normal",4000,-3000,500,"Spawn",1000,24000,"SpearGoblins"
,,,,500,"SpawnEnemy",3500,14000,"Minions"
,,,,10000,"CameraStop",,,
,,,,13500,"Reset",,,
,,,,13500,"CameraOffset",4000,,
,,,,13500,"KingCrying",,,
,,,,13750,"SpawnEnemy",3500,14000,"SpearGoblins"
,,,,16000,"Spawn",3500,17000,"Knight"
,,,,16900,"CameraStop",,,
,,,,21000,"Reset",,,
"HogRider","Normal",,-3000,500,"Spawn",7000,17000,"HogRider"
,,,,8500,"Reset",,,
,,,,8500,"KingCrying",,,
,,,,8750,"Spawn",6000,17000,"HogRider"
,,,,11250,"SpawnEnemy",9000,11000,"Cannon"
,,,,19000,"Reset",,,
"GoblinHut","Normal",,-3000,500,"Spawn",7000,23500,"GoblinHut"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,15000,"CameraStop",,,
,,,,20500,"Reset",,,
