"Name","Loop","FollowParent","ShakeScreen","ShakeMaxIntensity","Time","RenderableScale","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","Scale","TextInstanceName","TextParentInstanceName","EnemyVersion","FlashWidth","KillLoopingSoundsOnEnd","OutputEvent","ParentLookAtOffsetRadius","ForcedLength","Shadow","PrestigeVersion","PrestigeVersion2","PrestigeVersion3"
"string","boolean","boolean","int","int","int","int","string","string","string","string","string","string","string","int","string","string","string","int","boolean","string","int","int","boolean","string","string","string"
"upgradeCard_start",,,,,,,"sound_upgradeCard_start","SWF",,,,,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"ArcherTower_particle1",,"Above",,,,,,,,,,,,,
"upgradeCard_ready",,,,,,,"sound_upgradeCard_ready","SWF",,,,,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"Card_upgraded_effect1",,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,,,,,,,
,,,,,3200,,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,,,,,,,
,,,,,6400,,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,,,,,,,
,,,,,9600,,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"Card_upgrade_effect3",,"Above",,,,,,,,,,,,,
"upgradeCard_stat_appear",,,,,,,"sound_upgradeCard_stat_appear","SWF",,,,,"Above",,,,,,,,,,,,,
"upgradeCard_stat_change",,,,,,,"sound_upgradeCard_stat_change","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_wood",,,,,,,"sound_openChest_wood","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_iron",,,,,,,"sound_openChest_iron","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_gold",,,,,,,"sound_openChest_gold","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_magical",,,,,,,"sound_openChest_magical","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_star",,,,,,,"sound_openChest_star","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_draft",,,,,,,"sound_openChest_champion","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_lightning",,,,,,,"sound_openChest_lightning","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_fortune",,,,,,,"sound_openChest_fortune","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_fortune_boost",,,,,,,"sound_openChest_fortune_boost","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_kings",,,,,,,"sound_openChest_kings","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_legend_kings",,,,,,,"sound_openChest_legend_kings","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_ranked",,,,,,,"sound_openChest_ranked","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_unranked",,,,,,,"sound_openChest_unranked","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_win",,,,,,,"sound_openChest_win","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_lose",,,,,,,"sound_openChest_lose","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_get_gold",,,,,,,"sound_openChest_get_gold","SWF",,,,,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,,,,,,,
"openChest_get_gem",,,,,,,"sound_openChest_get_gem","SWF",,,,,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,,,,,,,
"openChest_get_common",,,,,,,"sound_openChest_get_common","SWF",,,,,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,,,,,,,
"openChest_get_rare",,,,,,,"sound_openChest_get_rare","SWF",,,,,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"openChest_get_rare",,"Object",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,,,,,,,
"openChest_get_epic",,,,,,,"sound_openChest_get_epic","SWF",,,,,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"openChest_epic_stars2",,"Above",,,,,,,,,,,,,
"openChest_loop_gold",,,,,,,"sound_openChest_loop_gold","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_loop_gem",,,,,,,"sound_openChest_loop_gem","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_loop_common",,,,,,,"sound_openChest_loop_common","SWF",,,,,"Above",,,,,,,,,,,,,
"openChest_loop_rare","true",,,,,,"sound_openChest_loop_rare","SWF",,,,,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"BlueSparksEmitter",,"Base",,,,,,,,,,,,,
"openChest_loop_epic","true",,,,,,"sound_openChest_loop_epic","SWF",,,,,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"openChest_epic_loop1",,"Object",,,,,,,,,,,,,
"musketeer_deploy",,,,,,,"sound_musketeer_deploy","SWF",,,,,"Object",100,,,,,,,,,,"musky_deploy_prestige",,
,,,,,,,"sound_musketeer_deploy_end","SWF",,,,,"Object",,,,,,,,,,,,,
,,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,,,,,
"musketeer_steps",,,,,,,"sound_musketeer_steps","SWF",,,,,"Ground",100,,,,,,,,,,,,
"musketeer_attack",,,,,,,"sound_musketeer_attack","SWF",,,,,"Object",100,,,,,,,,,,,,
,,,,,,75,,"ParticleEmitter",,,"gunner_fireParticles",,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"gunner_fire_smoke",,"Above",,,,,,,,,,,,,
"musketeer_attack_start",,,,,,,"sound_musketeer_attack_start","SWF",,,,,"Object",100,,,,,,,,,,,,
"musketeer_hit",,,,,,,"sound_musketeer_hit","SWF",,,,,"Object",100,,,,,,,,,,,,
"musketeer_die",,,,,,,"sound_musketeer_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,,,,,
"goblin_barrel_explosion",,,,,,,"sound_goblin_barrel_explosion","ParticleEmitter",,,"TargetDummy_planks",,"Above",,,,,,,,,,,,"goblin_barrel_explosion_prestige",
,,,,,,,,"ParticleEmitter",,,"BlueSparkEmitter",,"Object",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"catapult_rock_Emitter",,"Object",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"TargetDummy_planks2",,"Above",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"knight_deploy_dustPuff2",,"Base",,,,,,,,,,,,,
"goblin_barrel_spawn",,,,,,,"sound_goblin_barrel_spawn","SWF",,,,,"Object",,,,,,,,,,,,,
"knight_deploy",,,,,,,"sound_knight_deploy","SWF",,,,,"Object",100,,,,,,,,,,"knight_deploy_prestige","knight_deploy_prestige","knight_deploy_prestige"
,,,,,,,"sound_knight_deploy_end","SWF",,,,,"Object",,,,,,,,,,,,,
,,,,,,,,"Effect",,,"knight_deploy_dustPuff2","Deploy_ground_fX_mediumSize","Object",,,,,,,,,,,,,
,,,,,,,,,,,,,,60,,,,,,,,,,,,
,,,,,,,,,,,,,,60,,,,,,,,,,,,
,,,,,,,,,,,,,,60,,,,,,,,,,,,
"knight_steps",,,,,,,"sound_knight_steps","ParticleEmitter",,,"knight_speps_dust1",,"Ground",100,,,,,,,,,,,,
"knight_attack_start",,,,,,,"sound_knight_attack_start","Effect",,,,,"Object",100,,,,,,,,,,,,
"knight_hit",,,,,,,"sound_knight_hit","SWF",,,,,"Object",100,,,,,,,,,,,,
"knight_die",,,,,,,"sound_knight_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"knight_deploy_dustPuff1",,"Object",100,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"knight_die_particle_sword",,"Object",100,,,,,,,,,,,,
,,,,,,,,,,,,,,100,,,,,,,,,,,,
"spear_goblin_deploy",,,,,,,"sound_spear_goblin_deploy","SWF",,,,,"Object",100,,,,,,,,,,"spear_goblin_deploy_prestige",,
"spear_goblin_steps",,,,,,,"sound_spear_goblin_steps","SWF",,,,,"Ground",100,,,,,,,,,,,,
"spear_goblin_attack_start",,,,,,,"sound_spear_goblin_attack_start","SWF",,,,,"Object",100,,,,,,,,,,,,
"spear_goblin_attack",,,,,,,"sound_spear_goblin_attack","SWF",,,,,"Object",100,,,,,,,,,,,,
"spear_goblin_die",,,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,,,,,
,,,,,,,"sound_spear_goblin_die","SWF",,,,,"Object",,,,,,,,,,,,,
"spear_goblin_projectile_hit",,,,,,,"sound_spear_goblin_projectile_hit","SWF",,,,,"Object",,,,,,,,,,,,,
"barbarian_deploy",,,,,,,"sound_barbarian_deploy","SWF",,,,,"Object",100,,,,,,,,,,"barbarian_deploy_prestige",,
,,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,,,,,
"angry_barbarian_deploy",,,,,,,"sound_barbarian_deploy","SWF",,,,,"Object",100,,,,,,,,,,"angry_barbarian_deploy_prestige",,
,,,,,,,"sound_angry_barbarian_deploy","SWF",,,,,"Object",100,,,,,,,,,,,,
,,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,,,,,
"barbarian_steps",,,,,,,"sound_barbarian_steps","SWF",,,,,"Ground",100,,,,,,,,,,,,
"angry_barbarian_steps",,,,,,,"sound_angry_barbarian_steps","SWF",,,,,"Ground",100,,,,,,,,,,,,
"barbarian_attack_start",,,,,,,"sound_barbarian_attack_start","SWF",,,,,"Object",100,,,,,,,,,,,,
"angry_barbarian_attack_start",,,,,,,"sound_angry_barbarian_attack_start","SWF",,,,,"Object",100,,,,,,,,,,,,
"barbarian_hit",,,,,,,"sound_barbarian_hit","SWF",,,,,"Object",100,,,,,,,,,,,,
"barbarian_die",,,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,,,,,
,,,,,,,"sound_barbarian_die","SWF",,,,,"Object",,,,,,,,,,,,,
"ragebarbarian_deploy",,,,,,,"sound_ragebarbarian_deploy","SWF",,,,,"Object",100,,,,,,,,,,"rage_barbarian_deploy_prestige",,
,,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,,,,,
,,,,,,,"sound_ragebarbarian_deploy_sfx","SWF",,,,,"Object",100,,,,,,,,,,,,
"ragebarbarian_attack_start",,,,,,,"sound_ragebarbarian_attack_start_vo","SWF",,,,,"Object",100,,,,,,,,,,,,
,,,,,,,"sound_ragebarbarian_attack_start","SWF",,,,,"Object",100,,,,,,,,,,,,
"ragebarbarian_hit",,,,,,,"sound_ragebarbarian_attack_hit","SWF",,,,,"Object",100,,,,,,,,,,,,
"ragebarbarian_steps",,,,,,,"sound_ragebarbarian_steps","SWF",,,,,"Ground",100,,,,,,,,,,,,
"executioner_deploy",,,,,,,"sound_executioner_deploy","SWF",,,,,"Object",100,,,,,,,,,,"axeman_deploy_prestige",,
,,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,,,,,
"executioner_steps",,,,,,,"sound_executioner_steps","SWF",,,,,"Ground",100,,,,,,,,,,,,
"executioner_attack_start",,,,,,,"sound_executioner_attack","SWF",,,,,"Object",100,,,,,,,,,,,,
"goblins_deploy",,,,,,,"sound_goblins_deploy","SWF",,,,,"Object",100,,,,,,,,,,"goblins_deploy_prestige",,
"goblins_steps","true",,,,,,"sound_goblins_steps","SWF",,,,,"Ground",100,,,,,,,,,,,,
"goblins_attack_start","true",,,,,,"sound_goblins_attack_start","SWF",,,,,"Object",100,,,,,,,,,,,,
"goblins_hit",,,,,,,"sound_goblins_hit","SWF",,,,,"Object",100,,,,,,,,,,,,
"goblins_die",,,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,,,,,
,,,,,,,"sound_goblins_die","SWF",,,,,"Object",,,,,,,,,,,,,
"giant_skeleton_deploy",,,,,,,"sound_giant_skeleton_deploy","SWF",,,"giant_deploy_dustPuff",,"Object",100,,,"giant_skeleton_deploy_enemy",,,,,,,"giant_skeleton_deploy_prestige",,
,,,,,,,"sound_giant_deploy_vo","SWF",,,,,"Object",100,,,,,,,,,,,,
,,,,,,,,"Effect",,,,"Deploy_ground_fx_largeSize","Base",,,,,,,,,,,,,
"giant_skeleton_deploy_enemy",,,,,,,"sound_giant_skeleton_deploy","SWF",,,"giant_deploy_dustPuff",,"Object",100,,,,,,,,,,"giant_skeleton_deploy_prestige",,
,,,,,,,,"Effect",,,,"Deploy_ground_fx_largeSize","Base",,,,,,,,,,,,,
,,,,,,,"sound_giant_deploy_vo","SWF",,,,,"Base",,,,,,,,,,,,,
"giant_skeleton_steps",,,,,,,"sound_giant_skeleton_steps","SWF",,,,,"Ground",100,,,,,,,,,,,,
"giant_skeleton_attack_start",,,,,,,"sound_giant_skeleton_attack_start","SWF",,,,,"Object",100,,,,,,,,,,,,
"giant_skeleton_hit",,,,,,,"sound_giant_skeleton_hit","SWF",,,,,"Object",100,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter",,,"giant_hit_sparks",,"Above",,,,,,,,,,,,,
,,,,,25,,,"ParticleEmitter",,,"giant_hit_puff1",,"Object",,,,,,,,,,,,,
,,,,,,,,"ParticleEmitter","sc/effects.sc","giant_hit_blow","giant_hitpuff2",,"Object",,,,,,,,,,,,,
"giant_skeleton_die",,,,,,,"sound_giant_skeleton_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","death_giant1","Object",100,,,"giant_die_enemy",,,,,,,,,
