Name,Enabled,Description,SortOrder,HasEvenSpaceCharacters,UsedSystemFont,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,HelpshiftLanguageTag,BoomBoxProvidesBackButton,TermsAndServiceUrl,TournamentTermsUrl,TournamentTermsUrlKunlun,ParentsGuideUrl,PrivacyPolicyUrl,TestLanguage,TestExcludes,RegionListFile,MaintenanceRoyalBox,RoyalBoxURL,RoyalBoxStageURL,RoyalBoxDevURL,RoyalBoxQAURL,CommunityVideoURL,CommunityVideoStageURL,CommunityVideoDevURL,CommunityVideoQAURL,HelpshiftURL,EsportsURL,EsportsStageURL,EsportsDevURL,EsportsQAURL,SelfHelpUrl,SelfHelpStagingUrl,SelfHelpDevUrl,ChineseBuildSelfHelpUrl,ClashFestUrl,ClashFestDevUrl,ShopOfferInfoWebSuffix,SinglePageAppRoyalBoxEnabled,SinglePageAppRoyalBoxURL,SinglePageAppRoyalBoxManifestURL,SinglePageAppRoyalBoxStageURL,SinglePageAppRoyalBoxStageManifestURL,SinglePageAppCommunityVideoURL,SinglePageAppCommunityVideoManifestURL,SinglePageAppCommunityVideoStageURL,SinglePageAppCommunityVideoStageManifestURL,SinglePageAppEsportsURL,SinglePageAppEsportsManifestURL,SinglePageAppEsportsStageURL,SinglePageAppEsportsStageManifestURL
String,boolean,string,int,boolean,string,string,string,string,boolean,string,string,string,string,string,boolean,string,string,boolean,string,string,string,string,string,string,string,string,string,String,string,string,string,string,string,string,string,string,string,string,boolean,string,string,string,string,string,string,string,string,string,string,string,string
EN,TRUE,,1,,,en,,EN,,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/en_qa/,https://inbox.clashroyale.com/community/,https://inbox-staging.clashroyale.com/community/,https://inbox-staging.clashroyale.com/community/,https://inbox-staging.clashroyale.com/community/,https://supercell.helpshift.com/a/clash-royale/?l=en,https://inbox-production.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://ingame.help.supercellsupport.com/clash-royale/en/index.html,https://ingame.help-staging.supercellsupport.com/clash-royale/en/index.html,https://ingame.help-dev.supercellsupport.com/clash-royale/en/index.html,https://game-assets.tencent-cloud.com/self-help/clash-royale/en/index.html,https://clashroyale.scescdn.com/en/,https://clashroyale-dev.scescdn.com/en/,/en,TRUE,https://clashroyale.inbox.supercell.com/index.html#/en/news,https://clashroyale.inbox.supercell.com/data/en/news/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/news,https://clashroyale.inbox-staging.supercell.com/data/en/news/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/en/community,https://clashroyale.inbox.supercell.com/data/en/community/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/community,https://clashroyale.inbox-staging.supercell.com/data/en/community/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/en/esport,https://clashroyale.inbox.supercell.com/data/en/esport/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/esport,https://clashroyale.inbox-staging.supercell.com/data/en/esport/manifest.json
FR,TRUE,,5,,,fr,,FR,,http://supercell.com/en/terms-of-service/fr,http://supercell.com/en/community-tournament-guidelines/fr,http://supercell.com/en/community-tournament-guidelines/fr,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/fr,,,,TRUE,https://inbox.clashroyale.com/fr/,https://inbox-staging.clashroyale.com/fr/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/qa/,https://inbox.clashroyale.com/fr/community/,https://inbox-staging.clashroyale.com/fr/community/,https://inbox-staging.clashroyale.com/fr/community/,https://inbox-staging.clashroyale.com/fr/community/,https://supercell.helpshift.com/a/clash-royale/?l=fr,https://inbox-production.esports.clashroyale.com/fr/,https://inbox-staging.esports.clashroyale.com/fr/,https://inbox-staging.esports.clashroyale.com/fr/,https://inbox-staging.esports.clashroyale.com/en/,https://ingame.help.supercellsupport.com/clash-royale/fr/index.html,https://ingame.help.supercellsupport.com/clash-royale/fr/index.html,https://ingame.help.supercellsupport.com/clash-royale/fr/index.html,https://ingame.help.supercellsupport.com/clash-royale/fr/index.html,https://clashroyale.scescdn.com/fr/,https://clashroyale-dev.scescdn.com/fr/,/fr,TRUE,https://clashroyale.inbox.supercell.com/index.html#/fr/news,https://clashroyale.inbox.supercell.com/data/fr/news/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/fr/news,https://clashroyale.inbox-staging.supercell.com/data/fr/news/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/fr/community,https://clashroyale.inbox.supercell.com/data/fr/community/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/fr/community,https://clashroyale.inbox-staging.supercell.com/data/fr/community/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/fr/esport,https://clashroyale.inbox.supercell.com/data/fr/esport/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/fr/esport,https://clashroyale.inbox-staging.supercell.com/data/fr/esport/manifest.json
DE,TRUE,,6,,,de,,DE,,http://supercell.com/en/terms-of-service/de,http://supercell.com/en/community-tournament-guidelines/de,http://supercell.com/en/community-tournament-guidelines/de,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/de,,,,TRUE,https://inbox.clashroyale.com/de/,https://inbox-staging.clashroyale.com/de/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/qa/,https://inbox.clashroyale.com/de/community/,https://inbox-staging.clashroyale.com/de/community/,https://inbox-staging.clashroyale.com/de/community/,https://inbox-staging.clashroyale.com/de/community/,https://supercell.helpshift.com/a/clash-royale/?l=de,https://inbox-production.esports.clashroyale.com/de/,https://inbox-staging.esports.clashroyale.com/de/,https://inbox-staging.esports.clashroyale.com/de/,https://inbox-staging.esports.clashroyale.com/en/,https://ingame.help.supercellsupport.com/clash-royale/de/index.html,https://ingame.help.supercellsupport.com/clash-royale/de/index.html,https://ingame.help.supercellsupport.com/clash-royale/de/index.html,https://ingame.help.supercellsupport.com/clash-royale/de/index.html,https://clashroyale.scescdn.com/de/,https://clashroyale-dev.scescdn.com/de/,/de,TRUE,https://clashroyale.inbox.supercell.com/index.html#/de/news,https://clashroyale.inbox.supercell.com/data/de/news/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/de/news,https://clashroyale.inbox-staging.supercell.com/data/de/news/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/de/community,https://clashroyale.inbox.supercell.com/data/de/community/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/de/community,https://clashroyale.inbox-staging.supercell.com/data/de/community/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/de/esport,https://clashroyale.inbox.supercell.com/data/de/esport/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/de/esport,https://clashroyale.inbox-staging.supercell.com/data/de/esport/manifest.json
ES,TRUE,,7,,,es,,ES,,http://supercell.com/en/terms-of-service/es,http://supercell.com/en/community-tournament-guidelines/es,http://supercell.com/en/community-tournament-guidelines/es,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/es,,,,TRUE,https://inbox.clashroyale.com/es/,https://inbox-staging.clashroyale.com/es/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/qa/,https://inbox.clashroyale.com/es/community/,https://inbox-staging.clashroyale.com/es/community/,https://inbox-staging.clashroyale.com/es/community/,https://inbox-staging.clashroyale.com/es/community/,https://supercell.helpshift.com/a/clash-royale/?l=es,https://inbox-production.esports.clashroyale.com/es/,https://inbox-staging.esports.clashroyale.com/es/,https://inbox-staging.esports.clashroyale.com/es/,https://inbox-staging.esports.clashroyale.com/en/,https://ingame.help.supercellsupport.com/clash-royale/es/index.html,https://ingame.help.supercellsupport.com/clash-royale/es/index.html,https://ingame.help.supercellsupport.com/clash-royale/es/index.html,https://ingame.help.supercellsupport.com/clash-royale/es/index.html,https://clashroyale.scescdn.com/es/,https://clashroyale-dev.scescdn.com/es/,/es,TRUE,https://clashroyale.inbox.supercell.com/index.html#/es/news,https://clashroyale.inbox.supercell.com/data/es/news/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/es/news,https://clashroyale.inbox-staging.supercell.com/data/es/news/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/es/community,https://clashroyale.inbox.supercell.com/data/es/community/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/es/community,https://clashroyale.inbox-staging.supercell.com/data/es/community/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/es/esport,https://clashroyale.inbox.supercell.com/data/es/esport/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/es/esport,https://clashroyale.inbox-staging.supercell.com/data/es/esport/manifest.json
IT,TRUE,,8,,,it,,IT,,http://supercell.com/en/terms-of-service/it,http://supercell.com/en/community-tournament-guidelines/it,http://supercell.com/en/community-tournament-guidelines/it,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/it,,,,TRUE,https://inbox.clashroyale.com/it/,https://inbox-staging.clashroyale.com/it/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/qa/,https://inbox.clashroyale.com/it/community/,https://inbox-staging.clashroyale.com/it/community/,https://inbox-staging.clashroyale.com/it/community/,https://inbox-staging.clashroyale.com/it/community/,https://supercell.helpshift.com/a/clash-royale/?l=it,https://inbox-production.esports.clashroyale.com/it/,https://inbox-staging.esports.clashroyale.com/it/,https://inbox-staging.esports.clashroyale.com/it/,https://inbox-staging.esports.clashroyale.com/en/,https://ingame.help.supercellsupport.com/clash-royale/it/index.html,https://ingame.help.supercellsupport.com/clash-royale/it/index.html,https://ingame.help.supercellsupport.com/clash-royale/it/index.html,https://ingame.help.supercellsupport.com/clash-royale/it/index.html,https://clashroyale.scescdn.com/it/,https://clashroyale-dev.scescdn.com/it/,/it,TRUE,https://clashroyale.inbox.supercell.com/index.html#/it/news,https://clashroyale.inbox.supercell.com/data/it/news/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/it/news,https://clashroyale.inbox-staging.supercell.com/data/it/news/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/it/community,https://clashroyale.inbox.supercell.com/data/it/community/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/it/community,https://clashroyale.inbox-staging.supercell.com/data/it/community/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/it/esport,https://clashroyale.inbox.supercell.com/data/it/esport/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/it/esport,https://clashroyale.inbox-staging.supercell.com/data/it/esport/manifest.json
NL,TRUE,,9,,,nl,,NL,,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/nl/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/qa/,https://inbox.clashroyale.com/nl/community/,https://inbox-staging.clashroyale.com/nl/community/,https://inbox-staging.clashroyale.com/nl/community/,https://inbox-staging.clashroyale.com/nl/community/,https://supercell.helpshift.com/a/clash-royale/?l=nl,https://inbox-production.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://ingame.help.supercellsupport.com/clash-royale/nl/index.html,https://ingame.help.supercellsupport.com/clash-royale/nl/index.html,https://ingame.help.supercellsupport.com/clash-royale/nl/index.html,https://ingame.help.supercellsupport.com/clash-royale/nl/index.html,https://clashroyale.scescdn.com/en/,https://clashroyale-dev.scescdn.com/de/,/de,TRUE,https://clashroyale.inbox.supercell.com/index.html#/en/news,https://clashroyale.inbox.supercell.com/data/en/news/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/news,https://clashroyale.inbox-staging.supercell.com/data/en/news/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/en/community,https://clashroyale.inbox.supercell.com/data/en/community/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/community,https://clashroyale.inbox-staging.supercell.com/data/en/community/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/en/esport,https://clashroyale.inbox.supercell.com/data/en/esport/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/esport,https://clashroyale.inbox-staging.supercell.com/data/en/esport/manifest.json
NO,TRUE,,10,,,,,NO,,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/qa/,https://inbox.clashroyale.com/no/community/,https://inbox-staging.clashroyale.com/no/community/,https://inbox-staging.clashroyale.com/no/community/,https://inbox-staging.clashroyale.com/no/community/,https://supercell.helpshift.com/a/clash-royale/?l=no,https://inbox-production.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://ingame.help.supercellsupport.com/clash-royale/en/index.html,https://ingame.help.supercellsupport.com/clash-royale/en/index.html,https://ingame.help.supercellsupport.com/clash-royale/en/index.html,https://ingame.help.supercellsupport.com/clash-royale/en/index.html,https://clashroyale.scescdn.com/en/,https://clashroyale-dev.scescdn.com/de/,/de,TRUE,https://clashroyale.inbox.supercell.com/index.html#/en/news,https://clashroyale.inbox.supercell.com/data/en/news/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/news,https://clashroyale.inbox-staging.supercell.com/data/en/news/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/en/community,https://clashroyale.inbox.supercell.com/data/en/community/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/community,https://clashroyale.inbox-staging.supercell.com/data/en/community/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/en/esport,https://clashroyale.inbox.supercell.com/data/en/esport/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/esport,https://clashroyale.inbox-staging.supercell.com/data/en/esport/manifest.json
PT,TRUE,,11,,,pt,pt,PT,,http://supercell.com/en/terms-of-service/pt,http://supercell.com/en/community-tournament-guidelines/pt,http://supercell.com/en/community-tournament-guidelines/pt,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/pt,,,,TRUE,https://inbox.clashroyale.com/pt/,https://inbox-staging.clashroyale.com/pt/,https://inbox-staging.clashroyale.com/,https://inbox-staging.clashroyale.com/qa/,https://inbox.clashroyale.com/pt/community/,https://inbox-staging.clashroyale.com/pt/community/,https://inbox-staging.clashroyale.com/pt/community/,https://inbox-staging.clashroyale.com/pt/community/,https://supercell.helpshift.com/a/clash-royale/?l=pt,https://inbox-production.esports.clashroyale.com/pt/,https://inbox-staging.esports.clashroyale.com/pt/,https://inbox-staging.esports.clashroyale.com/pt/,https://inbox-staging.esports.clashroyale.com/en/,https://ingame.help.supercellsupport.com/clash-royale/pt/index.html,https://ingame.help.supercellsupport.com/clash-royale/pt/index.html,https://ingame.help.supercellsupport.com/clash-royale/pt/index.html,https://ingame.help.supercellsupport.com/clash-royale/pt/index.html,https://clashroyale.scescdn.com/pt-BR/,https://clashroyale-dev.scescdn.com/pt-BR/,/pt-BR,TRUE,https://clashroyale.inbox.supercell.com/index.html#/pt/news,https://clashroyale.inbox.supercell.com/data/pt/news/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/pt/news,https://clashroyale.inbox-staging.supercell.com/data/pt/news/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/pt/community,https://clashroyale.inbox.supercell.com/data/pt/community/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/pt/community,https://clashroyale.inbox-staging.supercell.com/data/pt/community/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/pt/esport,https://clashroyale.inbox.supercell.com/data/pt/esport/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/pt/esport,https://clashroyale.inbox-staging.supercell.com/data/pt/esport/manifest.json
TR,TRUE,,12,,,tr,,TR,,http://supercell.com/en/terms-of-service/tr,http://supercell.com/en/community-tournament-guidelines/tr,http://supercell.com/en/community-tournament-guidelines/tr,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/tr,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/tr/,https://inbox-staging.clashroyale.com/tr/,https://inbox-staging.clashroyale.com/qa/,https://inbox.clashroyale.com/tr/community/,https://inbox-staging.clashroyale.com/tr/community/,https://inbox-staging.clashroyale.com/tr/community/,https://inbox-staging.clashroyale.com/tr/community/,https://supercell.helpshift.com/a/clash-royale/?l=tr,https://inbox-production.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://inbox-staging.esports.clashroyale.com/en/,https://ingame.help.supercellsupport.com/clash-royale/tr/index.html,https://ingame.help.supercellsupport.com/clash-royale/tr/index.html,https://ingame.help.supercellsupport.com/clash-royale/tr/index.html,https://ingame.help.supercellsupport.com/clash-royale/tr/index.html,https://clashroyale.scescdn.com/en/,https://clashroyale-dev.scescdn.com/de/,/de,TRUE,https://clashroyale.inbox.supercell.com/index.html#/en/news,https://clashroyale.inbox.supercell.com/data/en/news/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/news,https://clashroyale.inbox-staging.supercell.com/data/en/news/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/en/community,https://clashroyale.inbox.supercell.com/data/en/community/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/community,https://clashroyale.inbox-staging.supercell.com/data/en/community/manifest.json,https://clashroyale.inbox.supercell.com/index.html#/en/esport,https://clashroyale.inbox.supercell.com/data/en/esport/manifest.json,https://clashroyale.inbox-staging.supercell.com/index.html#/en/esport,https://clashroyale.inbox-staging.supercell.com/data/en/esport/manifest.json
