"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI",
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string",
"TID_MASTERY_TASK_HEALEDUNITSDEALDAMAGE","Walk It Off","Même pas mal !","Durchhaltevermögen","Ignora el daño","Minaccia inarrestabile","Niet zo kleinzerig","Gå deg frisk","Destekli","痛いの飛んでけ","칠전팔기","Будь здоров","التغلب على الألم","Sem parar","奋起反击","奮戰精神","راحت به دستش بیار","Tahan Banting","Terus Mendesak","จัดการให้เสร็จ","Jatka matkaa","Còn máu là còn chiến",
"TID_MASTERY_TASK_HEALEDUNITSDEALDAMAGE_DESCRIPTION","Deal a total of <num> Damage with Troops while they are being healed!","Infligez <num> points de dégâts avec des troupes qui se font soigner.","Verursache insgesamt <num> Schaden mit Truppen, während sie geheilt werden!","¡Inflige <num> puntos de daño total con tropas mientras se están curando!","Causa un totale di <num> punti danno con le truppe mentre vengono guarite.","Breng in totaal <num> schade toe met troepen terwijl ze worden genezen.","Gjør til sammen <num> skade med tropper mens de blir helbredet!","Birlikler iyileşirken toplam <num> hasar verir!","回復中の味方ユニットで合計<num>ダメージを与える","치유 받고 있는 유닛으로 <num> 피해를 입히세요!","Нанеси <num> ед. урона воинами, пока их исцеляют!","ألحق <num> من إجمالي الضرر باستخدام القوات أثناء تعافيها.","Cause <num> pontos de dano com as tropas enquanto elas são curadas.","使用正在受到治疗的军队累计造成<num>伤害！","使用正在接受治療的軍隊單位，造成總計<num>傷害！","در مجموع <num> آسیب با نیروهایی که در حال شفا داده شدن هستن وارد کن!","Berikan <num> Kerusakan total dengan Peleton sembari disembuhkan!","Melakukan sejumlah <num> kerosakan dengan askar ketika mereka disembuhkan!","สร้างความเสียหายทั้งหมด <num> หน่วยให้กับกองกำลังในขณะที่กำลังได้รับการเยียวยา!","Aiheuta yhteensä <num> pistettä tuhoa joukoilla samalla, kun niitä parannetaan.","Gây ra tổng cộng <num> sát thương bằng các binh lính đang được hồi máu!",
"TID_ITEM_CONSUMABLE_SHARD_WILDCARD_INVALID_TARGET","Choose a card that requires Evolution Shards","Sélectionnez une carte nécessitant des fragments d'évolution.","Wähle eine Karte, die Entwicklungsfragmente verwenden kann.","Elige una carta que requiera fragmentos de evolución.","Scegli una carta che richiede frammenti d'evoluzione.","Kies een kaart die evolutiescherven vereist.","Velg et kort som forutsetter evolusjonsskår","Evrim parçası gerektiren bir kart seç.","限界突破シャードが必要な\nカードを選んでください","진화 조각이 필요한 카드를 선택하세요.","Выбери карту, для которой нужны фрагменты эволюции.","اختر بطاقة تتطلب قطع تطوّر.","Escolha uma carta que precise de fragmentos de evolução.","选择需要觉醒碎片的卡牌","選擇需要進化碎片的卡牌","کارتی رو انتخاب کن که نیاز به قطعه‌های تکامل داره","Pilih kartu yang memerlukan Keping Evolusi","Pilih satu kad yang memerlukan Syard Evolusi","เลือกการ์ดที่ต้องใช้ชิ้นส่วนวิวัฒนาการ","Valitse kortti, josta puuttuu evoluutiosirpaleita.","Chọn một thẻ đang cần Mảnh ghép tiến hóa",
"TID_CARD_EVOLUTION_INFO_CYCLE","Cycle a card to use its Evolution in Battles!","Jouez une carte pour utiliser son évolution au combat !","Spiele eine Karte mehrfach aus, um ihre Entwicklung zu entsenden!","Completa los ciclos de una carta para usar su evolución en batallas.","Schiera una carta un certo numero di volte per usare la sua evoluzione!","Zet een kaart een bepaald aantal keren in om de evolutie ervan te gebruiken!","Sirkuler et kort for å bruke kortets evolusjon i kamper!","Savaşlarda kart evrimini etkinleştirmek için kartı birkaç kez kullanmalısın!","カードをバトルで\n繰り返し使って\n限界突破を\n発動しましょう！","전투에서 진화를 사용하려면 카드를 순환 주기만큼 사용해야 합니다!","Сыграй картой столько циклов, сколько требуется, чтобы использовать эволюцию в бою!","العب البطاقة بالدورات المطلوبة لتفعيل تطوّرها بالمعركة.","Use a carta algumas vezes para ativar a versão evoluída dela!","在对战中重复使用这张卡牌以激活卡牌觉醒！","在對戰中重複使用這張卡牌以啟用卡牌進化！","کارتی رو چرخه‌ای استفاده کن تا از تکامل اون تو نبردها استفاده کنی!","Mainkan kartu dalam siklus untuk menggunakan Evolusi dalam Pertempuran!","Menggunakan satu kad untuk mengaktifkan evolusi dalam pertempuran!","ใช้การ์ดให้ครบรอบเพื่อใช้วิวัฒนาการการ์ดในการต่อสู้!","Aktivoi kortin evoluutio taistelussa käyttämällä sitä!","Triển khai thẻ đủ số lần theo chu kỳ để sử dụng hình thái Tiến hóa của thẻ đó trong trận chiến!",
"TID_ITEM_CONSUMABLE_WILDSHARD_CONFIRM","Add <num> Wild Shard to this card?","Ajouter <num> fragments joker(s) à cette carte ?","<num> Jokerfragment zu dieser Karte hinzufügen?","¿Quieres añadir <num> comodín(es) a esta carta?","Vuoi aggiungere <num> frammenti jolly alla carta?","Wil je <num> jokerscherf toevoegen aan deze kaart?","Vil du legge <num> jokerskår til dette kortet?","Bu karta <num> joker parça eklensin mi?","このカードにワイルドシャードを\n<num>枚追加しますか？","와일드 조각 <num>개를 추가할까요?","Добавить <num> фрагмент-джокер к этой карте?","أتريد إضافة <num> من قطع الجوكر إلى هذه البطاقة؟","Adicionar fragmentos curinga (<num>) a esta carta?","将<num>块魔法碎片转化为该卡牌的觉醒碎片？","將<num>塊魔法碎片轉換為該卡牌的進化碎片嗎？","<num> اَبَر قطعه به این کارت اضافه بشه؟","Tambahkan <num> Keping Joker ke Kartu ini?","Tambah <num> Syard Bebas pada kad ini?","เพิ่มชิ้นส่วนโจ๊กเกอร์ <num> ชิ้นไปยังกรดนี้หรือไม่?","Lisätäänkö <num> x jokerisirpale tälle kortille?","Thêm <num> Mảnh ghép thần kỳ cho thẻ này?",
"TID_SHOP_CONFIRM_PRESTIGE_TOOL_TIP","Purchasing Level 14 or Elite cards gives both <cd1ab22>Star Points</c> and Elite Wild Cards!","Achetez des cartes niveau 14 ou des cartes d'élite vous donne des <cd1ab22>étoiles</c> et des jokers d'élite !","Karten auf Level 14 bzw. dem Elitelevel zu kaufen, gewährt sowohl <cd1ab22>Starpunkte</c> als auch Elitejoker!","Si compras cartas de élite o cartas de nivel 14, recibirás tanto <cd1ab22>puntos estelares</c> como comodines de élite.","Acquistando copie di carte élite o al livello 14, ottieni <cd1ab22>punti stella</c> e jolly élite!","Door elitekaarten of kaarten van level 14 te kopen, krijg je <cd1ab22>sterpunten</c> en elitejokers!","Kjøp av nivå 14-kort og elitekort gir både <cd1ab22>stjernepoeng</c> og elitejokere!","14. seviye/Elit kart satın aldığında hem <cd1ab22>Yıldız Puanı</c> hem de Elit Joker Kart kazanırsın!","レベル14やエリートレベルのカードを購入すると、<cd1ab22>スターポイント</c>とエリートワイルドカードが与えられます！","14레벨 혹은 엘리트 카드를 구매하면 <cd1ab22>스타 포인트</c>와 엘리트 와일드카드를 받습니다!","Покупка карт 14-го уровня или элитных карт приносит как <cd1ab22>звездные очки</c>, так и элитные карты-джокеры!","بشراء بطاقات المستوى 14 أو البطاقات المتميزة تحصل على <cd1ab22>نقاط نجوم</c> وبطاقات جوكر متميزة.","Adquirir cartas de nível 14 ou de elite concede <cd1ab22>pontos estelares</c> e curingas de elite!","购买14级卡牌或超凡等级卡牌，可获得<cd1ab22>星级点数</c>和超凡魔法外卡！","購買14級卡牌或精英卡牌，可獲得<cd1ab22>星光點數</c>和精英魔法外卡！","خریداری سطح 14 یا کارت‌های نخبه هر دو <cd1ab22>امتیازهای ستاره</c> و اَبَر کارت‌های نخبه رو بهت می‌ده!","Membeli kartu Level 14 atau Elite akan memberikan <cd1ab22>Poin Bintang</c> dan Kartu Joker Elite!","Membeli kad tahap 14 atau Elit akan memberikan <cd1ab22>mata bintang</c> dan Kad Bebas Elit!","การซื้อการ์ดเลเวล 14 หรืออีลีทจะมอบ<cd1ab22>แต้มดาว</c>และการ์ดโจ๊กเกอร์อีลีทให้!","Ostamalla tason 14 kortteja tai eliittikortteja saat sekä <cd1ab22>tähtipisteitä</c> että eliittijokereita!","Khi mua thẻ đạt cấp 14 hoặc cấp Ưu tú, bạn sẽ nhận được cả <cd1ab22>Tinh Điểm</c> và Thẻ bài Thần kỳ Ưu tú!""TID_EVENTDECK_DARKELIXIR","Dark Elixir"
"TID_EVENTDECK_DARKELIXIR","Dark Elixir","Élixir noir","Dunkles Elixier","Elixir oscuro","Elisir nero","Duister-elixir","Mørk eliksir","Kara İksir","ダークエリクサー","다크 엘릭서","Черный эликсир","إكسير الظلام","Elixir negro","暗黑重油","闇黑重油","اکسیر سیاه","Eliksir Hitam","Eliksir Kejahatan","น้ำอมฤตมืด","Musta eliksiiri","Hắc Tiên dược",
"TID_EVENTDECK_EVO_MORTAR","Goblin Delivery","Livraison de gobelins","Koboldlieferung","Reparto de duendes","Consegna goblin","Koboldenbezorging","Nisseleveranse","Goblin Teslimatı","ゴブリンデリバリー","고블린 포탄","Доставка гоблинов","طرد الغيلان","Arremesso de Goblins","哥布林速递","哥布林飛行外送","تحویل گابلین","Tantangan Peluncuran Goblin","Penghantaran Goblin","พัสดุก็อบลิน","Hiisitoimitus","Phóng Yêu tinh",
"TID_SPELL_INFO_EVO_MORTAR","The new & improved Mortar uses patented Goblin Delivery Technology to rain noisy green destruction upon the Arena!","Le nouveau mortier amélioré utilise une technologie innovante de livraison de gobelins pour semer le chaos dans l'arène !","Dieser verbesserte Minenwerfer lässt mithilfe patentierter Koboldschleuder-Technologie laute grüne Zerstörung auf die Arena herabregnen!","¡El nuevo mortero mejorado usa una tecnología patentada de reparto de duendes para sembrar un caos de destrucción verde en la arena!","La nuova versione del mortaio può contare sulla tecnologia sparagoblin, studiata per bersagliare i nemici con pestiferi mostriciattoli verdi!","De nieuwe en verbeterde mortier maakt gebruik van gepatenteerde technologie om vernietigende kobolden te laten neerregenen in de arena!","Den nye og forbedrede morteren bruker patentert nisseleveranseteknologi til å dusje arenaen i støyete grønn ødeleggelse!","Patentli Goblin Teslimatı Teknolojisi kullanan bu yeni ve gelişmiş Havan, arenaya yemyeşil bombalar yağdırır!","迫撃砲が最新特許技術のゴブリンデリバリーで、アリーナに緑の大雨を降らせます！","새롭게 개선된 박격포가 특허받은 고블린 배송 기술을 사용하여 아레나에 악몽 같은 녹색 비를 퍼붓습니다!","Воспользуйтесь новой улучшенной мортирой с запатентованной технологией доставки гоблинов и обрушьте на арену зеленый дождь разрушения!","يستخدم مدفع الهاون المحسّن الجديد تقنية دفع الغيلان الحاصلة على براءة اختراع لإمطار الساحة بالمزعجين الخضر الذين سينشرون الدمار في أرجائها.","O novo Morteiro revisto e ampliado usa a tecnologia patenteada de entrega de Goblins para fazer chover destruição na arena!","全新升级版迫击炮使用标志性的哥布林投送科技，将这些聒噪的绿色生物发射到竞技场，对敌人造成毁灭性打击！","全新強化版迫擊炮使用獨特的哥布林投送科技，將超鬧的綠色搗蛋鬼源源不絕地發射到競技場上！","خمپاره جدید و بهبودیافته از «فناوری تحویل گابلین»، که یه اختراع ثبت‌شده‌س، استفاده می‌کنه تا تخریب سبز پرسروصدا رو به میدان نبرد ببارونه!","Mortir baru yang telah ditingkatkan ini menggunakan teknologi Peluncuran Goblin yang dipatenkan untuk menghadirkan malapetaka di Arena!","Mortar yang baharu dan diperbaik ini menggunakan teknologi penghantaran Goblin untuk menembak pengacau bewarna hijau ini ke arena!","ปืนครกใหม่ที่ปรับปรุงแล้วใช้เทคโนโลยีการจัดส่งก็อบลินที่ได้รับการจดสิทธิบัตรเพื่อยิงเจ้าตัวทำลายล้างตัวเขียวเสียงดังเข้าสู่สนามประลอง!","Uusi, paranneltu mörssäri hyödyntää patentoitua hiisitoimitusteknologiaa: areenalle putoilee vihreitä, meluisia tuholaisia!","Súng cối cải tiến mới sẽ sử dụng công nghệ phóng Yêu tinh đã được cấp bằng sáng chế để phóng những chú Yêu tinh màu xanh lá ồn ào và có tính hủy diệt cao vào Đấu trường.",
