"Name","TID","ExportName","ExportName2","ExportName3","TxtFieldParent","TxtFieldContent","GrayedOut","Disabled","SortOrder","Progress","Progress2","Progress3","ForceVisible"
"String","String","String","String","String","String","String","boolean","boolean","int","int","int","int","boolean"
"Classic12Wins","TID_PROFILE_BADGE_CLASSIC_CHALLENGE","achievement_classic_challenge","achievement_classic_challenge_x10","achievement_classic_challenge_x100",,,"TRUE",,1,12,10,100,
"Grand12Wins","TID_PROFILE_BADGE_GRAND_CHALLENGE","achievement_grand_challenge","achievement_grand_challenge_x10","achievement_grand_challenge_x100",,,,,2,12,10,100,
"Crl20Wins","TID_PROFILE_BADGE_CRL_20_WINS","achievement_crl",,,,,,,100,17,,,
"1000Wins","TID_PROFILE_REACHED_1000_WINS","achievement_1000wins",,,,,"TRUE",,3,1000,,,
"Played1Year","TID_PROFILE_PLAYED_1_YEAR","achievement_1year",,,,,"TRUE",,20,365,,,
"Played2Years","TID_PROFILE_PLAYED_2_YEAR","achievement_2year",,,,,,,21,730,,,
"Played3Years","TID_PROFILE_PLAYED_3_YEAR","achievement_3year",,,,,,,22,1095,,,
"LadderTournamentTop1000_1","TID_PROFILE_LADDER_TOURNAMENT_TOP","achievement_top10_tournament",,,,,,,40,,,,
"LadderTournamentTop1000_2","TID_PROFILE_LADDER_TOURNAMENT_TOP","achievement_top10_tournament",,,,,,,41,,,,
"LadderTournamentTop1000_3","TID_PROFILE_LADDER_TOURNAMENT_TOP","achievement_top10_tournament",,,,,,,42,,,,
"LadderTop1000_1","TID_PROFILE_LADDER_TOP","achievement_ladder",,,,,,,30,,,,
"LadderTop1000_2","TID_PROFILE_LADDER_TOP","achievement_ladder",,,,,,,31,,,,
"LadderTop1000_3","TID_PROFILE_LADDER_TOP","achievement_ladder",,,,,,,32,,,,
"TopLeague","TID_PROFILE_TOP_LEAGUE_BADGE","achievement_league",,,,,"TRUE",,33,4000,,,
"ClanWarWins","TID_PROFILE_CLAN_WAR_WINS","achievement_clanwar","achievement_clanwar_x10","achievement_clanwar_x100",,,"TRUE",,50,1,10,100,
"Crl20Wins2019","TID_PROFILE_BADGE_CRL_20_WINS_2019","achievement_crl",,,,,,,101,17,,,
"Played4Years","TID_PROFILE_PLAYED_4_YEAR","achievement_4year",,,,,,,23,1460,,,
"Played5Years","TID_PROFILE_PLAYED_5_YEAR","achievement_5year",,,,,,,24,1825,,,
"Crl20Wins2021","TID_PROFILE_BADGE_CRL_20_WINS_2021","achievement_crl_ribbon",,,"ribbon",2021,,,102,17,,,
