"Name","SectionLength","SectionType","StartingElixir","ElixirRateLength","ElixirFullBarMS","ElixirRateVisible","ElixirNotifyChange","NextSpellCooldownLength","NextSpellCooldownMS","EventTime","EventType","EventIntParameter1","EventStringParameter1"
"String","IntArray","StringArray","Int","IntArray","IntArray","IntArray","BooleanArray","IntArray","IntArray","IntArray","StringArray","IntArray","StringArray"
"Default",180,"Normal",6,120,28000,10,"true",120,1000,,,,
,120,"Overtime",,120,14000,20,"true",120,500,,,,
,,,,60,9300,30,"true",60,350,,,,
"RampUp",180,"Normal",3,60,28000,10,"true",60,1000,60,"PlaySound",,"60sec_warn_01"
,120,"Overtime",,60,14000,20,"true",60,500,120,"PlaySound",,"60sec_warn_01"
,,,,60,9300,30,"true",60,350,180,"PlaySound",,"60sec_warn_01"
,,,,60,7000,40,"true",60,250,240,"PlaySound",,"60sec_warn_01"
,,,,60,5600,50,"true",60,200,,,,
"DoubleElixir",180,"Normal",0,300,14000,20,"true",300,500,,,,
,120,"Overtime",,,,,,,,,,,
"TripleElixir",180,"Normal",0,300,9300,30,"true",300,350,,,,
,120,"Overtime",,,,,,,,,,,
"TeamVsTeam",180,"Normal",6,120,40000,10,"true",120,1000,,,,
,120,"Overtime",,120,20000,20,"true",120,500,,,,
,,,,60,13300,30,"true",60,350,,,,
"TeamVsTeam_DoubleElixir",180,"Normal",0,300,20000,20,"true",300,500,,,,
,120,"Overtime",,,,,,,,,,,
"TeamVsTeam_TripleElixir",180,"Normal",0,300,13300,30,"true",300,350,,,,
,120,"Overtime",,,,,,,,,,,
"TeamVsTeam_RampUp",180,"Normal",3,60,40000,10,"true",60,1000,60,"PlaySound",,"60sec_warn_01"
,120,"Overtime",,60,20000,20,"true",60,500,120,"PlaySound",,"60sec_warn_01"
,,,,60,13300,30,"true",60,350,180,"PlaySound",,"60sec_warn_01"
,,,,60,10000,40,"true",60,250,240,"PlaySound",,"60sec_warn_01"
,,,,60,8000,50,"true",60,200,,,,
"SuddenDeath",300,"Overtime",6,120,14000,20,"true",120,500,,,,
,,,,180,9300,30,"true",180,350,,,,
"RageMode",180,"Normal",6,120,20750,13,"true",120,1000,,,,
,120,"Overtime",,120,10550,27,"true",120,500,,,,
,,,,60,7000,40,"true",60,350,,,,
"Tutorial",0,"Normal",6,0,28000,10,"true",0,2000,,,,
"Spawning",180,"Normal",3,60,28000,10,"true",60,1000,,,,
,120,"Overtime",,120,14000,20,"true",120,500,,,,
,,,,120,9300,30,"true",120,350,,,,
"TeamVsTeam_Spawning",180,"Normal",3,60,40000,10,"true",60,1000,,,,
,120,"Overtime",,120,20000,20,"true",120,500,,,,
,,,,120,13300,30,"true",120,350,,,,
"7xElixir",180,"Normal",0,300,4000,70,"true",300,50,,,,
,120,"Overtime",,,,,,,,,,,
