"CardName","BadgeName","TaskNumber","IsTaskActive","TaskType","TaskOverrideTID","TaskUnlockLevel","Objective1","RewardType1","RewardAmount1","Objective2","RewardType2","RewardAmount2","Objective3","RewardType3","RewardAmount3","SingleRequirementAmount"
"string","string","int","boolean","string","string","int","int","string","int","int","string","int","int","string","int","int"
"MegaKnight",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,270000,"Cards",2,810000,"Gold",8000,1360000,"Gems",150,
,,2,"TRUE","HitUnitsWithSpawn",,12,280,"Gold",12000,800,"WildcardLegendary",2,1400,"Gold",18000,
,,3,"TRUE","KnockbackUnitsSingleDeploy","TID_MASTERY_TASK_KNOCKBACKUNITSSINGLEDEPLOY_MEGAKNIGHT",14,50,"CosmeticsToken",100,150,"CosmeticsToken",125,300,"CosmeticsToken",150,6
"ElectroWizard",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,10,160000,"Cards",2,480000,"Gold",8000,800000,"Gems",150,
,,2,"TRUE","HitUnitsWithSpawn",,12,280,"Gold",12000,800,"WildcardLegendary",2,1400,"Gold",18000,
,,3,"TRUE","DebuffUnitsSingleDeploy",,14,80,"CosmeticsToken",100,240,"CosmeticsToken",125,480,"CosmeticsToken",150,12
"BattleHealer",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,8,72500,"Cards",100,220000,"Gold",4000,365000,"Gems",150,
,,2,"TRUE","HealAmount",,11,120000,"Gold",6000,340000,"WildcardRare",100,600000,"Gold",9000,
,,3,"TRUE","BuffedUnitsDealDamage","TID_MASTERY_TASK_HEALEDUNITSDEALDAMAGE",14,600000,"CosmeticsToken",100,1800000,"CosmeticsToken",125,3000000,"CosmeticsToken",150,
"Pekka",,0,"TRUE","WinMatches",,1,5,"Gold",1000,,,,,,,
,,1,"TRUE","DealDamage",,9,255000,"Cards",20,770000,"Gold",6000,1280000,"Gems",150,
,,2,"TRUE","KillUnits",,11,420,"Gold",9000,1200,"WildcardEpic",20,2100,"Gold",15000,
