"Name","Rarity","TID","IconFileName","IconExportName","NoEffectToCrownTowers","BuildingDamagePercent","CrownTowerDamagePercent","DamagePerSecond","HitFrequency","DamageReduction","HealPerSecond","HitSpeedMultiplier","SpeedMultiplier","SpawnSpeedMultiplier","Invisible","RemoveOnAttack","RemoveOnHeal","RemoveOnHit","DamageOnHit","DamageMultiplier","Effect","FilterFile","FilterExportName","FilterAffectsTransformation","FilterInheritLifeDuration","IgnorePushBack","MarkEffect","AudioPitchModifier","Portal","AttractMinAngle","AttractMaxAngle","AttractPercentage","LateralPushPercentage","PushMassFactor","PushSpeedFactor","ControlledByParent","Clone","Scale","EnableStacking","ChainedBuff","ChainedBuffTime","ContinuousEffect","Charge","SpawnStartTime","SpawnNumber","SpawnInterval","SpawnPauseTime","SpawnObject","SpawnLimit","SpawnLevelIndex","HitpointMultiplier","Shield","Jump","Projectile","ProjectileEffect","RemoveEffect","OverrideProjectile","HitTickFromSource","MorphTarget","DeathSpawn","DeathSpawnIsEnemy","DeathSpawnCount","DeathSpawnDeployDelay","IgnoreBuildings","LockTarget","Rally","NotCloned","LevelIncrease","ApplyFear","SwitchTeam","SwitchTeamContinuosEffect"
"String","String","String","String","String","Boolean","int","int","int","int","int","int","int","int","int","Boolean","Boolean","Boolean","boolean","int","int","String","String","String","boolean","boolean","boolean","String","int","boolean","int","int","int","int","int","int","boolean","boolean","int","boolean","string","int","string","boolean","int","int","int","int","string","int","int","int","int","boolean","String","String","String","String","boolean","String","String","boolean","int","boolean","boolean","boolean","boolean","boolean","int","boolean","boolean","string"
"Rage","Epic","TID_SPELL_RAGE",,,,,,,,,,135,135,135,,,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freeze","Epic","TID_SPELL_FREEZE",,,,,,,,,,-100,-100,-100,,,,,,,,"sc/effects.sc","filter_cold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poison","Epic","TID_SPELL_POISON",,,,,-70,57,1000,,,,-15,,,,,,,,"PoisonSteam","sc/effects.sc","filter_poison",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IceWizardSlowDown","Legendary","TID_SPELL_ATTRIBUTE_SLOWDOWN",,,,,,,,,,-35,-35,-35,,,,,,,,"sc/effects.sc","filter_cold",,,,"Healing",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZapFreeze","Common","TID_SPELL_ZAP_FREEZE",,,,,,,,,,-100,-100,-100,,,,,,,,"sc/effects.sc","filter_cold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tornado","Epic","TID_SPELL_TORNADO",,,,,-83,106,500,,,,,,,,,,,,,"sc/effects.sc","filter_poison",,,,"Healing",,,,,360,,,100,"true",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clone","Epic","TID_SPELL_CLONE",,,,,,,,,,-100,-100,-100,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heal","Rare",,,,,,,,500,,37,,,,,,,,,,,"sc/effects.sc","filter_heal",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stun","Legendary",,,,,,,,,,,-100,-100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Invisibility","Legendary",,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,"ghost_aura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RageModeRage","Epic","TID_SPELL_RAGE",,,,,,,,,,135,135,135,,,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage_mode",,,,"Healing",125,,,,,,,,,,,"TRUE",,,"Spell_rage_mode_continuous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PoisonModePoison","Epic","TID_SPELL_POISON",,,"TRUE",,-70,50,2000,,,,,,,,,,,,"PoisonSteam","sc/effects.sc","filter_poison",,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IceWizardCold","Common","TID_SPELL_ICEWIZARD_SLOW",,,,,,,,,,-35,-35,-35,,,,,,,,"sc/effects.sc","filter_cold",,,,"Healing",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Earthquake","Rare",,,,,350,-35,39,1000,,,,-50,,,,,,,,"PoisonSteam","sc/effects.sc","filter_earthquake",,,,,-33,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,
"SuperEliteArcherCharm","Legendary","TID_SPELL_RAGE",,,,,,,,,,,,,,,,,,,,"sc/effects.sc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","SMArcher_Charming_Loop"
"BolaSnare","Legendary","TID_SPELL_ATTRIBUTE_SNARE",,,,,,,,,,,-70,,,,,,,,,"sc/effects.sc","filter_trap_hit",,,,"Healing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GoblinCurseFriend","Legendary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,"GoblinParty",,1,,"true",,,,,,,
"GoldenKnightCharge","Champion",,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"golden_knight_run",,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,
"GoblinCurseFoe","Legendary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,"GoblinParty","TRUE",1,,"true",,,,,,,
"InvisibilityRemoveOnAttack","Epic",,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,"ghost_aura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
