"Name","TID","LeagueTID","DataIndex","Trophies","LeagueIndex","DivisionIndex","TrophyChangeRiverRace","TrophyChangeRiverEnd","ChestSuffix","SectionLengthMultiplier","NumBoatDefenses","BoatShieldDurationSeconds","BoatRepairCost","LeagueBadgeSWF","LeagueBadgeExportName","LeagueBadgeFrameExportName","LeagueBadgeMiniExportName"
"string","string","string","int","int","int","int","intarray","intarray","string","intarray","intarray","intarray","intarray","string","string","string","string"
"Bronze1","TID_CLAN_LEAGUE_BRONZE_1","TID_CLAN_LEAGUE_BRONZE",0,0,0,0,20,100,"Bronze",72,15,86400,2200,"sc/ui.sc","wood_league_1","icon_wood_league_1_frame","icon_wood_league_1"
,,,,,,,10,50,,30,15,86400,2200,,,,
,,,,,,,0,0,,,,,,,,,
,,,,,,,0,0,,,,,,,,,
,,,,,,,0,0,,,,,,,,,
"Bronze2","TID_CLAN_LEAGUE_BRONZE_2","TID_CLAN_LEAGUE_BRONZE",1,200,0,1,20,100,,72,15,86400,2200,,"wood_league_2","icon_wood_league_2_frame","icon_wood_league_2"
,,,,,,,10,50,,35,15,86400,2200,,,,
,,,,,,,-1,-5,,,,,,,,,
,,,,,,,-2,-10,,,,,,,,,
,,,,,,,-4,-20,,,,,,,,,
"Bronze3","TID_CLAN_LEAGUE_BRONZE_3","TID_CLAN_LEAGUE_BRONZE",2,400,0,2,20,100,,72,15,86400,2200,,"wood_league_3","icon_wood_league_3_frame","icon_wood_league_3"
,,,,,,,10,50,,40,15,86400,2200,,,,
,,,,,,,-1,-5,,,,,,,,,
,,,,,,,-3,-15,,,,,,,,,
,,,,,,,-6,-30,,,,,,,,,
"Silver1","TID_CLAN_LEAGUE_SILVER_1","TID_CLAN_LEAGUE_SILVER",3,600,1,0,20,100,"Silver",85,15,64800,3200,"sc/ui.sc","silver_league_1","icon_silver_league_1_frame","icon_silver_league_1"
,,,,,,,10,50,,45,15,64800,3200,,,,
,,,,,,,-2,-10,,,,,,,,,
,,,,,,,-4,-20,,,,,,,,,
,,,,,,,-8,-40,,,,,,,,,
"Silver2","TID_CLAN_LEAGUE_SILVER_2","TID_CLAN_LEAGUE_SILVER",4,900,1,1,20,100,,85,15,64800,3200,,"silver_league_2","icon_silver_league_2_frame","icon_silver_league_2"
,,,,,,,10,50,,50,15,64800,3200,,,,
,,,,,,,-3,-15,,,,,,,,,
,,,,,,,-6,-30,,,,,,,,,
,,,,,,,-12,-60,,,,,,,,,
"Silver3","TID_CLAN_LEAGUE_SILVER_3","TID_CLAN_LEAGUE_SILVER",5,1200,1,2,20,100,,85,15,64800,3200,,"silver_league_3","icon_silver_league_3_frame","icon_silver_league_3"
,,,,,,,10,50,,60,15,64800,3200,,,,
,,,,,,,-4,-20,,,,,,,,,
,,,,,,,-8,-40,,,,,,,,,
,,,,,,,-16,-80,,,,,,,,,
"Gold1","TID_CLAN_LEAGUE_GOLD_1","TID_CLAN_LEAGUE_GOLD",6,1500,2,0,20,100,"Gold",100,15,43200,3900,"sc/ui.sc","gold_league_1","icon_gold_league_1_frame","icon_gold_league_1"
,,,,,,,10,50,,70,15,43200,3900,,,,
,,,,,,,-5,-25,,,,,,,,,
,,,,,,,-10,-50,,,,,,,,,
,,,,,,,-20,-100,,,,,,,,,
"Gold2","TID_CLAN_LEAGUE_GOLD_2","TID_CLAN_LEAGUE_GOLD",7,2000,2,1,20,100,,100,15,43200,3900,,"gold_league_2","icon_gold_league_2_frame","icon_gold_league_2"
,,,,,,,10,50,,80,15,43200,3900,,,,
,,,,,,,-5,-25,,,,,,,,,
,,,,,,,-10,-50,,,,,,,,,
,,,,,,,-20,-100,,,,,,,,,
"Gold3","TID_CLAN_LEAGUE_GOLD_3","TID_CLAN_LEAGUE_GOLD",8,2500,2,2,20,100,,100,15,43200,3900,,"gold_league_3","icon_gold_league_3_frame","icon_gold_league_3"
,,,,,,,10,50,,90,15,43200,3900,,,,
,,,,,,,-5,-25,,,,,,,,,
,,,,,,,-10,-50,,,,,,,,,
,,,,,,,-20,-100,,,,,,,,,
"Legendary1","TID_CLAN_LEAGUE_LEGENDARY_1","TID_CLAN_LEAGUE_LEGENDARY",9,3000,3,0,20,100,"Legendary",100,15,43200,3900,"sc/ui.sc","legend_league_1","icon_legend_league_1_frame","icon_legend_league_1"
,,,,,,,10,50,,100,15,43200,3900,,,,
,,,,,,,-5,-25,,,,,,,,,
,,,,,,,-10,-50,,,,,,,,,
,,,,,,,-20,-100,,,,,,,,,
"Legendary2","TID_CLAN_LEAGUE_LEGENDARY_2","TID_CLAN_LEAGUE_LEGENDARY",10,4000,3,1,20,100,"Legendary",100,15,43200,3900,"sc/ui.sc","legend_league_2","icon_legend_league_2_frame","icon_legend_league_2"
,,,,,,,10,50,,120,15,43200,3900,,,,
,,,,,,,-5,-25,,,,,,,,,
,,,,,,,-10,-50,,,,,,,,,
,,,,,,,-20,-100,,,,,,,,,
"Legendary3","TID_CLAN_LEAGUE_LEGENDARY_3","TID_CLAN_LEAGUE_LEGENDARY",11,5000,3,2,20,100,"Legendary",100,15,43200,3900,"sc/ui.sc","legend_league_3","icon_legend_league_3_frame","icon_legend_league_3"
,,,,,,,10,50,,140,15,43200,3900,,,,
,,,,,,,-5,-25,,,,,,,,,
,,,,,,,-10,-50,,,,,,,,,
,,,,,,,-20,-100,,,,,,,,,
