"Name","TID","IconSWF","IconExportName","IconExportNameHiRes","FlyingIconScName","FlyingIconExportName","CardImageScName","CardImageExportName","FrontIconScName","FrontIconExportName","Target","Rarity","IsEnabled","HideInCollectionPage","MaxAmountKingLevel","MaxAmountValue","UsageTID","UsageShortTID","NotAvailableTID","AllowInFreeChronosOffers","MaxAmountInChronos","ChronosGemValue100","OnOverflowGoldValue","OnOverflowGemValue","NeverOverflow","InvalidTargetTID","SortOrder","IconFX","TutorialGivenAmount","RewardScreenAllowSkip","RewardScreenAppearEffect","RewardScreenLoopEffect","RewardScreenVignette","ChestAppearEffect","ChestLoopEffect","RewardDescriptionTID","DurationInHours","ShopOfferInfoTID"
"String","String","String","String","String","String","String","String","String","String","String","String","String","Boolean","Boolean","IntArray","IntArray","String","String","String","Boolean","int","int","int","int","Boolean","String","int","String","int","Boolean","String","String","String","String","String","String","int","String"
"WildcardCommon","TID_ITEM_CONSUMABLE_WILDCARD_COMMON","sc/ui_spells.sc","icon_consumable_wildcard_common","icon_consumable_wildcard_common_hires","sc/ui_spells.sc","icon_consumable_wildcard_common","sc/ui_spells.sc","card_image_consumable_wildcard_common","sc/ui_chest.sc","icon_consumable_wildcard_front_common","Spell","Common","TRUE",,0,50,"TID_ITEM_CONSUMABLE_WILDCARD_USAGE","TID_ITEM_CONSUMABLE_WILDCARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_WILDCARD_NOT_AVAILABLE","TRUE",5000,50,5,0,,"TID_ITEM_CONSUMABLE_WILDCARD_INVALID_TARGET",0,,25,"TRUE","consumable_rewardAppear_common_wildcard",,,"wildcard_openChest_get_common","wildcard_openChest_loop_common","TID_ITEM_CONSUMABLE_WILDCARD_COMMON_REWARD_DESCRIPTION",,"TID_SHOP_OFFER_INFO_CONSUMABLE_WILDCARD_COMMON"
,,,,,,,,,,,,,,,1,50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,400,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,800,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,1000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,2000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,5000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,5000,,,,,,,,,,,,,,,,,,,,,,
"WildcardRare","TID_ITEM_CONSUMABLE_WILDCARD_RARE","sc/ui_spells.sc","icon_consumable_wildcard_rare","icon_consumable_wildcard_rare_hires","sc/ui_spells.sc","icon_consumable_wildcard_rare","sc/ui_spells.sc","card_image_consumable_wildcard_rare","sc/ui_chest.sc","icon_consumable_wildcard_front_rare","Spell","Rare","TRUE",,0,20,"TID_ITEM_CONSUMABLE_WILDCARD_USAGE","TID_ITEM_CONSUMABLE_WILDCARD_USAGE_SHORT","TID_ITEM_CONSUMABLE_WILDCARD_NOT_AVAILABLE","TRUE",1250,500,50,0,,"TID_ITEM_CONSUMABLE_WILDCARD_INVALID_TARGET",1,,10,"TRUE","consumable_rewardAppear_rare_wildcard",,,"wildcard_openChest_get_rare","wildcard_openChest_loop_rare","TID_ITEM_CONSUMABLE_WILDCARD_RARE_REWARD_DESCRIPTION",,"TID_SHOP_OFFER_INFO_CONSUMABLE_WILDCARD_RARE"
,,,,,,,,,,,,,,,1,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,400,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,12,800,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,13,1000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,14,1250,,,,,,,,,,,,,,,,,,,,,,
