"Name","TID","DescriptionTID","Type","TaskSlotIndex","IsEnabled"
"String","String","String","String","int","boolean"
"DailyCompletion","TID_DAILY_TASK_DAILY_COMPLETION_NAME","TID_DAILY_TASK_DAILY_COMPLETION_DESC","DailyCompletion",-1,"TRUE"
"WeeklyCompletion","TID_DAILY_TASK_WEEKLY_COMPLETION_NAME","TID_DAILY_TASK_WEEKLY_COMPLETION_DESC","WeeklyCompletion",-1,"TRUE"
"PlayBattleTrophyRoad","TID_DAILY_TASK_PLAY_BATTLE_TROPHY_ROAD_NAME","TID_DAILY_TASK_PLAY_BATTLE_TROPHY_ROAD_DESC","PlayBattleTrophyRoad",0,"TRUE"
"PlayBattlePartyMode","TID_DAILY_TASK_PLAY_BATTLE_PARTY_MODE_NAME","TID_DAILY_TASK_PLAY_BATTLE_PARTY_MODE_DESC","PlayBattlePartyMode",0,"FALSE"
"PlayBattleChallengeOrTournament","TID_DAILY_TASK_PLAY_BATTLE_CHALLENGE_OR_TOURNAMENT_NAME","TID_DAILY_TASK_PLAY_BATTLE_CHALLENGE_OR_TOURNAMENT_DESC","PlayBattleChallengeOrTournament",0,"TRUE"
"PlayBattleRankedBattle","TID_DAILY_TASK_PLAY_BATTLE_RANKED_BATTLE_NAME","TID_DAILY_TASK_PLAY_BATTLE_RANKED_BATTLE_DESC","PlayBattleRankedBattle",0,"TRUE"
"PlayBattleClanWarsOrFriendly","TID_DAILY_TASK_PLAY_BATTLE_CLAN_WARS_OR_FRIENDLY_NAME","TID_DAILY_TASK_PLAY_BATTLE_CLAN_WARS_OR_FRIENDLY_DESC","PlayBattleClanWarsOrFriendly",0,"TRUE"
"PlayBattleAnyBattle","TID_DAILY_TASK_PLAY_BATTLE_ANY_BATTLE_NAME","TID_DAILY_TASK_PLAY_BATTLE_ANY_BATTLE_DESC","PlayBattleAnyBattle",0,"TRUE"
"OpenChest","TID_DAILY_TASK_OPEN_CHEST_NAME","TID_DAILY_TASK_OPEN_CHEST_DESC","OpenChest",1,"TRUE"
"GetSomethingFromStore","TID_DAILY_TASK_GET_SOMETHING_FROM_STORE_NAME","TID_DAILY_TASK_GET_SOMETHING_FROM_STORE_DESC","GetSomethingFromStore",2,"TRUE"
"RequestCards","TID_DAILY_TASK_REQUEST_CARDS_NAME","TID_DAILY_TASK_REQUEST_CARDS_DESC","RequestCards",2,"TRUE"
"UseEmote","TID_DAILY_TASK_USE_EMOTE_NAME","TID_DAILY_TASK_USE_EMOTE_DESC","UseEmote",2,"TRUE"
