"Name","FileName","ExportName","Layer","LowendLayer","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","CollisionRadius","Effect","AssetMinTrophy","AssetMinTrophyScore","AssetMinTrophyFileName","SortValue","SpecialType","CheerFileName","CheerExportName","ClassType","Animate","StartFrameOverride","Visibility","ChainedSWF","ChainedExportName","OvertimeAnimationEffect","PveStartEffect","PveEndEffect"
"string","string","string","string","string","int","int","int","int","int","int","string","string","int","string","int","string","string","string","string","boolean","int","string","string","string","string","string","string"
"Grassland_rock1","sc/effects.sc","Grassland_1x1_rock1","Object","Ground",63,63,-5,5,12,,,,,,,,,,,,,,,,,,
"Grassland_rock2","sc/effects.sc","Grassland_2x2_rock2","Object","Ground",88,88,-3,-5,,,,,,,,,,,,,,"Always",,,,,
"Grassland_rock3","sc/effects.sc","Grassland_1x1_rock3","Object","Ground",71,71,-4,1,,,,,,,,,,,,,,,,,,,
"Grassland_bush1","sc/effects.sc","Grassland_1x1_bush1","Object","Ground",91,91,-4,-8,28,,,,,,,,,,,,,,,,,,
"WoodWall_single_2","sc/effects.sc","Grassland_1x1_bush1","Object","Ground",91,91,-4,-8,28,,,,,,,,,,,,,,,,,,
"royal_red_deco","sc/level_royal_arena.sc","royal_red_deco","Object","Ground",61,61,,5,22,,,,,,,,,,,,,,,,,,
"royal_blue_deco","sc/level_royal_arena.sc","royal_blue_deco","Object","Ground",67,67,2,2,31,,,,,,,,,,,,,,,,,,
"royal_bucket","sc/level_royal_arena.sc","royal_bucket","Object","Ground",94,94,-5,73,6,,,,,,,,,,,"true",,,,,,,
"royal_red_endwall1","sc/level_royal_arena.sc","royal_red_endwall1","Object","Ground",95,95,,-48,4,,,,,,,,,,,,,,,,,,
"royal_red_tower1","sc/level_royal_arena.sc","royal_red_tower1","Object","Ground",95,95,,,37,,,,,,,,,,,,,,,,,,
"royal_red_tower2","sc/level_royal_arena.sc","royal_red_tower2","Object","Ground",95,95,,-32,18,,,,,,,,,,,,,,,,,,
"royal_red_wall_middle","sc/level_royal_arena.sc","royal_red_wall_middle","Object","Ground",100,100,21,-88,26,,,,,,,,,,,,,,,,,,
"royal_mid_tower","sc/level_royal_arena.sc","royal_mid_tower","Object","Ground",95,95,-8,76,14,,,,,,,,,,,,,,,,,,
"royal_red_endwall2","sc/level_royal_arena.sc","royal_red_endwall2","Object","Ground",95,95,35,-48,59,,,,,,,,,,,,,,,,,,
"royal_blue_endwall1","sc/level_royal_arena.sc","royal_blue_endwall1","Object","Ground",96,96,-12,59,24,,,,,,,,,,,,,,,,,,
"royal_blue_endwall2","sc/level_royal_arena.sc","royal_blue_endwall2","Object","Ground",95,95,-13,72,11,,,,,,,,,,,,,,,,,,
"royal_blue_roof_left","sc/level_royal_arena.sc","royal_blue_roof_left","Object","Ground",95,95,-28,-139,,,,,,,,,,,,,,,,,,,
"royal_blue_roof_right","sc/level_royal_arena.sc","royal_blue_roof_right","Object","Ground",95,95,-4,-112,11,,,,,,,,,,,,,,,,,,
"royal_blue_tower1","sc/level_royal_arena.sc","royal_blue_tower1","Object","Ground",95,95,2,11,10,,,,,,,,,,,,,,,,,,
"royal_blue_tower2","sc/level_royal_arena.sc","royal_blue_tower2","Object","Ground",94,94,24,-111,53,,,,,,,,,,,,,,,,,,
"royal_blue_wall_middle","sc/level_royal_arena.sc","royal_blue_wall_middle","Object","Ground",95,95,-7,43,42,,,,,,,,,,,,,,,,,,
"royal_red_roof_left","sc/level_royal_arena.sc","royal_red_roof_left","Object","Ground",95,95,3,-151,33,,,,,,,,,,,,,,,,,,
"royal_red_roof_right","sc/level_royal_arena.sc","royal_red_roof_right","Object","Ground",95,95,-9,-146,,,,,,,,,,,,,,,,,,,
"royal_sidestand_left","sc/level_royal_arena.sc","royal_sidestand_left","Object","Ground",95,95,-29,147,8,,,,,,,,,,,,,,,,,,
"royal_sidestand_right","sc/level_royal_arena.sc","royal_sidestand_right","Object","Ground",84,84,-35,112,1,,,,,,,,,,,,,,,,,,
"royal_blocktree","sc/level_royal_arena.sc","royal_blocktree","Object","Ground",95,95,-6,-6,29,,,,,,,,,,,,,,,,,,
"royal_bush1x","sc/level_royal_arena.sc","royal_bush1x","Object","Ground",95,95,-3,-5,25,,,,,,,,,,,,,,,,,,
"royal_base_top_2v2","sc/level_royal_arena.sc","royal_base_top_2v2","Base","Ground",,,,,,,,,,,,,,,,,,,,,,,
