"Name","CameraMode","CameraXOffset","CameraYOffset","EventTimeMS","EventType","EventParamInt1","EventParamInt2","EventParamString1"
"String","String","Int","Int","IntArray","StringArray","IntArray","IntArray","StringArray"
"Knight","Normal",,-1500,500,"Spawn",3500,13000,"Knight"
,,,,2500,"SpawnEnemy",7000,15000,"Musketeer"
,,,,10000,"Reset",,,
,,,,10250,"SpawnEnemy",3500,14000,"Knight"
,,,,10750,"KingCrying",,,
,,,,11000,"Spawn",5000,22000,"MiniPekka"
,,,,18000,"Reset",,,
"Archer","Normal",,-3000,500,"Spawn",1000,23000,"Archer"
,,,,500,"SpawnEnemy",2000,15000,"Minions"
,,,,9000,"KingCrying",,,
,,,,10000,"SpawnEnemy",5000,16000,"BabyDragon"
,,,,15500,"Reset",,,
"Minions","Fixed",4500,15000,500,"Spawn",4000,20000,"Minions"
,,,,500,"SpawnEnemy",4000,15000,"Knight"
,,,,6500,"KingCrying",,,
,,,,7500,"SpawnEnemy",4000,13500,"BabyDragon"
,,,,13000,"Reset",,,
"Arrows","Normal",,,500,"SpawnEnemy",5000,10000,"Minions"
,,,,2500,"Spawn",5000,12000,"Arrows"
,,,,4750,"SpawnEnemy",10000,10000,"Archer"
,,,,5500,"Spawn",10000,12000,"Arrows"
,,,,7250,"SpawnEnemy",6000,10000,"Princess"
,,,,8500,"Spawn",6000,12000,"Arrows"
,,,,10500,"SpawnEnemy",14000,15000,"Wallbreakers"
,,,,13000,"Spawn",14000,17500,"Arrows"
,,,,15000,"Reset",,,
,,,,15250,"Spawn",4000,15000,"Prince"
,,,,17500,"SpawnEnemy",5000,13000,"SkeletonArmy"
,,,,19000,"Spawn",5000,13000,"Arrows"
,,,,21500,"Reset",,,
,,,,22000,"SpawnEnemy",3500,25000,"GoblinBarrel"
,,,,26500,"Spawn",3500,28000,"Arrows"
,,,,29500,"Reset",,,
"Giant","Normal",,-3000,500,"Spawn",3500,15000,"Giant"
,,,,5000,"SpawnEnemy",6000,11000,"Cannon"
,,,,17500,"Reset",,,
,,,,17500,"KingCrying",,,
,,,,17750,"SpawnEnemy",3500,14000,"Giant"
,,,,19000,"Spawn",3500,18000,"SkeletonArmy"
,,,,26500,"Reset",,,
"Musketeer","Normal",,-1000,500,"Spawn",7000,18000,"Musketeer"
,,,,1500,"SpawnEnemy",7000,14000,"SpearGoblins"
,,,,5500,"KingCrying",,,
,,,,6000,"SpawnEnemy",3500,14000,"Prince"
,,,,11000,"Reset",,,
,,,,11000,"KingLaughing",,,
,,,,11250,"SpawnEnemy",10000,14000,"HogRider"
,,,,11500,"Spawn",8000,21000,"Musketeer"
,,,,21000,"Reset",,,
"MiniPekka","Normal",,-2500,500,"Spawn",14000,22000,"MiniPekka"
,,,,550,"SpawnEnemy",14000,14000,"Knight"
,,,,7500,"KingCrying",,,
,,,,8000,"SpawnEnemy",12000,10000,"SpearGoblins"
,,,,14500,"Reset",,,
,,,,14500,"KingLaughing",,,
,,,,14750,"Spawn",14000,20000,"MiniPekka"
,,,,14750,"SpawnEnemy",14000,14000,"HogRider"
,,,,27000,"Reset",,,
"Fireball","Normal",,,500,"SpawnEnemy",10000,10000,"Archer"
,,,,1500,"Spawn",10000,11000,"Fireball"
,,,,4000,"SpawnEnemy",5000,4500,"Minions"
,,,,5500,"Spawn",5000,7500,"Fireball"
,,,,7500,"SpawnEnemy",12000,6000,"EliteArcher"
,,,,9000,"Spawn",12000,7000,"Fireball"
,,,,11500,"SpawnEnemy",0,0,"Elixir Collector"
,,,,13000,"Spawn",2000,4000,"Fireball"
,,,,16000,"Reset",,,
"SkeletonArmy","Fixed",5000,16000,500,"Spawn",5000,21000,"SkeletonArmy"
,,,,1500,"SpawnEnemy",4000,14000,"HogRider"
,,,,5250,"SpawnEnemy",6000,14000,"BabyDragon"
,,,,5500,"KingCrying",,,
,,,,11000,"Reset",,,
,,,,11000,"KingLaughing",,,
,,,,11250,"SpawnEnemy",4000,14000,"Prince"
,,,,15000,"Spawn",9000,19500,"SkeletonArmy"
,,,,23000,"Reset",,,
"Prince","Normal",,-3000,500,"Spawn",4000,14000,"Prince"
,,,,5000,"SpawnEnemy",4000,9000,"Knight"
,,,,13500,"Reset",,,
,,,,13500,"KingCrying",,,
,,,,13750,"Spawn",4000,14000,"Prince"
,,,,15000,"SpawnEnemy",7000,9000,"Tombstone"
,,,,29000,"Reset",,,
"BabyDragon","Normal",,-3000,500,"Spawn",4000,21000,"BabyDragon"
,,,,1000,"SpawnEnemy",3500,14000,"Wallbreakers"
,,,,1500,"SpawnEnemy",3500,13000,"SkeletonArmy"
,,,,10500,"KingCrying",,,
,,,,11000,"SpawnEnemy",8000,9000,"Musketeer"
,,,,18500,"Reset",,,
"Wallbreakers","Normal",,-3000,500,"Spawn",3000,18000,"Wallbreakers"
,,,,7500,"Reset",,,
,,,,7500,"KingCrying",,,
,,,,7750,"Spawn",3000,17000,"Wallbreakers"
,,,,9500,"SpawnEnemy",8500,10000,"Cannon"
,,,,14000,"Reset",,,
"Goblins","Normal",,-2000,500,"Spawn",3500,21000,"Goblins"
,,,,2500,"SpawnEnemy",3500,14000,"Giant"
,,,,13000,"SpawnEnemy",5000,8000,"Knight"
,,,,13500,"KingCrying",,,
,,,,20000,"Reset",,,
"SpearGoblins","Normal",4000,-3000,500,"Spawn",1000,24000,"SpearGoblins"
,,,,500,"SpawnEnemy",3500,14000,"Minions"
,,,,10000,"CameraStop",,,
,,,,13500,"Reset",,,
,,,,13500,"CameraOffset",4000,,
,,,,13500,"KingCrying",,,
,,,,13750,"SpawnEnemy",3500,14000,"SpearGoblins"
,,,,16000,"Spawn",3500,17000,"Valkyrie"
,,,,16900,"CameraStop",,,
,,,,19000,"Reset",,,
"HogRider","Normal",,-3000,500,"Spawn",7000,17000,"HogRider"
,,,,8500,"Reset",,,
,,,,8500,"KingCrying",,,
,,,,8750,"Spawn",6000,17000,"HogRider"
,,,,11250,"SpawnEnemy",9000,11000,"Cannon"
,,,,19000,"Reset",,,
"GoblinHut","Normal",,-3000,500,"Spawn",7000,23500,"GoblinHut"
,,,,500,"SpawnEnemy",3500,14000,"Giant"
,,,,22000,"Reset",,,
