"Name","ObjectType","EnabledTargetingMethods"
"string","string","string"
"CHALLENGE","ChallengeDefinitionType","RULE,VARIANT"
"FRIENDLY","FriendlyChallengeDefinitionType","RULE,VARIANT"
"SHOP","ShopDefinitionType","RULE,VARIANT,INDIVIDUAL"
"LADDER","LadderDefinitionType","RULE,VARIANT"
"QUEST","Quest","RULE,VARIANT"
"NOTIFICATION","NotificationDefinitionType","RULE,VARIANT"
"BOOSTS","BoostType","RULE,VARIANT"
"SHOP_CYCLE","ShopCycleItemAll","RULE,VARIANT"
"CHALLENGE_CHAIN","ChallengeChainType","RULE,VARIANT"
"CHALLENGE_PAGE","ChallengePageTitle","RULE,VARIANT"
"ARENA_PACK","ArenaPackType","RULE,VARIANT"
"NEWS","NewsDefinition","RULE,VARIANT,INDIVIDUAL"
"FILE_PRELOAD","FileDefinition","RULE,VARIANT"
"FORTUNE_TARGET","FortuneTargetDefinition","RULE,VARIANT"
