Name,Option
string,string
ResourceEnum,Gold
,Gems
IconExportNameEnum,icon_tournament_2x_elixir
,icon_tournament_2x_elixir_grand
,icon_tournament_blind_deck
,icon_tournament_blind_deck_grand
,icon_tournament_bronze
,icon_tournament_card_release
,icon_tournament_card_release_grand
,icon_tournament_custom
,icon_tournament_draft
,icon_tournament_draft_grand
,icon_tournament_gold
,icon_tournament_goldrush
,icon_tournament_goldrush_grand
,icon_tournament_retro
,icon_tournament_retro_grand
,icon_tournament_special
,icon_tournament_special_grand
,icon_tournament_3x_elixir
,icon_tournament_3x_elixir_grand
,icon_tournament_ramp_up
,icon_tournament_ramp_up_grand
,icon_tournament_suddendeath
,icon_tournament_suddendeath_grand
,icon_tournament_2v2
,icon_tournament_2v2_grand
,icon_tournament_touchdown
,icon_tournament_touchdown_grand
,icon_tournament_mirror
,icon_tournament_mirror_grand
,icon_tournament_rage
,icon_tournament_popdeck
WinIconExportNameEnum,tournament_open_wins_badge_bronze
,tournament_open_wins_badge_gold
,tournament_open_wins_badge_blind
,tournament_open_wins_badge_draft
,tournament_open_wins_badge_legendary
CostTypeEnum,IAP
,Gold
,Gems
,Free
,Auto_Gems
OfferRewardEnum,Chest
,Gold
,Gems
,Spell
,ChestWithCardTheme
,EmotePack
BillingPackages,com.supercell.scroll.specialoffertier1
,com.supercell.scroll.specialoffertier2
,com.supercell.scroll.specialoffertier3
,com.supercell.scroll.specialoffertier4
,com.supercell.scroll.specialoffertier5
,com.supercell.scroll.specialoffertier6
,com.supercell.scroll.specialoffertier7
,com.supercell.scroll.specialoffertier8
,com.supercell.scroll.specialoffertier9
,com.supercell.scroll.specialoffertier10
,com.supercell.scroll.specialoffertier15
,com.supercell.scroll.specialoffertier20
,com.supercell.scroll.specialoffertier50
,com.supercell.scroll.specialoffertier60
ArenaEnum,All
,TrainingCamp
,Arena1
,Arena2
,Arena3
,Arena4
,Arena5
,Arena6
,Arena_L
,Arena7
,Arena8
,Arena9
,Arena_T
,Arena_TouchdownTest
,Arena_Electric
ShopTemplates,shop_item1_all_text
,shop_item1_center_text
,shop_item1_center_text_chest
,shop_item1_left_right_text
,shop_item1_left_text
,shop_item1_left_text_chest
,shop_item1_no_text
,shop_item1_right_text
,shop_item1_right_text_chest
,shop_item2_no_text
,shop_item2_text
,shop_item2_text_chest
,shop_item3_no_text
,shop_item3_text
,shop_item3_text_chest
,shop_item3_text_chest_sml
,shop_item1_drop_rate_01
,shop_item1_drop_rate_02
,shop_item1_emotepack
,shop_item2_emotepack
,shop_item1_emotepack_xtra
,shop_item2_emotepack_xtra
,shop_multi_chest_offer_1
,shop_multi_chest_offer_2
,shop_multi_chest_offer_3
,shop_multi_chest_offer_4
,shop_multi_chest_offer_5
MilestoneTypeEnum,Chest
,Gold
,Gems
,Spell
,RandomSpell
ChestEnum,Giant_<max_arena>
,Magic_<max_arena>
,Epic_<max_arena>
,Legendary
,Super_<max_arena>
,Kings<shop>
,Lightning<shop>
,Silver_<max_arena>
,Gold_<max_arena>
RarityEnum,Common
,Rare
,Epic
,Legendary
SkinEnum,Skin1
,Skin2
,Skin3
,Skin4
,Skin5
,Skin6
,Skin7
,Skin8
,Skin9
,Skin10
,Skin11
,Skin12
DraftDecks,None
,Draft_v1
,Draft_Touchdown_v1
,Draft_H_v1
,Draft_v1_dec_card_release
,Draft_SnowHogs
,Draft_old
DraftSets,None
,Draft_AllRandom
,Draft_TankUnit
,Draft_Legendary
,Draft_AntiAir
,Draft_DamageSpell
,Draft_CheapDudes
,Draft_Buildings
,Draft_Aggressive
,Draft_CoolStuff
,Draft_3costUnit
,Draft_4costUnit
,Draft_5costUnit
,Draft_AllRandom
,Draft_CheapCards
,Draft_AntiAir2
,Draft_RH_TankUnit
,Draft_RH_AntiAir
,Draft_RH_CycleUnder3
,Draft_RH_DirectDamage
,Draft_RH_Punish
,Draft_RH_Investment
,Draft_RH_HitTower
,Draft_RH_CombatTricks
,Draft_RH_VersatileLegs
,Draft_RH_TankSupport
,Draft_RH_AntiTank
,Draft_RH_Distractions
,Draft_RH_Splash
,Draft_RH_MiniTank
,Draft_RH_WinCons
,Draft_RH_Basic3s
,Draft_RH_2ndSpell
ClanChestTypeEnum,ClanCrowns
,TeamBattle
NotificationCategoryEnum,Battle
,Clan
,Shop
,Challenge
,Cards
,RoyaleBox
AccountTypeEnum,AnyAccount
,DemoAccount
,NonDemoAccount
GameModes_Friendly,BlindDeck
,DoubleElixir_Friendly
,DraftMode
,DraftModeInsane
,TeamVsTeam
,CardReleaseDraft
,TeamVsTeamDraftChallenge
,Overtime_Friendly
,TripleElixir_Friendly
,RampUpElixir_Friendly
,TeamVsTeam_DoubleElixir_Friendly
,TeamVsTeam_Overtime_Friendly
,TeamVsTeam_RampUpElixir_Friendly
,TeamVsTeam_DraftModeInsane_Friendly
,Touchdown_Draft
,TeamVsTeam_Touchdown_Draft
,MirrorDeck
,TeamVsTeam_MirrorDeck
,MirrorDeck_H
,TeamVsTeam_MirrorDeck_H
,Touchdown
,SwappingTowers_Friendly
,CheapElixir_Friendly
,CaptureTower_Friendly
,Rage_Friendly
,MirrorDeck_CW
,LavaFloor_Friendly
,PopularDecks_Friendly
GameModes_Challenge,BlindDeck
,DoubleElixir
,DraftMode
,Challenge
,DraftModeInsane
,RetroRoyale
,CardRelease
,CardReleaseDraft
,Overtime_Tournament
,TeamVsTeamChallenge
,TripleElixir_Tournament
,RampUpElixir_Tournament
,TeamVsTeamDraftChallenge
,TeamVsTeam_DoubleElixir_Tournament
,TeamVsTeam_Overtime_Tournament
,TeamVsTeam_RampUpElixir_Tournament
,TeamVsTeam_DraftModeInsane_Friendly
,GoldRush_Tournament
,Touchdown_Draft
,TeamVsTeam_Touchdown_Draft
,MirrorDeck
,TeamVsTeam_MirrorDeck
,MirrorDeck_H
,TeamVsTeam_MirrorDeck_H
,ModernRoyale
,Touchdown
,CaptureTower_Friendly
,MirrorDeck_CW
,Event_NewArena1
,Event_NewArena2
,Event_NewArena3
,Event_NewArena4
,Event_NewArena5
,Event_NewArena6
,Event_NewArena7
,Event_NewArena8
,Event_NewArena9
,Event_NewArena10
,Event_NewArena11
