"Name","ExpToNextLevel","SummonerLevel","TowerLevel","TroopLevel","DiamondReward","OriginalExpToNextLevel","LevelUpChest"
"String","int","int","int","int","int","int","String"
1,20,1,1,1,,20,
2,50,2,2,2,,50,"LevelUpChest_KL2"
3,100,3,3,3,,100,"LevelUpChest_KL3"
4,200,4,4,4,,200,"LevelUpChest_KL4"
5,400,5,5,5,,400,"LevelUpChest_KL5"
6,1000,6,6,6,,1000,"LevelUpChest_KL6"
7,2000,7,7,7,,2000,"LevelUpChest_KL7"
8,5000,8,8,8,,5000,"LevelUpChest_KL8"
9,10000,9,9,9,,10000,"LevelUpChest_KL9"
10,20000,10,10,10,,30000,"LevelUpChest_KL10"
11,35000,11,11,11,,40000,"LevelUpChest_KL11"
12,50000,12,12,12,,80000,"LevelUpChest_KL12"
13,80000,13,13,13,,100000,"LevelUpChest_KL13"
14,100000,14,14,14,,0,"LevelUpChest_KL14"
