"Name","Location","PredefinedDeck","Trophies","ManaRegenMs","ManaRegenMsEnd","ManaRegenMsOvertime","ExpLevel","CanReplay","TID","Seed","FullDeckNotNeeded","ManaReserve","StartingMana","WizardHpMultiplier","StartTaunt","OwnTowerDestroyedTaunt","HighlightTargetsOnManaFull","TrainingMatchAllowed"
"String","String","String","int","int","int","int","int","boolean","String","int","boolean","int","int","int","String","String","boolean","boolean"
"Npc1","FirstMatch","BasicDeck1",0,120000,120000,120000,1,"true","TID_NPC_1",2,"true",,1,40,,"NPC1_Tower","TRUE",
"Npc2","FirstMatch","BasicDeck2",0,120000,120000,120000,1,"true","TID_NPC_2",,"true",,1,60,"NPC2_Start","NPC2_Tower",,
"Npc3","TrainingCamp","BasicDeck3",0,100000,100000,100000,1,"true","TID_NPC_3",,"true",,1,60,"NPC3_Start","NPC3_Tower",,
"Npc4","TrainingCamp","BasicDeck4",0,100000,100000,100000,1,"true","TID_NPC_4",,"true",,2,80,"NPC4_Start","NPC4_Tower",,
"Npc5","TrainingCamp","BasicDeck5",0,100000,100000,100000,1,"true","TID_NPC_5",,"true",,3,80,"NPC4_Start","NPC4_Tower",,
"Npc6","TrainingCamp","BasicDeck6",0,60000,30000,30000,1,"true","TID_NPC_6",,"true",,4,,"NPC4_Start","NPC4_Tower",,
"Npc7","TrainingCamp","BasicDeck7",0,50000,25000,25000,1,"true","TID_NPC_7",,"true",,5,,"NPC4_Start","NPC4_Tower",,
"Npc8","TrainingCamp","BasicDeck8",50,50000,25000,25000,2,"true","TID_NPC_8",,"true",,5,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc9","TrainingCamp","BasicDeck9",150,40000,20000,20000,2,"true","TID_NPC_9",,"true",,5,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc10","TrainingCamp","BasicDeck10",300,30000,15000,15000,2,"true","TID_NPC_10",,"true",,5,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc11","TrainingCamp","BasicDeck11",450,30000,15000,15000,3,"true","TID_NPC_11",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc12","TrainingCamp","BasicDeck12",600,30000,15000,15000,3,"true","TID_NPC_12",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc13","TrainingCamp","BasicDeck13",700,30000,15000,15000,3,"true","TID_NPC_13",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc14","TrainingCamp","BasicDeck14",800,30000,15000,15000,5,"true","TID_NPC_14",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc15","TrainingCamp","BasicDeck15",900,30000,15000,15000,5,"true","TID_NPC_15",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc16","TrainingCamp","BasicDeck16",1000,28000,14000,14000,7,"true","TID_NPC_16",,"true",,-1,,"NPC16_Start","NPC4_Tower",,"TRUE"
"Npc17","TrainingCamp","BasicDeck17",1100,28000,14000,14000,7,"true","TID_NPC_17",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc18","TrainingCamp","BasicDeck18",1200,28000,14000,14000,10,"true","TID_NPC_18",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc19","TrainingCamp","BasicDeck19",1300,28000,14000,14000,10,"true","TID_NPC_19",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc20","TrainingCamp","BasicDeck20",1400,28000,14000,14000,14,"true","TID_NPC_20",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc21","TrainingCamp","BasicDeck21",1500,28000,14000,14000,10,"true","TID_NPC_21",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
"Npc22","TrainingCamp","BasicDeck22",1600,28000,14000,14000,10,"true","TID_NPC_22",,"true",,-1,,"NPC4_Start","NPC4_Tower",,"TRUE"
