"Name","LevelCount","RelativeLevel","TournamentLevelIndex","MirrorRelativeLevel","CloneRelativeLevel","DonateCapacity","SortCapacity","DonateReward","DonateXP","OverflowPrestige","GoldConversionValue","MaxLevelDonationCost","TradeCardAmount","ChanceWeight","BalanceMultiplier","UpgradeExp","UpgradeMaterialCount","OriginalUpgradeMaterialCount","UpgradeCost","PowerLevelMultiplier","RefundGems","TID","CastEffect","SortOrder","Red","Green","Blue","AppearEffect","BuySound","LoopEffect","CardTxtBgFrameIdx","CardGlowInstanceName","SpellSelectedSound","SpellAvailableSound","RotateExportName","GoldFrameExportName","IconSWF","IconExportName","TokenSWF","TokenExportName","TokenFlyingIconSWF","TokenFlyingIconExportName","TokenGoldValue","NpcTraderRerollGemCost","CanBeInChests","IfChestChanceOverXPercentDropGuaranteed"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","String","int","int","int","int","String","String","String","int","String","String","String","String","String","String","String","String","String","string","String","int","Int","boolean","int"
"Common",14,0,10,0,0,1,1,5,1,1,5,5,250,194,100,4,2,2,5,110,2,"TID_RARITY_COMMON","SpellCasting",1,153,204,255,"openChest_get_common","sound_buy_card_common","openChest_loop_common",0,,,,"card_rotate_common_short","card_frame_gold","sc/ui.sc","icon_btn_card_common","sc/ui_spells.sc","token_common","sc/ui.sc","token_common",250,10,"TRUE",
,,,,,,,,,,,,,,,,5,4,4,20,121,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6,10,10,50,133,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10,20,20,150,146,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,25,50,50,400,160,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,50,100,100,1000,176,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,100,200,200,2000,193,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200,400,400,4000,212,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,400,800,800,8000,233,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,600,1000,1000,15000,256,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,800,1500,2000,35000,281,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1600,3000,5000,75000,309,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2000,5000,0,100000,339,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,0,0,0,372,,,,,,,,,,,,,,,,,,,,,,,,,,
