"Name","LeagueRoad","Arena","SeasonID","StoryContentSWF","BattlePageHeaderExportName","EventPageHeaderExportName"
"String","string","string","int","String","String","String"
"SeasonDefault","Season1",,0,"sc/ui.sc",,
,"Season2",,,,,
,"Season3",,,,,
,"Season4",,,,,
,"Season5",,,,,
,"Season6",,,,,
,"Season7",,,,,
,"Season8",,,,,
,"Season9",,,,,
,"Season10",,,,,
,"Season11",,,,,
,"Season12",,,,,
,"Season13",,,,,
,"Season14",,,,,
,"Season15",,,,,
,"Season16",,,,,
,"Season17",,,,,
,"Season18",,,,,
,"Season19",,,,,
,"Season20",,,,,
,"Season21",,,,,
,"Season22",,,,,
,"Season23",,,,,
,"Season24",,,,,
,"Season25",,,,,
,"Season26",,,,,
,"Season27",,,,,
