"Name","A","B","C","D"
"String","int","int","int","String"
"Revision",4,,,
"Cycle_Free_Gold",10,,,
"Cycle_Pay_Gold",0,,,
"Cycle_Free_Chest",4,,,
"Cycle_Pay_Chest",0,,,
"Cycle_Legendary",18,,,
"Cycle_Free_Gems",4,,,
"Cycle_Free_Common_Stacks",5,,,
"Cycle_Free_Rare_Stacks",7,,,
"Cycle_Duration",30,,,
"Common_Stack_Size",1,5,10,
,1,5,10,
,2,10,20,
,2,10,20,
,5,15,30,
,5,15,30,
,10,20,40,
,10,20,40,
,15,30,50,
,20,40,60,
,25,50,70,
,30,60,80,
,40,70,90,
,50,80,100,
,50,80,100,
,50,80,100,
,50,80,100,
,50,80,100,
,50,80,100,
,50,80,100,
,50,80,100,
,50,80,100,
,50,80,100,
,50,80,100,
"Common_Cost",10,,,
,10,,,
,10,,,
"Commons_Cost_Gems_For_Ten",5,,,
"Rare_Stack_Size",1,1,1,
,1,1,1,
,2,3,4,
,2,3,4,
,4,6,8,
,4,6,8,
,6,9,12,
,8,12,16,
,10,15,20,
,12,18,24,
,14,21,28,
,16,24,32,
,18,27,36,
,20,30,40,
,20,30,40,
,20,30,40,
,20,30,40,
,20,30,40,
,20,30,40,
,20,30,40,
,20,30,40,
,20,30,40,
,20,30,40,
,20,30,40,
"Rare_Cost",100,,,
,100,,,
,100,,,
"Rare_Cost_Gems",5,,,
"Epic_Stack_Size",1,1,1,
,1,1,1,
,1,1,1,
,1,1,1,
,1,1,2,
,1,1,2,
,1,2,3,
,1,2,3,
,1,2,4,
,1,2,4,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
,1,3,5,
"Epic_Sunday_Stack_Size",1,,,
,1,,,
,1,,,
,2,,,
,2,,,
,2,,,
,2,,,
,3,,,
,3,,,
,3,,,
,4,,,
,4,,,
,4,,,
,5,,,
,5,,,
,5,,,
,5,,,
,5,,,
,5,,,
,5,,,
,5,,,
,5,,,
,5,,,
,5,,,
"Epic_Cost",1000,,,
,1000,,,
,1000,,,
"Epic_Cost_Gems",50,,,
"Legendary_Cost",40000,,,
"Gold_Purchase",150,5,,
,150,5,,
,150,5,,
,150,5,,
,300,10,,
,300,10,,
,300,10,,
,300,10,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
,600,20,,
"Gold_Free",300,,,
,300,,,
,400,,,
,500,,,
,600,,,
,700,,,
,800,,,
,900,,,
,1000,,,
,1100,,,
,1200,,,
,1300,,,
,1400,,,
,1500,,,
,1500,,,
,1500,,,
,1500,,,
,1500,,,
,1500,,,
,1500,,,
,1500,,,
,1500,,,
,1500,,,
,1500,,,
"Free_Chest_Chance",100,,,"Gold"
,0,,,"Gold"
"Gem_Free",10,,,
,10,,,
,10,,,
,10,,,
,10,,,
,10,,,
,15,,,
,15,,,
,15,,,
,15,,,
,20,,,
,20,,,
,20,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
"Large_Gem_Chance_PlayerXP",0,,,
,0,,,
,0,,,
,20,,,
,30,,,
,40,,,
,50,,,
,50,,,
,50,,,
"Epic_Stack_Offset_By_Trophies",0,0,,
,4000,2,,
,4300,3,,
,4900,4,,
"Cycle_Num_Legendaries_In_Vanilla",0,0,,
,4000,3,,
,4900,3,,
,5200,6,,
,5500,6,,
,5800,9,,
"Free_Common_Stack_Size",25,,,
,25,,,
,35,,,
,45,,,
,55,,,
,60,,,
,65,,,
,70,,,
,75,,,
,80,,,
,85,,,
,90,,,
,95,,,
,100,,,
,100,,,
,100,,,
,100,,,
,100,,,
,100,,,
,100,,,
,100,,,
,100,,,
,100,,,
,100,,,
"Free_Rare_Stack_Size",6,,,
,6,,,
,7,,,
,8,,,
,9,,,
,10,,,
,11,,,
,13,,,
,15,,,
,17,,,
,19,,,
,21,,,
,23,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
,25,,,
