"StatType","UnitType","StatTitleTID","IconExportName"
"String","String","String","String"
"TYPE_DAMAGE","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_DAMAGE","icons_stats_dmg"
"TYPE_DAMAGE_AREA","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_AREA_DAMAGE","icons_stats_dmg_area"
"TYPE_DAMAGE_DEATH","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_DEATH_DAMAGE","icons_stats_dmg_death"
"TYPE_DAMAGE_TOWER","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_TOWER_DAMAGE","icons_stats_dmg_crown"
"TYPE_DAMAGE_DEATH_TOWER","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_DEATH_TOWER_DAMAGE","icons_stats_tower_death_dmg"
"TYPE_DURATION","UNIT_TIME","TID_SPELL_ATTRIBUTE_DURATION","icons_stats_deploy_time"
"TYPE_DEPLOY_TIME","UNIT_TIME","TID_SPELL_ATTRIBUTE_DEPLOY_TIME","icons_stats_deploy_speed"
"TYPE_RANGE","UNIT_TILES","TID_SPELL_ATTRIBUTE_RANGE","icons_stats_range"
"TYPE_RANGE_MELEE","UNIT_STRING","TID_SPELL_ATTRIBUTE_RANGE","icons_stats_range"
"TYPE_DISTANCE","UNIT_TILES","TID_SPELL_ATTRIBUTE_DISTANCE","icons_stats_range"
"TYPE_DPS","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_DPS","icons_stats_dmg_dps"
"TYPE_TOWER_DPS","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_TOWER_DPS","icons_stats_dmg_crown"
"TYPE_POISON_DPS","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_SPAWN_AREA_EFFECT_DPS","icons_stats_boost_poison"
"TYPE_COUNT","UNIT_COUNT","TID_SPELL_ATTRIBUTE_COUNT","icons_stats_troop_count"
"TYPE_SPAWN_COUNT","UNIT_COUNT","TID_SPELL_ATTRIBUTE_SPAWN_CHARACTER_COUNT","icons_stats_troop_count"
"TYPE_SPAWN_LEVEL","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_SPAWN_CHARACTER_LEVEL","icons_stats_troop"
"TYPE_SPAWN_INNER_LEVEL","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_SPAWN_CHARACTER_LEVEL","icons_stats_troop"
"TYPE_SPAWN_LIMIT","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_MAX_SPAWN_COUNT","icons_stats_troop_count"
"TYPE_SPAWN_AREA_EFFECT","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_SPAWN_AREA_EFFECT","icons_stats_strength"
"TYPE_SPAWN_TIME","UNIT_TIME","TID_SPELL_ATTRIBUTE_SPAWN_TIME","icons_stats_deploy_time"
"TYPE_SPAWN_DAMAGE","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_SPAWN_DAMAGE","icons_stats_dmg"
"TYPE_SPAWN_DAMAGE_TOWER","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_SPAWN_DAMAGE_TOWER","icons_stats_dmg_crown"
"TYPE_HEALTH","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_HEALTH","icons_stats_hp"
"TYPE_SHIELD_HEALTH","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_SHIELD_HEALTH","icons_stats_shield_hp"
"TYPE_SPEED","UNIT_SPEED","TID_SPELL_ATTRIBUTE_SPEED","icons_stats_speed"
"TYPE_HIT_SPEED","UNIT_TIME","TID_SPELL_ATTRIBUTE_HIT_SPEED","icons_stats_dmg_speed"
"TYPE_TARGETS","UNIT_STRING","TID_SPELL_ATTRIBUTE_TARGET","icons_stats_target"
"TYPE_RADIUS","UNIT_TILES","TID_SPELL_ATTRIBUTE_RADIUS","icons_stats_radius"
"TYPE_WIDTH","UNIT_TILES","TID_SPELL_ATTRIBUTE_WIDTH","icons_stats_radius"
"TYPE_MIRROR_LEVEL_COMMON","UNIT_INTEGER","TID_MIRRORED_COMMON_LEVEL","icons_stats_card_common"
"TYPE_MIRROR_LEVEL_RARE","UNIT_INTEGER","TID_MIRRORED_RARE_LEVEL","icons_stats_card_rare"
"TYPE_MIRROR_LEVEL_EPIC","UNIT_INTEGER","TID_MIRRORED_EPIC_LEVEL","icons_stats_card_epic"
"TYPE_MIRROR_LEVEL_LEGENDARY","UNIT_INTEGER","TID_MIRRORED_LEGENDARY_LEVEL","icons_stats_card_legendary"
"TYPE_ELIXIR_LIMIT","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_MAX_ELIXIR","spell_stat_icon_cost"
"TYPE_ELIXIR_TIME","UNIT_TIME","TID_SPELL_ATTRIBUTE_ELIXIR_TIME","icons_stats_deploy_time"
"TYPE_AMMO","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_AMMO","spell_stat_icon_target"
"TYPE_BOOST","UNIT_PERCENT","TID_SPELL_ATTRIBUTE_BOOST","icons_stats_boost_rage"
"TYPE_FREEZE","UNIT_TIME","TID_SPELL_ATTRIBUTE_SPAWN_AREA_EFFECT_DURATION","icons_stats_boost_freeze"
"TYPE_RAGE","UNIT_PERCENT","TID_SPELL_ATTRIBUTE_SPAWN_AREA_EFFECT","icons_stats_boost_rage"
"TYPE_LIFE_TIME","UNIT_TIME","TID_SPELL_ATTRIBUTE_LIFETIME","icons_stats_deploy_time"
"TYPE_MAX_TARGETS","UNIT_COUNT","TID_SPELL_ATTRIBUTE_MAX_TARGETS","icons_stats_troop_count"
"TYPE_CLONE_LEVEL_COMMON","UNIT_INTEGER","TID_CLONED_COMMON_LEVEL","icons_stats_card_common"
"TYPE_CLONE_LEVEL_RARE","UNIT_INTEGER","TID_CLONED_RARE_LEVEL","icons_stats_card_rare"
"TYPE_CLONE_LEVEL_EPIC","UNIT_INTEGER","TID_CLONED_EPIC_LEVEL","icons_stats_card_epic"
"TYPE_CLONE_LEVEL_LEGENDARY","UNIT_INTEGER","TID_CLONED_LEGENDARY_LEVEL","icons_stats_card_legendary"
"TYPE_CLONE_LEVEL_CHAMPION","UNIT_INTEGER","TID_CLONED_CHAMPION_LEVEL","icons_stats_card_champion"
"TYPE_PORTAL_TIME","UNIT_TIME","TID_SPELL_ATTRIBUTE_PORTAL_TIME","icons_stats_deploy_time"
"TYPE_CLONE_HEALTH","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_CLONE_HEALTH","icons_stats_hp"
"TYPE_CLONE_SHIELD_HEALTH","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_CLONE_SHIELD_HEALTH","icons_stats_shield_hp"
"TYPE_CHARGE_DAMAGE","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_CHARGE_DAMAGE","icons_stats_strength"
"TYPE_HEAL","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_HEAL","icons_stats_hp"
"TYPE_CROWN_TOWER_HEAL","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_TOWER_HEAL","icons_stats_dmg_crown"
"TYPE_DASH_DAMAGE","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_DASH_DAMAGE","icons_stats_strength"
"TYPE_HEAL_PER_SECOND","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_HEAL_PER_SECOND","icons_stats_boost_heal"
"TYPE_DASH_RANGE","UNIT_MINMAX_RANGE","TID_SPELL_ATTRIBUTE_DASH_RANGE","icons_stats_dash_range"
"TYPE_JUMP_DAMAGE","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_JUMP_DAMAGE","icons_stats_strength"
"TYPE_JUMP_RANGE","UNIT_MINMAX_RANGE","TID_SPELL_ATTRIBUTE_JUMP_RANGE","icons_stats_dash_range"
"TYPE_BULLET_RANGE","UNIT_TILES","TID_SPELL_ATTRIBUTE_BULLET_RANGE","icons_stats_radius"
"TYPE_DAMAGE_ON_HIT","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_DAMAGE_ON_HIT","icons_stats_dmg"
"TYPE_SNARE_DURATION","UNIT_TIME","TID_SPELL_ATTRIBUTE_SPAWN_AREA_EFFECT_DURATION","icons_stats_deploy_speed"
"TYPE_SLOWDOWN_PERCENTAGE","UNIT_PERCENT","TID_SPELL_ATTRIBUTE_SLOWDOWN_PERCENTAGE","icons_stats_speed"
"TYPE_BUILDING_DPS","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_BUILDING_DPS","icons_stats_dmg_dps"
"TYPE_RANGED_DAMAGE","UNIT_INTEGER","TID_SPELL_ATTRIBUTE_RANGED_DAMAGE","icons_stats_strength"
"TYPE_RANGED_ATTACK_RANGE","UNIT_MINMAX_RANGE","TID_SPELL_ATTRIBUTE_RANGED_ATTACK_RANGE","icons_stats_dash_range"
"TYPE_CHAINED_ATTACKS","UNIT_INTEGER","TID_TYPE_CHAINED_ATTACKS","icons_stats_strength"
"TYPE_CURSE_DURATION","UNIT_TIME","TID_SPELL_ATTRIBUTE_CURSE_DURATION","icons_stats_deploy_time"
"TYPE_DEFLECTPRJ_UNIT_DMG_REDUCTION","UNIT_PERCENT_NOSIGN","TID_ABILITY_STAT_DEFLECTED_PRJ_TO_UNIT_DMG_MUL","icons_stats_dmg"
"TYPE_DEFLECTPRJ_TOWER_DMG_REDUCTION","UNIT_PERCENT_NOSIGN","TID_ABILITY_STAT_DEFLECTED_PRJ_TO_TOWER_DMG_MUL","icons_stats_dmg_crown"
"TYPE_DEFLECTSPELL_TOWER_DMG_REDUCTION","UNIT_PERCENT_NOSIGN","TID_ABILITY_STAT_DEFLECTED_SPELL_TO_TOWER_DMG_MUL","icons_stats_dmg_crown"
"TYPE_ABILITY_MINIMUM_SOULS","UNIT_INTEGER","TID_ABILITY_STAT_MINIMUM_SOULS","icons_stats_troop_count"
"TYPE_ABILITY_MAXIMUM_SOULS","UNIT_INTEGER","TID_ABILITY_STAT_MAXIMUM_SOULS","icons_stats_troop_count"
"TYPE_ABILITY_INVISIBILITY_DURATION","UNIT_TIME","TID_ABILITY_STAT_INVISIBILITY_DURATION","icons_stats_deploy_time"
"TYPE_ABILITY_SKELETON_LEVEL","UNIT_INTEGER","TID_ABILITY_STAT_SKELETON_LEVEL","icons_stats_troop"
"TYPE_ABILITY_FIRE_RATE_BOOST","UNIT_PERCENT","TID_ABILITY_STAT_FIRE_RATE_BOOST","icons_stats_boost_rage"
"TYPE_ABILITY_DAMAGE_PER_SECOND","UNIT_INTEGER","TID_ABILITY_STAT_DAMAGE_PER_SECOND","icons_stats_dmg_dps"
"TYPE_ABILITY_DASH_RANGE","UNIT_TILES","TID_ABILITY_STAT_DASH_RANGE","icons_stats_dash_range"
"TYPE_ABILITY_DASH_DAMAGE","UNIT_INTEGER","TID_ABILITY_STAT_DASH_DAMAGE","icons_stats_dmg"
