"Name","IconSWF","IconSWFChina","IconFile","HighresPlaceholderAsset","HighresImageFilename","UnlockArena","UnlockLevel","Rarity","NotVisible","Tribe","ManaCost","PrestigeCount","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","IsAGroup","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","ProjectileInterval","ProjectileAngle","ProjectileWaves","ProjectileWaveInterval","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","IndicatorPrestigeSWF","IndicatorPrestigeExportName","IndicatorPrestigeExportName2","IndicatorPrestigeExportName3","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin","FullLaneDeploy","AbilityCooldown","DeployStartY","DeployEndY","PveDefenseType","TypeOfSpell"
"string","string","string","string","string","string","string","int","string","boolean","string","int","int","boolean","boolean","boolean","int","boolean","string","int","int","string","int","int","int","int","int","string","string","int","int","string","int","int","int","int","boolean","boolean","boolean","int","int","int","int","string","int","int","string","int","int","int","string","string","boolean","boolean","boolean","boolean","string","string","string","string","String","String","string","string","string","string","boolean","String","String","int","boolean","boolean","String","String","int","int","int","boolean","int","int","int","string","string"
"Cannon",,,"chaos_cannon","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena3",,"Common",,,3,3,,,,,,"Cannon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_CANNON","TID_SPELL_INFO_CANNON",,,,,,,,,,,,,,,,,,,,,,"Defender",
"GoblinHut",,,"fire_furnace","sc/ui_card_info_fx.sc#card_info_fx_rare","image/chr/goblinhut_dl.png","Arena1",,"Rare",,,5,3,,,,,,"GoblinHut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_GOBLIN_HUT","TID_SPELL_INFO_GOBLIN_HUT",,,,,,,,,,,,,,,,,,,,,,"Attacker",
"Mortar",,,"building_mortar","sc/ui_card_info_fx.sc#card_info_fx_common_narrow","image/chr/mortar_dl.png","Arena5",,"Common",,,4,2,,,,,,"Mortar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_MORTAR","TID_SPELL_INFO_MORTAR",,,,,,,,,,,,,,,,,,,,,,"Defender",
"InfernoTower",,,"building_inferno","sc/ui_card_info_fx.sc#card_info_fx_rare_empty",,"Arena4",,"Rare",,,5,2,,,,,,"InfernoTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_INFERNO","TID_SPELL_INFO_INFERNO",,,,,,,,,,,,,,,,,,,,,,"Defender",
"BombTower",,,"bomb_tower","sc/ui_card_info_fx.sc#card_info_fx_rare_empty","image/chr/bombtower_dl.png","Arena4",,"Rare",,,4,1,,,,,,"BombTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_BOMB_TOWER","TID_SPELL_INFO_BOMB_TOWER",,,,,,,,,,,,,,,,,,,,,,"Defender",
"BarbarianHut",,,"barbarian_hut","sc/ui_card_info_fx.sc#card_info_fx_rare_empty",,"Arena9",,"Rare",,,6,2,,,,,,"BarbarianHut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_BARBARIAN_HUT","TID_SPELL_INFO_BARBARIAN_HUT",,,,,,,,,,,,,,,,,,,,,,"Defender",
"Tesla",,,"building_tesla","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/tesla_dl.png","Arena_L",,"Common",,,4,2,,,,,,"Tesla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_TESLA","TID_SPELL_INFO_TESLA",,,,,,,,,,,,,,,,,,,,,,"Defender",
"Elixir Collector",,,"building_elixir_collector","sc/ui_card_info_fx.sc#card_info_fx_rare_empty",,"Arena_L1",,"Rare",,,6,2,,,,,,"ElixirCollector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_ELIXIR_COLLECTOR","TID_SPELL_INFO_ELIXIR_COLLECTOR",,,,,,,,,,,,,,,,,,,,,,"Range",
"Xbow",,,"building_xbow","sc/ui_card_info_fx.sc#card_info_fx_epic_empty",,"Arena_L",,"Epic",,,6,3,,,,,,"Xbow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_XBOW","TID_SPELL_INFO_XBOW",,,,,,,,,,,,,,,,,,,,,,"Attacker",
