"Name","IconSWF","IconSWFChina","IconFile","HighresPlaceholderAsset","HighresImageFilename","UnlockArena","UnlockLevel","Rarity","NotVisible","Tribe","ManaCost","PrestigeCount","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","IsAGroup","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","ProjectileInterval","ProjectileAngle","ProjectileWaves","ProjectileWaveInterval","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","IndicatorPrestigeSWF","IndicatorPrestigeExportName","IndicatorPrestigeExportName2","IndicatorPrestigeExportName3","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin","FullLaneDeploy","AbilityCooldown","DeployStartY","DeployEndY","PveDefenseType","TypeOfSpell","EvolvedSpells","DarkElixirCost"
"string","string","string","string","string","string","string","int","string","boolean","String","int","int","boolean","boolean","boolean","int","boolean","string","int","int","string","int","int","int","int","int","string","string","int","int","string","int","int","int","int","boolean","boolean","boolean","int","int","int","int","string","int","int","string","int","int","int","string","string","boolean","boolean","boolean","boolean","string","string","string","string","String","String","string","string","string","string","boolean","String","String","int","boolean","boolean","String","String","int","int","int","boolean","int","int","int","string","string","string","int"
"Knight_EV1","sc/ui_spell_knight_evolution.sc",,"knight_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/knight_evolution_dl.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,,,,,"Knight_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_EVO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2
"Archer_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Goblins_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Giant_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Pekka_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Minions_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/knight.png","TrainingCamp",,"Common","TRUE","Kingdom",3,3,,"TRUE",,,,"Knight",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Balloon_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Witch_EV1",,,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
"Barbarians_EV1","sc/ui_spell_barbarian_evolution.sc",,"barbarian_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/barbarian_evolution_dl.png","Arena3",,"Common","TRUE",,5,2,,,,,,"Barbarian_EV1",5,,,,700,,100,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_BARBARIANS","TID_SPELL_INFO_EVO_BARBARIAN",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1
