"Name","IconSWF","IconFile","HighresPlaceholderAsset","HighresImageFilename","UnlockArena","UnlockLevel","Rarity","NotVisible","Tribe","ManaCost","PrestigeCount","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","ProjectileInterval","ProjectileAngle","ProjectileWaves","ProjectileWaveInterval","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","IndicatorPrestigeSWF","IndicatorPrestigeExportName","IndicatorPrestigeExportName2","IndicatorPrestigeExportName3","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin","FullLaneDeploy","AbilityCooldown","DarkElixirCost","NextCardReplace"
"string","string","string","string","string","string","int","string","boolean","string","int","int","boolean","boolean","boolean","int","string","int","int","String","int","int","int","int","int","string","string","int","int","string","int","int","int","int","boolean","boolean","boolean","int","int","int","int","string","int","int","string","int","int","int","string","string","boolean","boolean","boolean","boolean","string","string","string","string","String","String","string","string","string","string","boolean","String","String","int","boolean","boolean","String","String","int","int","int","boolean","int","int","string"
"ABILITY1",,"knight",,,"Arena_L",0,"Hero",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,"SpellCasting","HolyShield","TID_ABILITY_2","TID_ABILITY_2_INFO",,,,,,,,,,,,,,,,,,,,,
"ABILITY2",,"knight",,,"Arena_L",0,"Hero",,,0,,,,,1000,"MovingCannon",1,,,,-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"SpellCasting",,"TID_SPELL_KNIGHT","TID_SPELL_KNIGHT",,,,,,,,,,,,,,,,,,,,,
"ABILITY3",,"knight",,,"Arena_L",0,"Hero",,,0,,,,,0,"Skeleton",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellCasting","Graveyard2","TID_SPELL_KNIGHT","TID_SPELL_KNIGHT",,,,,,,,,,,,,,,,,,,,,
"ABILITY4",,"knight",,,"Arena_L",0,"Hero",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,"PowerCharge",,"true",,,,"SpellCasting",,"TID_SPELL_KNIGHT","TID_SPELL_KNIGHT",,,,,,,,,,,,,,,,,,,,,
"ABILITY5",,"knight",,,"Arena_L",0,"Hero",,,0,,,"TRUE",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"SpellCasting","EGLightning","TID_SPELL_KNIGHT","TID_SPELL_KNIGHT",,,,,,,,,,,,,,,,,,,,,
"ABILITY6",,"knight",,,"Arena_L",0,"Hero",,,0,,,"TRUE",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,"TimeFreeze",,"true",,,,"SpellCasting",,"TID_SPELL_KNIGHT","TID_SPELL_KNIGHT",,,,,,,,,,,,,,,,,,,,,
"ABILITY7",,"knight",,,"Arena_L",0,"Hero",,,0,,,"TRUE",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"SpellCasting",,"TID_SPELL_KNIGHT","TID_SPELL_KNIGHT",,,,,,,,,,,,,,,,,,,,,
"ABILITY8",,"knight",,,"Arena_L",0,"Hero",,,0,,,"TRUE",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"SpellCasting",,"TID_SPELL_KNIGHT","TID_SPELL_KNIGHT",,,,,,,,,,,,,,,,,,,,,
"ABILITY9",,"knight",,,"Arena_L",0,"Hero",,,0,,,"TRUE",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"SpellCasting",,"TID_SPELL_KNIGHT","TID_SPELL_KNIGHT",,,,,,,,,,,,,,,,,,,,,
