"Name","IconSWF","IconSWFChina","IconFile","HighresPlaceholderAsset","HighresImageFilename","UnlockArena","UnlockLevel","Rarity","NotVisible","Tribe","ManaCost","PrestigeCount","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","ProjectileInterval","ProjectileAngle","ProjectileWaves","ProjectileWaveInterval","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","IndicatorPrestigeSWF","IndicatorPrestigeExportName","IndicatorPrestigeExportName2","IndicatorPrestigeExportName3","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin","FullLaneDeploy","AbilityCooldown","DarkElixirCost","NextCardReplace","DeployStartY","DeployEndY","PveDefenseType"
"string","string","string","string","string","string","string","int","string","boolean","string","int","int","boolean","boolean","boolean","int","string","int","int","String","int","int","int","int","int","string","string","int","int","string","int","int","int","int","boolean","boolean","boolean","int","int","int","int","string","int","int","string","int","int","int","string","string","boolean","boolean","boolean","boolean","string","string","string","string","String","String","string","string","string","string","boolean","String","String","int","boolean","boolean","String","String","int","int","int","boolean","int","int","string","int","int","string"
"Fireball",,,"fire_fireball","sc/ui_card_info_fx.sc#card_info_fx_rare_empty",,"TrainingCamp",,"Rare",,,4,2,,,,,,,,,,,,,,,,,,"FireballSpell",,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"Fire ball",,"TID_SPELL_FIREBALL","TID_SPELL_INFO_FIREBALL",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Arrows",,,"order_volley","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/arrows.png","TrainingCamp",,"Common",,,3,3,,,,,,,,,,,,,,,,4000,,"ArrowsSpell",,,3,200,,"TRUE","TRUE",,,,,"Cast_RainOfArrows",,10,,,,,,,,"true","TRUE",,"SpellCasting",,"TID_SPELL_ARROWS","TID_SPELL_INFO_ARROWS",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Rage",,,"rage","sc/ui_card_info_fx.sc#card_info_fx_epic_empty",,"Arena14",,"Epic",,,2,1,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,"true",,"TRUE",,"SpellCasting","Rage","TID_SPELL_RAGE","TID_SPELL_INFO_RAGE",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Rocket",,,"rocket","sc/ui_card_info_fx.sc#card_info_fx_rare","image/chr/rocket_dl.png","Arena5",,"Rare",,,6,3,,,,,,,,,,,,,,,,,,"RocketSpell",,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"sound_rocket_spawn",,"TID_SPELL_ROCKET","TID_SPELL_INFO_ROCKET",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"GoblinBarrel",,,"goblin_barrel","sc/ui_card_info_fx.sc#card_info_fx_epic_empty","image/chr/goblin_barrel_dl.png","Arena6",,"Epic",,,3,3,,,,,,,,,,,,,,,,,,"GoblinBarrelSpell",,,,,,"TRUE",,,,,,"goblin_barrel_spawn",,,,,,,,,,"true","TRUE","TRUE","sound_goblin_barrel_spawn",,"TID_SPELL_GOBLIN_BARREL","TID_SPELL_INFO_GOBLIN_BARREL",,,,,,,,,,,,,,,,,,,,,,,,"Attacker"
"Freeze",,,"freeze","sc/ui_card_info_fx.sc#card_info_fx_epic_empty",,"Arena8",,"Epic",,,4,1,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,"Spell_freeze_cast",,,,,,,,,,"true","TRUE",,"SpellCasting","Freeze","TID_SPELL_FREEZE","TID_SPELL_INFO_FREEZE",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Mirror",,,"mirror","sc/ui_card_info_fx.sc#card_info_fx_epic_empty","image/chr/mirror_dl.png","Arena_L1",,"Epic",,,1,3,,,"TRUE",,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,"deploy_mirror",,,,,,,,,,,"TRUE",,"SpellCasting",,"TID_SPELL_MIRROR","TID_SPELL_INFO_MIRROR",,,,,,,,,,,,,,,,,,,,,,,,"Range"
"Lightning",,,"lightning","sc/ui_card_info_fx.sc#card_info_fx_epic_empty",,"Arena8",,"Epic",,,6,1,,,,,,,,,,,,,,,,3500,,,,,,,,"TRUE","TRUE",,,,,"spell_lightning_deploy",,,,,,,,,,"true","TRUE",,"SpellCasting","Lightning","TID_SPELL_LIGHTNING","TID_SPELL_INFO_LIGHTNING",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Zap",,,"zap","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/zap_dl.png","Arena5",,"Common",,,2,1,,,,,,,,,,,,,,,,2500,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"SpellCasting","Zap","TID_SPELL_ZAP","TID_SPELL_INFO_ZAP",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Poison","sc/ui_spell_poison.sc","sc/ui_spell_poison_china.sc","poison","sc/ui_card_info_fx.sc#card_info_fx_epic_empty",,"Arena9",,"Epic",,,4,1,,,,,,,,,,,,,,,,3500,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"SpellCasting","Poison","TID_SPELL_POISON","TID_SPELL_INFO_POISON",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Graveyard",,,"graveyard","sc/ui_card_info_fx.sc#card_info_fx_legendary_empty","image/chr/graveyard_dl.png","Arena_T",,"Legendary",,,5,3,,,,,,,,,,,,,,,,4000,,,,,,,,"TRUE","TRUE",,,,,"Spell_graveyard_cast",,,,,,,,,,,"TRUE","TRUE","sound_graveyard_deploy","Graveyard","TID_SPELL_GRAVEYARD","TID_SPELL_INFO_GRAVEYARD",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Log",,,"the_log","sc/ui_card_info_fx.sc#card_info_fx_legendary","image/chr/the_log_dl.png","Arena_Electric",,"Legendary",,,2,1,,,,,,,,,,,,,,,,,,"LogProjectile",,,,,"true","TRUE","TRUE",,,,,"log_deploy",,,,,,,,,,"true",,"TRUE","SpellCasting",,"TID_SPELL_LOG","TID_SPELL_INFO_LOG","sc/effects.sc","log_deploy_indicator",,,,,"true",,,,,,,,,,,,,,,,,"Spell"
"Tornado",,,"tornado","sc/ui_card_info_fx.sc#card_info_fx_epic_empty","image/chr/tornado_dl.png","Arena_L1",,"Epic",,,3,1,,,,,,,,,,,,,,,,5500,,,,,,,"true","TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"SpellCasting","Tornado","TID_SPELL_TORNADO","TID_SPELL_INFO_TORNADO",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Clone",,,"copy","sc/ui_card_info_fx.sc#card_info_fx_epic_empty","image/chr/clone_dl.png","Arena_L1",,"Epic",,,3,1,,,,,,,,,,,,,,,,3000,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,"true",,"TRUE",,"SpellCasting","Clone","TID_SPELL_CLONE","TID_SPELL_INFO_CLONE",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"Earthquake","sc/ui_spell_earthquake.sc",,"earthquake","sc/ui_card_info_fx.sc#card_info_fx_rare","image/chr/earthquake_dl.png","Arena_T",,"Rare",,,3,3,,,,,,,,,,,,,,,,3500,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"SpellCasting","Earthquake","TID_SPELL_EARTHQUAKE","TID_SPELL_INFO_EARTHQUAKE",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"BarbLog","sc/ui_spell_barb_barrel.sc",,"barb_barrel","sc/ui_card_info_fx.sc#card_info_fx_epic","image/chr/barbarian_barrel_dl.png","Arena9",,"Epic",,,2,2,,,,,,,,,,,,,,,,,,"BarbLogProjectile",,,,,"true","TRUE","TRUE",,,,,"barb_log_deploy",,,,,,,,,,"true",,"TRUE","SpellCasting",,"TID_SPELL_BARBARIAN_LOG","TID_SPELL_INFO_BARBARIAN_LOG","sc/chr_barbarian_barrel_dl.sc","barb_barrel_deploy_indicator","sc/chr_barbarian_barrel_dl.sc","barb_barrel_deploy_indicator_prestige","barb_barrel_deploy_indicator_prestige2",,"true",,,,,,,,,,,,,,,,,"Spell"
"Heal","sc/ui_spell_heal_spirit.sc",,"healspirit","sc/ui_card_info_fx.sc#card_info_fx_rare","image/chr/heal_spirit_dl.png","Arena13",,"Rare",,,1,1,,,,,"HealSpirit",,,,,,,,,,,,,,,,,,"true",,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_HEAL_SPIRIT","TID_SPELL_INFO_HEAL_SPIRIT",,,,,,,,,,,,,,,,,,,,,,,,
"Snowball",,,"snowball","sc/ui_card_info_fx.sc#card_info_fx_common_empty",,"Arena8",,"Common",,,2,1,,,,,,,,,,,,,,,,,,"SnowballSpell",,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"TRUE","TRUE",,"sound_snowball_deploy",,"TID_SPELL_SNOWBALL","TID_SPELL_INFO_SNOWBALL",,,,,,,,,,,,,,,,,,,,,,,,"Spell"
"RoyalDelivery","sc/ui_spell_royal_delivery.sc",,"royal_delivery","sc/ui_card_info_fx.sc#card_info_fx_common","image/chr/royal_delivery_dl.png","Arena14",,"Common",,,3,1,,,,,,,,,,,,,,,,3000,,,,,,,"true","TRUE",,,,,,,,,,,,,,,,"TRUE",,,"SpellCasting","RoyalDeliveryArea","TID_SPELL_ROYAL_DELIVERY","TID_SPELL_INFO_ROYAL_DELIVERY","sc/spell_royale_delivery_dl.sc","royale_delivery_indicator",,,,,,,,,,,,,,,,,,,,,,"Spell"
"DISABLED_SPELL_1",,,"fire_fireball",,,"Arena_L10",,"Rare","TRUE",,4,1,,"TRUE",,,,,,,,,,,,,,,,"FireballSpell",,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"Fire ball",,"TID_SPELL_FIREBALL","TID_SPELL_INFO_FIREBALL",,,,,,,,,,,,,,,,,,,,,,,,
"DISABLED_SPELL_2",,,"fire_fireball",,,"Arena_L10",,"Rare","TRUE",,4,1,,"TRUE",,,,,,,,,,,,,,,,"FireballSpell",,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"Fire ball",,"TID_SPELL_FIREBALL","TID_SPELL_INFO_FIREBALL",,,,,,,,,,,,,,,,,,,,,,,,
