"Name","Trophies","ItemSWF","ItemExportName","Align","Amount","Spell","SpellAlt","Resource","Chest","EmoteIDHigh","EmoteIDLow","RandomSpell","Token","Consumable"
"String","int","string","string","string","int","string","string","string","string","int","int","string","string","string"
"SeasonDefault",5050,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",250,,,,,,,,,"WildcardCommon"
,5100,"sc/season_0_default.sc","tr_season_panel_generic_left_1","left",1,,,,,,,,"Epic",
,5150,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",25,,,,,,,,,"WildcardRare"
,5200,"sc/season_0_default.sc","tr_season_panel_gold_left_1","left",5000,,,"Gold",,,,,,
,5350,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",25,,,,,,,,,"WildcardRare"
,5400,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",1,,,,,,,,"Common",
,5450,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",5,,,,,,,,,"WildcardEpic"
,5500,"sc/season_0_default.sc","tr_season_panel_gold_left_2","left",7500,,,"Gold",,,,,,
,5675,"sc/season_0_default.sc","tr_season_panel_generic_right_3","right",5,,,,,,,,,"WildcardEpic"
,5750,"sc/season_0_default.sc","tr_season_panel_generic_left_3","left",50,,,"Diamonds",,,,,,
,5825,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",1,,,,,,,,,"WildcardLegendary"
,5900,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",10000,,,"Gold",,,,,,
,6050,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",250,,,,,,,,,"WildcardCommon"
,6100,"sc/season_0_default.sc","tr_season_panel_generic_left_1","left",1,,,,,,,,"Rare",
,6150,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",25,,,,,,,,,"WildcardRare"
,6200,"sc/season_0_default.sc","tr_season_panel_gold_left_1","left",5000,,,"Gold",,,,,,
,6350,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",25,,,,,,,,,"WildcardRare"
,6400,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",1,,,,,,,,"Legendary",
,6450,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",5,,,,,,,,,"WildcardEpic"
,6500,"sc/season_0_default.sc","tr_season_panel_gold_left_2","left",7500,,,"Gold",,,,,,
,6675,"sc/season_0_default.sc","tr_season_panel_generic_right_3","right",5,,,,,,,,,"WildcardEpic"
,6750,"sc/season_0_default.sc","tr_season_panel_generic_left_3","left",50,,,"Diamonds",,,,,,
,6825,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",1,,,,,,,,,"WildcardLegendary"
,6900,"sc/season_0_default.sc","tr_season_panel_gold_left_1","left",10000,,,"Gold",,,,,,
,7050,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",250,,,,,,,,,"WildcardCommon"
,7100,"sc/season_0_default.sc","tr_season_panel_generic_left_1","left",1,,,,,,,,"Epic",
,7150,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",25,,,,,,,,,"WildcardRare"
,7200,"sc/season_0_default.sc","tr_season_panel_gold_left_2","left",5000,,,"Gold",,,,,,
,7350,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",25,,,,,,,,,"WildcardRare"
,7400,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",1,,,,,,,,"Legendary",
,7450,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",5,,,,,,,,,"WildcardEpic"
,7500,"sc/season_0_default.sc","tr_season_panel_gold_left_1","left",7500,,,"Gold",,,,,,
,7675,"sc/season_0_default.sc","tr_season_panel_generic_right_3","right",5,,,,,,,,,"WildcardEpic"
,7750,"sc/season_0_default.sc","tr_season_panel_generic_left_3","left",50,,,"Diamonds",,,,,,
,7825,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",1,,,,,,,,,"WildcardLegendary"
,7900,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",1,,,,,,,,,"GoldCoin"
,,,,,,,,,,,,,,
"SeasonFeatRare",4075,"sc/season_0_default.sc","tr_season_panel_gold_right_1","right",5000,,,"Gold",,,,,,
,4150,"sc/season_0_default.sc","tr_season_panel_generic_left_1","left",1,,,,,,,,"Epic",
,4225,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",1,,,,"Epic_Arena_L1",,,,,
,4375,"sc/season_0_default.sc","tr_season_panel_gold_right_2","right",5000,,,"Gold",,,,,,
,4450,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",500,"Knight",,,,,,"Common",,
,4525,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",1,,,,"Legendary",,,,,
,4700,"sc/season_0_default.sc","tr_season_panel_gold_right_1","right",5000,,,"Gold",,,,,,
,4800,"sc/season_0_default.sc","tr_season_panel_generic_left_3","left",1,,,,,,,,"Legendary",
,4900,"sc/season_0_default.sc","tr_season_panel_generic_right_3","right",1,,,,"Giant_Arena_L1",,,,,
,5075,"sc/season_0_default.sc","tr_season_panel_gold_right_2","right",5000,,,"Gold",,,,,,
,5150,"sc/season_0_default.sc","tr_season_panel_generic_left_1","left",500,"Knight",,,,,,"Common",,
,5225,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",40,,,"Diamonds",,,,,,
,5375,"sc/season_0_default.sc","tr_season_panel_gold_right_1","right",5000,,,"Gold",,,,,,
,5450,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",1,,,,,,,,"Epic",
,5525,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",1,,,,"Magic_Arena_L1",,,,,
,5700,"sc/season_0_default.sc","tr_season_panel_gold_right_2","right",5000,,,"Gold",,,,,,
,5800,"sc/season_0_default.sc","tr_season_panel_generic_left_3","left",500,"Knight",,,,,,"Common",,
,5900,"sc/season_0_default.sc","tr_season_panel_generic_right_3","right",1,,,,"Legendary",,,,,
,6075,"sc/season_0_default.sc","tr_season_panel_gold_left_1","left",5000,,,"Gold",,,,,,
,6150,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",60,,,"Diamonds",,,,,,
,6225,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",1,,,,"Giant_Arena_L1",,,,,
,6375,"sc/season_0_default.sc","tr_season_panel_gold_right_1","right",5000,,,"Gold",,,,,,
,6450,"sc/season_0_default.sc","tr_season_panel_generic_left_3","left",500,"Knight",,,,,,"Common",,
,6525,"sc/season_0_default.sc","tr_season_panel_generic_right_3","right",1,,,,"Magic_Arena_L1",,,,,
,6700,"sc/season_0_default.sc","tr_season_panel_gold_left_2","left",5000,,,"Gold",,,,,,
,6800,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",1,,,,,,,,"Legendary",
,6900,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",1,,,,"Shop_Large_Legendary_Arena_L1",,,,,
,,,,,,,,,,,,,,
"SeasonFeatLeg",4075,"sc/season_0_default.sc","tr_season_panel_gold_right_1","right",5000,,,"Gold",,,,,,
,4150,"sc/season_0_default.sc","tr_season_panel_generic_left_1","left",1,,,,,,,,"Epic",
,4225,"sc/season_0_default.sc","tr_season_panel_generic_right_2","right",1,,,,"Epic_Arena_L1",,,,,
,4375,"sc/season_0_default.sc","tr_season_panel_gold_right_2","right",5000,,,"Gold",,,,,,
,4450,"sc/season_0_default.sc","tr_season_panel_generic_left_2","left",1,,,,"Shop_Small_1_Arena_L1",,,,,
,4525,"sc/season_0_default.sc","tr_season_panel_generic_right_1","right",1,"Princess",,,,,,"Legendary",,
,4700,"sc/season_0_default.sc","tr_season_panel_gold_right_1","right",5000,,,"Gold",,,,,,
,4800,"sc/season_0_default.sc","tr_season_panel_generic_left_3","left",1,,,,,,,,"Legendary",
,4900,"sc/season_0_default.sc","tr_season_panel_generic_right_3","right",1,,,,"Giant_Arena_L1",,,,,
,5075,"sc/season_0_default.sc","tr_season_panel_gold_right_2","right",5000,,,"Gold",,,,,,
