Name,Disabled,Group,Location,Condition,Dependency,PermittedInput,FinishRequirement,SkipCondition,FileName,PopupCorner,PopupExportName,BubbleExportName,TID,Sound,ForceSpellTile,DisableOtherSpells,SpellTileX,SpellTileY,SpellTileSearch,DisableSpells,HideCombatUI,DisableTroopMovement,DisableSpawnPoints,DisableOpponentSpells,PauseCombat,Taunt,HightlightTargetSearch,DisableBattleStartScreen,StageTargetQuery,ForceOpenUI
String,Boolean,String,String,String,String,String,String,String,String,int,String,String,String,String,boolean,boolean,int,int,String,boolean,boolean,boolean,boolean,boolean,boolean,String,string,boolean,string,string
T_1_1_Delay,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,,skip,getTimeMS() > 1500 || npcMatchNum() > 0,,,,,,,,,,,,,,,,,,,,true,,
T_1_1_Speaks,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,,,npcMatchNum() > 0,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_KING_WELCOME,sound_tutorial_first_vo,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,true,,
,,,,,,,,,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_KING_WELCOME2,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,
T_1_1_Wait,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,,skip,getTimeMS() > 6000 || npcMatchNum() > 0,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,
T_1_1_Under_Attack,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,,,npcMatchNum() > 0,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_1_1_KING_UNDERATTACK,sound_tutorial_first_vo,,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,
,,,,,,,,,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_1_1_KING_DEFENDYOURSELF,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,
T_1_1_WaitForDeck,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,,skip,getMana() >= (getManaSpell(Knight) + getManaSpell(Archer)) || npcMatchNum() > 0,,,,,,sound_tutorial_second_vo,,TRUE,,,,,,,,TRUE,,,,,,
T_1_1_Defend_Dragspell,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,dragSpell:Knight,dragSpell:Knight,npcMatchNum() > 0,,,,,,,TRUE,TRUE,13,48,,,,TRUE,,TRUE,TRUE,,,,,
T_1_1_Wait_Defend_Dragspell2,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,T_1_1_Defend_Dragspell,,skip,timeFromLastStepMS() > 750 || npcMatchNum() > 0,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,
T_1_1_Defend_Dragspell2,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,dragSpell:Archer,dragSpell:Archer,npcMatchNum() > 0,,,,,,,TRUE,TRUE,13,52,,,,TRUE,,TRUE,TRUE,,,,,
T_1_1_WaitForPlayMoreCards,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,,skip,hasSpellAndMana(Giant) && enemyTroopsDead() || npcMatchNum() > 0,,,,,,,,,,,,,TRUE,,,,,,,,,
T_1_1_PlayMoreCardsDialogue,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,,,npcMatchNum() > 0,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_TUTORIAL_1_1_KING_MORECARDS,sound_tutorial_first_vo,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,
T_1_1_PlayGiant,TRUE,Wins1_MUTE_SPELLS,FirstMatch,,,dragSpell:Giant,dragSpell:Giant,npcMatchNum() > 0,,,,,,,TRUE,TRUE,8,35,,,,TRUE,,TRUE,TRUE,,,,,
T_1_1_HighlightReminder,TRUE,Wins1_MUTE_SPELLS,FirstMatch,starsGained() > 0 && enemyTroopsDead(),,,,npcMatchNum() > 0,,,,,,,,,,,,,,,,TRUE,,,area:enemy,,,
