"Name","Disabled","Group","Location","Condition","Dependency","PermittedInput","StageTargetQuery","FinishRequirement","SkipCondition","FileName","PopupCorner","PopupExportName","BubbleExportName","TID","Sound","ForceSpellTile","DisableOtherSpells","SpellTileX","SpellTileY","SpellTileSearch","DisableSpells","HideCombatUI","DisableTroopMovement","DisableSpawnPoints","DisableOpponentSpells","PauseCombat","Taunt","HightlightTargetSearch","DisableBattleStartScreen","ForceOpenUI"
"String","Boolean","String","String","String","String","String","string","String","String","String","int","String","String","String","String","boolean","boolean","int","int","String","boolean","boolean","boolean","boolean","boolean","boolean","String","string","boolean","string"
"T_1_1_AskAge","TRUE","Wins1_MUTE_SPELLS",,"noOpenPopups()",,"popup:AgeGatePopup",,"closePopup:AgeGatePopup","hasEnteredAge()",,,,,,,,,,,,,,,,,,,,,"Popup:AgeGatePopup"
"T_1_1_BeginOpenChest","TRUE","Wins1_MUTE_SPELLS",,"hasChest(0)","T_1_1_AskAge",,"chestSlot:0","tapTarget","tutorialBattlesCount() > 1",,,,,,,,,,,,,,,,,,,,,
"T_1_1_ClaimChest","TRUE","Wins1_MUTE_SPELLS",,"hasChest(0)","T_1_1_BeginOpenChest","popup:ChestInfoPopup:instanceName:button","popup:ChestInfoPopup:instanceName:button","closePopup:ChestInfoPopup","tutorialBattlesCount() > 1",,,,,,,,,,,,,,,,,,,,,
"T_1_1_OpenChest","TRUE","Wins1_MUTE_SPELLS",,"hasOpenChest(0)","T_1_1_ClaimChest",,"chestSlot:0","tapTarget","tutorialBattlesCount() > 1",,,,,,,,,,,,,,,,,,,,,
"T_1_1_OpenCollection","TRUE","Wins1_MUTE_SPELLS",,"isCardUpgradable(Knight) && noOpenPopups()",,"page:CollectionPage","page:CollectionPage","tapTarget","isPageOpen(CollectionPage) || tutorialBattlesCount() > 1",,,,,,,,,,,,,,,,,,,,,
"T_1_1_OpenSpell","TRUE","Wins1_MUTE_SPELLS",,"isCardUpgradable(Knight) && noOpenPopups()","T_1_1_OpenCollection","page:CollectionPage:deck:Knight","page:CollectionPage:deck:Knight","tapTarget","cardLevel(Knight) > 1",,,,,,,,,,,,,,,,,,,,,
"T_1_1_OpenUpgrade","TRUE","Wins1_MUTE_SPELLS",,"noOpenPopups()","T_1_1_OpenSpell","page:CollectionPage:selectedSpell:Knight:spellItem:UpgradeButton","page:CollectionPage:selectedSpell:Knight:spellItem:UpgradeButton","tapTarget","cardLevel(Knight) > 1",,,,,,,,,,,,,,,,,,,,,
"T_1_1_StartCardUpgrade","TRUE","Wins1_MUTE_SPELLS",,,"T_1_1_OpenUpgrade","popup:SpellInfoPopup","popup:SpellInfoPopup:instanceName:UpgradeButton","tapTarget","cardLevel(Knight) > 1",,,,,,,,,,,,,,,,,,,,,
"T_1_1_UpgradeCard","TRUE","Wins1_MUTE_SPELLS",,,"T_1_1_StartCardUpgrade","popup:SpellInfoPopup:instanceName:confirm_button","popup:SpellInfoPopup:instanceName:confirm_button","tapTarget","cardLevel(Knight) > 1",,,,,,,,,,,,,,,,,,,,,
"T_1_1_StartBattle_2","TRUE","Wins1_MUTE_SPELLS",,"cardLevel(Knight) > 1 && noOpenPopups()",,,"page:BattlePage:instanceName:button_battle_mode_switch2","tapTarget","tutorialBattlesCount() > 1",,,,,,,,,,,,,,,,,,,,,
"T_1_2_AskName","TRUE","Wins1_MUTE_SPELLS",,"tutorialBattlesCount() > 1 && noOpenPopups()",,"popup:EnterNamePopup",,"closePopup:EnterNamePopup","hasEnteredName()",,,,,,,,,,,,,,,,,,,,,"Popup:EnterNamePopup"
"T_1_2_BeginOpenChest","TRUE","Wins1_MUTE_SPELLS",,"tutorialBattlesCount() > 1 && hasChest(0)","T_1_2_AskName",,"chestSlot:0","tapTarget","tutorialBattlesCount() > 2",,,,,,,,,,,,,,,,,,,,,
"T_1_2_ClaimChest","TRUE","Wins1_MUTE_SPELLS",,"tutorialBattlesCount() > 1 && hasChest(0)","T_1_2_BeginOpenChest","popup:ChestInfoPopup:instanceName:button","popup:ChestInfoPopup:instanceName:button","closePopup:ChestInfoPopup","tutorialBattlesCount() > 2",,,,,,,,,,,,,,,,,,,,,
"T_1_2_OpenChest","TRUE","Wins1_MUTE_SPELLS",,"tutorialBattlesCount() > 1 && hasOpenChest(0)","T_1_2_ClaimChest",,"chestSlot:0","tapTarget","tutorialBattlesCount() > 2",,,,,,,,,,,,,,,,,,,,,
"T_1_2_StartBattle_3","TRUE","Wins1_MUTE_SPELLS",,"tutorialBattlesCount() > 1 && noOpenPopups()","T_1_2_OpenChest",,"page:BattlePage:instanceName:button_battle_mode_switch2","tapTarget","tutorialBattlesCount() > 2",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrophyRoad_Intro_1","TRUE","Wins1_MUTE_SPELLS",,"isTrainingCompleted() && isPageOpen(TrophyRoad)",,,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_TUTORIAL_TROPHY_ROAD_1","sound_tutorial_first_vo",,,,,,,,,,,,,,,
,,,,,,,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_TUTORIAL_TROPHY_ROAD_2","sound_tutorial_first_vo",,,,,,,,,,,,,,,
"EliteLevelInfoTutorial",,"Wins1_MUTE_SPELLS",,"hasAnyMaxLevelCard() && noOpenPopups()",,,,"closePopup:EliteLevelInfoPopup",,,,,,,,,,,,,,,,,,,,,,"Popup:EliteLevelInfoPopup"
