"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_boat_arena.sc","boat_base_01",
"Objects",,,
,"boat_back_cabin",,
,,"x","y"
,,"int","int"
,,8926,39587
,"boat_stands_blue_01",,
,,"x","y"
,,"int","int"
,,19390,24942
,"boat_stands_red_01",,
,,"x","y"
,,"int","int"
,,19728,8787
,"boat_piece_01",,
,,"x","y"
,,"int","int"
,,18387,33000
,"boat_piece_01_l",,
,,"x","y"
,,"int","int"
,,-348,32895
,"boat_stands_blue_02",,
,,"x","y"
,,"int","int"
,,-1356,24887
,"boat_stands_red_02",,
,,"x","y"
,,"int","int"
,,-1421,9323
,"boat_piece_04",,
,,"x","y"
,,"int","int"
,,23074,13279
,,-4870,28098
,"boat_piece_04_l",,
,,"x","y"
,,"int","int"
,,-4863,13684
,"boat_piece_top",,
,,"x","y"
,,"int","int"
,,9091,-5763
,"boat_back_waves_01_move",,
,,"x","y"
,,"int","int"
,,9000,44500
,"boat_back_waves_02_move",,
,,"x","y"
,,"int","int"
,,20000,40694
,"boat_back_waves_03_move",,
,,"x","y"
,,"int","int"
,,23222,36597
,"boat_back_waves_04_move",,
,,"x","y"
,,"int","int"
,,11611,43541
,"boat_back_waves_05_move",,
,,"x","y"
,,"int","int"
,,-2111,40486
,"boat_back_waves_06_move",,
,,"x","y"
,,"int","int"
,,-5277,36319
,"boat_back_waves_07_move",,
,,"x","y"
,,"int","int"
,,6555,43680
,"boat_back_waves_08_move",,
,,"x","y"
,,"int","int"
,,465,40958
,,2766,41083
,,15299,40999
,,17300,41041
,,3000,41041
,"boat_back_waves_09_move",,
,,"x","y"
,,"int","int"
,,23500,29500
,,23500,32000
,"boat_back_waves_10_move",,
,,"x","y"
,,"int","int"
,,-5500,32500
,,-5400,30625
,"crowd_archer1_idle1",,
,,"x","y"
,,"int","int"
,,19833,9916
,,-692,4006
,,-564,28206
,"crowd_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,19034,11833
,"crowd_barbarian1_idle1",,
,,"x","y"
,,"int","int"
,,19000,4000
,,-1500,26500
,"crowd_giant2_idle1",,
,,"x","y"
,,"int","int"
,,-1500,11000
,"crowd_goblin2_idle1",,
,,"x","y"
,,"int","int"
,,-666,19647
,,17866,16313
,"cannon_ball_1",,
,,"x","y"
,,"int","int"
,,2000,-500
,,12000,-2500
,,16500,32000
,,-2500,30500
,"cannon_ball_2",,
,,"x","y"
,,"int","int"
,,4000,33000
,,4333,-333
,,6000,-1291
,,13533,-458
,,17333,-208
,,20233,30666
,,-1366,31875
,"stand_spect_planks",,
,,"x","y"
,,"int","int"
,,-3466,28791
,,-3366,13083
,"stand_spect_planks_r",,
,,"x","y"
,,"int","int"
,,21666,28750
,,21800,12583
,"boat_rope",,
,,"x","y"
,,"int","int"
,,363,14625
,,12000,-1000
,,19000,32000
,,17500,17500
,,1500,32500
,,466,17291
,"boat_flag_deco1",,
,,"x","y"
,,"int","int"
,,17266,28834
,"boat_flag_deco2",,
,,"x","y"
,,"int","int"
,,666,28750
,"crowd_giant1_idle1",,
,,"x","y"
,,"int","int"
,,19498,26791
"Background",,,
