"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_shipwreck_arena.sc","shipwreck_base_01_1v1",
"Objects",,,
,"cannon_ball_1",,
,,"x","y"
,,"int","int"
,,2500,-1000
,,12000,-1500
,,15500,32500
,,-2000,30000
,"cannon_ball_2",,
,,"x","y"
,,"int","int"
,,4000,32500
,,4333,-1333
,,10533,-1958
,,16812,-894
,,18733,30666
,,-866,31375
,"boat_rope",,
,,"x","y"
,,"int","int"
,,2000,32000
,"Grassland_rock1",,
,,"x","y"
,,"int","int"
,,500,17000
,,0,14583
,,19500,20000
,"Grassland_rock3",,
,,"x","y"
,,"int","int"
,,-1000,2500
,,17866,17125
,,19633,19125
,"WoodWall_single_2",,
,,"x","y"
,,"int","int"
,,-600,-1166
,,19500,4000
,,-1867,14042
,,-1000,27500
,,-1500,24500
,,-1500,28500
,,20200,19541
,,19767,18166
,,19500,5000
,,20000,2500
,,19000,2000
,,19000,2500
,,20000,3500
,"Palmtree_01",,
,,"x","y"
,,"int","int"
,,700,-2875
,,20000,
,,17771,-4292
,,19500,27000
,"Palmtree_02",,
,,"x","y"
,,"int","int"
,,19500,32500
,,22000,17500
,"Palmtree_03",,
,,"x","y"
,,"int","int"
,,-2500,-2500
,,16215,-4980
,,19000,-1000
,,-2000,21500
,,-2067,8250
,"barrel_land_01",,
,,"x","y"
,,"int","int"
,,18866,7916
,"barrel_water_01",,
,,"x","y"
,,"int","int"
,,-4500,15500
,"barrel_water_02",,
,,"x","y"
,,"int","int"
,,23908,13880
,,-9000,23000
,"barrel_land_02",,
,,"x","y"
,,"int","int"
,,-1000,19000
,,500,34000
,,3000,-2000
,,18566,29333
,"Stone_01",,
,,"x","y"
,,"int","int"
,,15473,-2103
,"Stone_02",,
,,"x","y"
,,"int","int"
,,20000,6500
,"Stone_03",,
,,"x","y"
,,"int","int"
,,-466,-2958
,"Stone_04",,
,,"x","y"
,,"int","int"
,,19000,22000
,"Stone_05",,
,,"x","y"
,,"int","int"
,,-1976,12628
,"Stone_06",,
,,"x","y"
,,"int","int"
,,19000,10500
,"Palmtree_04",,
,,"x","y"
,,"int","int"
,,-3500,26500
,,-4293,12035
,"shipwreck_part",,
,,"x","y"
,,"int","int"
,,-3500,34501
,"Stone_01_water",,
,,"x","y"
,,"int","int"
,,-8500,18500
,,25933,9916
,,-3000,39000
,,-7000,39000
,"Stone_02_water",,
,,"x","y"
,,"int","int"
,,-1632,37916
,,26000,26000
,,26167,7291
,"Stone_05_underwater",,
,,"x","y"
,,"int","int"
,,23500,21000
,,-5500,20500
,,-4500,5000
,"Stone_03_underwater",,
,,"x","y"
,,"int","int"
,,26500,34500
,,-9500,8000
,,7000,47500
,,-12000,39000
,,8500,42000
,"Stone_01_underwater",,
,,"x","y"
,,"int","int"
,,-8000,25500
,,28000,29500
,,24000,28000
,,-7000,4000
,,6500,40000
,,10000,46000
,"Stone_02_underwater",,
,,"x","y"
,,"int","int"
,,-6000,23500
,,25000,4000
,,-4500,8500
,"plant_small_01",,
,,"x","y"
,,"int","int"
,,19234,22167
,"plank_w_01_animate",,
,,"x","y"
,,"int","int"
,,3500,46000
,"plank_w_03_animate",,
,,"x","y"
,,"int","int"
,,-2500,48000
,"plank3_animate",,
,,"x","y"
,,"int","int"
,,-9500,25000
,,9000,39000
,,2500,-6500
,"plank4_animate",,
,,"x","y"
,,"int","int"
,,25500,18500
,,-6000,500
,"crowd_archer1_idle1",,
,,"x","y"
,,"int","int"
,,-500,2500
,,19000,20000
,"crowd_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,19000,11000
,"crowd_barbarian1_idle1",,
,,"x","y"
,,"int","int"
,,25500,9500
,,-500,18000
,"Grassland_bush1",,
,,"x","y"
,,"int","int"
,,17500,34000
"Background",,,
