"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_bootcamp_arena_dl.sc","bootcamp_base_01",
"Objects",,,
,"challenge_arena_hay",,
,,"x","y"
,,"int","int"
,,6354,-6894
,"challenge_arena_scarecrow",,
,,"x","y"
,,"int","int"
,,15924,-6453
,"challenge_arena_totem",,
,,"x","y"
,,"int","int"
,,6299,-12660
,"challenge_arena_bench_big_bot",,
,,"x","y"
,,"int","int"
,,20388,24062
,"challenge_arena_bench_big_top",,
,,"x","y"
,,"int","int"
,,3215,7013
,"challenge_arena_bench_small",,
,,"x","y"
,,"int","int"
,,-2983,28048
,"challenge_arena_bigtree",,
,,"x","y"
,,"int","int"
,,-7125,7693
,"challenge_arena_big_bridge",,
,,"x","y"
,,"int","int"
,,6055,37812
,"challenge_arena_board",,
,,"x","y"
,,"int","int"
,,-2653,-1977
,"challenge_arena_bowler_rock",,
,,"x","y"
,,"int","int"
,,9472,34444
,,428,-6964
,,10857,-14880
,"challenge_arena_fence_bot_L",,
,,"x","y"
,,"int","int"
,,11222,34097
,"challenge_arena_fence_bot_R",,
,,"x","y"
,,"int","int"
,,15388,34027
,,-1416,-4947
,,-624,33749
,"challenge_arena_fence_red_L",,
,,"x","y"
,,"int","int"
,,13888,-4687
,"challenge_arena_flag_mini",,
,,"x","y"
,,"int","int"
,,-833,-4027
,"challenge_arena_flower_light",,
,,"x","y"
,,"int","int"
,,4845,37856
,,13696,38901
,,-1030,38946
,,-5666,30606
,,23454,17537
,,13242,-5833
,,6606,-6818
,,15636,-6931
,,37,14074
,,17185,17083
,,3988,-13671
,,5383,-14036
,,10555,-17731
,,11554,-12037
,,9000,-14304
,,23925,7870
,,25185,7222
,,25481,19166
,,23444,27500
,,17333,36203
,,17296,39027
,,-6111,27824
,"challenge_arena_quiver",,
,,"x","y"
,,"int","int"
,,3712,33948
,"challenge_arena_rock_b",,
,,"x","y"
,,"int","int"
,,41,35765
,"challenge_arena_rock_c",,
,,"x","y"
,,"int","int"
,,-7207,17509
,"challenge_arena_rock_e_small",,
,,"x","y"
,,"int","int"
,,-9181,22765
,"challenge_arena_rock_sword",,
,,"x","y"
,,"int","int"
,,25553,12665
,"challenge_arena_tree_01",,
,,"x","y"
,,"int","int"
,,-281,39225
,,19030,38333
,,3625,-25937
,,8749,-27500
,,11416,40833
,,9416,48854
,,2083,50312
,,-4583,44687
,,16500,47708
,"challenge_arena_tree_02",,
,,"x","y"
,,"int","int"
,,-14523,38452
,,23333,39166
,"challenge_arena_trophy",,
,,"x","y"
,,"int","int"
,,8000,-2738
,"challenge_arena_water_plant_1",,
,,"x","y"
,,"int","int"
,,-1714,16309
,"challenge_arena_water_plant_2",,
,,"x","y"
,,"int","int"
,,-2571,14523
,"challenge_arena_weapons",,
,,"x","y"
,,"int","int"
,,5904,33511
,"challenge_arena_weapon_metal",,
,,"x","y"
,,"int","int"
,,10380,36309
,,11857,35892
,"challenge_arena_trees_top_left",,
,,"x","y"
,,"int","int"
,,-7644,-7756
,"challenge_arena_trees_top_right",,
,,"x","y"
,,"int","int"
,,25523,-6666
,"challenge_arena_trees_bottom_right",,
,,"x","y"
,,"int","int"
,,29137,32857
,"challenge_arena_trees_bottom_left",,
,,"x","y"
,,"int","int"
,,-9222,36041
,"challenge_arena_water_plant_1_r",,
,,"x","y"
,,"int","int"
,,-1458,19374
,,19027,16076
,,21249,16354
,"challenge_arena_fence_red_R",,
,,"x","y"
,,"int","int"
,,4500,-4635
,"challenge_arena_fence_blue",,
,,"x","y"
,,"int","int"
,,-83,34843
,,12250,35208
,"challenge_arena_arrow_blue",,
,,"x","y"
,,"int","int"
,,-100,16500
,"challenge_arena_arrow_red_shadow",,
,,"x","y"
,,"int","int"
,,17133,13625
,"challenge_arena_bush",,
,,"x","y"
,,"int","int"
,,18863,29118
,"crowd_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,19060,19732
,"crowd_skeleton1_cheer1",,
,,"x","y"
,,"int","int"
,,15300,38416
,"crowd_skeleton1_idle2",,
,,"x","y"
,,"int","int"
,,18966,27375
,,18666,7083
,,19800,9458
,"crowd_skeleton1_idle3",,
,,"x","y"
,,"int","int"
,,21200,12208
,"crowd_T_archer1_idle1",,
,,"x","y"
,,"int","int"
,,5200,-1083
,,-3142,25952
,"crowd_giant1_idle1",,
,,"x","y"
,,"int","int"
,,20633,23916
,"pancake_Vignette",,
,,"x","y"
,,"int","int"
,,-4367,19667
,"crowd_T_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,13476,-6845
"Background",,,
