"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_cake_arena_dl.sc","cake_base_01_2v2",
"Objects",,,
,"9000",,
,"cake_balloons_01",,
,,"x","y"
,,"int","int"
,,21500,21500
,"cake_balloons_02",,
,,"x","y"
,,"int","int"
,,21500,3500
,"cake_balloons_03",,
,,"x","y"
,,"int","int"
,,-1500,33742
,"cake_balloons_04",,
,,"x","y"
,,"int","int"
,,11611,37305
,"cake_balloons_05",,
,,"x","y"
,,"int","int"
,,18555,33555
,"cake_balloons_06",,
,,"x","y"
,,"int","int"
,,12000,-2500
,"cake_balloons_07",,
,,"x","y"
,,"int","int"
,,-4000,22000
,"cake_balloons_08",,
,,"x","y"
,,"int","int"
,,-3500,3000
,"cake_ladder_01",,
,,"x","y"
,,"int","int"
,,8833,36083
,"cake_ladder_02",,
,,"x","y"
,,"int","int"
,,1500,35000
,"cake_ladder_03",,
,,"x","y"
,,"int","int"
,,15500,35000
,"cake_tree_01",,
,,"x","y"
,,"int","int"
,,25000,12500
,,-7500,10500
,,31500,13500
,,-14000,15500
,"cake_candle_01",,
,,"x","y"
,,"int","int"
,,583,14000
,,17416,14062
,"cake_candle_02",,
,,"x","y"
,,"int","int"
,,527,16993
,,17361,16993
"Background",,,
