"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_clashfest_arena_dl.sc","clashfest_base_2v2",
"Objects",,,
,"clashfest_trophee",,
,,"x","y"
,,"int","int"
,,-4393,12878
,"clashfest_cannon",,
,,"x","y"
,,"int","int"
,,22303,14848
,"clashfest_bleacher_red",,
,,"x","y"
,,"int","int"
,,21500,5000
,"clashfest_bleacher_blue",,
,,"x","y"
,,"int","int"
,,-3606,24128
,"clashfest_blue_house",,
,,"x","y"
,,"int","int"
,,8518,39629
,"clashfest_small_bleacher_blue",,
,,"x","y"
,,"int","int"
,,-37,35231
,"clashfest_red_house",,
,,"x","y"
,,"int","int"
,,8777,-8935
,"clashfest_little_speaker_bottom",,
,,"x","y"
,,"int","int"
,,12851,45925
,,-2523,-6607
,,21566,-2916
,"clashfest_flying_bleacher_red",,
,,"x","y"
,,"int","int"
,,28814,-2407
,"clashfest_flying_bleacher_blue",,
,,"x","y"
,,"int","int"
,,28809,20297
,"clashfest_crown_balloon",,
,,"x","y"
,,"int","int"
,,29857,48928
,"clashfest_small_fying_bleacher_red",,
,,"x","y"
,,"int","int"
,,21569,-10237
,"clashfest_bottom_speaker",,
,,"x","y"
,,"int","int"
,,-3285,31964
,"clashfest_bnalloons_blue",,
,,"x","y"
,,"int","int"
,,1952,40297
,,-9166,33263
,"clashfest_bigwhee",,
,,"x","y"
,,"int","int"
,,13944,-18000
,"clashfest_speaker_big_top",,
,,"x","y"
,,"int","int"
,,16745,-4450
,,821,-4555
,"clashfest_ballonr_red_top",,
,,"x","y"
,,"int","int"
,,15834,-7682
,,1961,-8038
,,-4333,-2031
,"clashfest_balloons_blue_additional",,
,,"x","y"
,,"int","int"
,,-3000,11500
,,10722,33541
,,24611,39375
,,25166,14166
,"clashfest_rock_big",,
,,"x","y"
,,"int","int"
,,19238,-4285
,,-5857,31369
,,3142,46964
,"clashfest_screw",,
,,"x","y"
,,"int","int"
,,15333,-1071
,,2523,-1011
,"clashfest_little_speaker",,
,,"x","y"
,,"int","int"
,,4333,-2857
,"clashfest_confetti_green",,
,,"x","y"
,,"int","int"
,,-3238,37321
,,-6857,28452
,,-6142,26726
,,-2190,833
,,-4571,-3749
,,-2190,-6666
,,-238,-10297
,,4380,-5000
,,12714,-3095
,,18857,-1190
,,19000,17261
,,20333,20119
,,24666,17142
,"clashfest_pine01",,
,,"x","y"
,,"int","int"
,,26523,12738
,,-3095,37916
,,-8476,28511
,,-7952,40535
,,-3611,-11180
,,-722,-14236
,,16111,40555
,,20333,40694
,,24666,36527
,,26055,42986
,"clashfest_confetti_yellow",,
,,"x","y"
,,"int","int"
,,17266,14250
,,17516,14125
,,14518,34629
,,13111,35092
,,-1407,19907
,,1333,-879
,,2666,-2500
,,3481,-1574
,,8037,-1759
,,9777,-2314
,,10888,-1851
,,12703,-2037
,,16000,-925
,,19851,-1250
,,-7703,14861
,,-7074,31388
,,-5814,33379
,,3370,34768
,,5111,33472
,,19444,31805
,,20925,31574
,,22185,34212
,,23888,32777
,,26370,30740
,,27296,33518
,,22777,43574
,,-1444,18101
,,-2625,-4270
,,18833,-2395
,,22708,-2239
,,23916,-7083
,,15624,-10729
,,17458,-13125
,,916,-11562
,,23833,31093
,,13999,38749
,,3208,37031
,,-5833,36249
,,-9041,37447
,,-7166,44791
,,-8833,45104
,,-12791,44583
,"clashfest_confetti_pink_01",,
,,"x","y"
,,"int","int"
,,16950,14437
,,16983,14000
,,333,-952
,,7384,-2275
,,13076,-3589
,,14153,-5673
,,19769,-2115
,,17102,-833
,,19249,18472
,,-5777,28541
,,-7722,32326
,,25407,16157
,,26666,16342
,,24851,30787
,,23851,29398
,,26851,35833
,,23148,41527
,,24814,46388
,,19259,43657
,,15148,44814
,,14296,41296
,,13481,35787
,,11925,34398
,,13592,34120
,,13814,33287
,,3074,33518
,,3666,33194
,,4518,34722
,,5666,33287
,,2074,32222
,,2833,-4843
,,-1791,-2916
,,-2625,-3333
,,-625,-7291
,,-5541,-5885
,,-4625,-7395
,,-1541,-10520
,,23916,-5885
,,22833,-3958
,,17791,-11822
,,16166,-11041
,"clashfest_small_rock_light",,
,,"x","y"
,,"int","int"
,,17000,16791
,"clashfest_target",,
,,"x","y"
,,"int","int"
,,-1833,-1093
,,4333,34446
,"clashfest_small_bleacher_blue_right",,
,,"x","y"
,,"int","int"
,,16933,35375
,"clashfest_small_rock_light_smaller",,
,,"x","y"
,,"int","int"
,,458,17552
,"clashfest_bleacher_blue_right",,
,,"x","y"
,,"int","int"
,,21249,25156
,"clashfest_bleacher_red_left",,
,,"x","y"
,,"int","int"
,,-3333,5572
,"clashfest_flying_bleacher_blue_left",,
,,"x","y"
,,"int","int"
,,-11291,18437
,"clashfest_flying_bleacher_red_right",,
,,"x","y"
,,"int","int"
,,-11000,-3333
,"clashfest_crown_balloon_big",,
,,"x","y"
,,"int","int"
,,-2000,45833
,,-16133,31750
,"clashfest_bigwhe_left",,
,,"x","y"
,,"int","int"
,,4178,-18000
,"clashfest_pine02",,
,,"x","y"
,,"int","int"
,,-7166,-8055
,,-8222,11620
,,-13703,8657
,,-15777,7453
,,-14962,6250
,,-12555,7314
,,-11740,5740
,,-13037,4861
,,-14592,3518
,,-14037,2129
,,-12592,2361
,,-13259,-6898
,,-10629,-8564
,,-11814,-11296
,,-9185,-12222
,,-8925,-10324
,,-7370,-11250
,,-6370,-13842
,,-7814,-15185
,,-9037,-16064
,,-12000,-16111
,,-11148,-14166
,,-15888,-14675
,,-13814,-13055
,,-15185,-11018
,,-16000,-7870
,,-17148,-9675
,,-15851,-4722
,,-8874,-6875
,"clashfest_bottom_speaker_right",,
,,"x","y"
,,"int","int"
,,21266,32791
,"clashfest_bnalloons_blue_right",,
,,"x","y"
,,"int","int"
,,27500,32000
,"clashfest_Vignette",,
,,"x","y"
,,"int","int"
,,-6500,15500
"Background",,,
