"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_clash_past_arena_dl.sc","clash_past_base_2v2",
"Objects",,,
,"8bits_armory_red",,
,,"x","y"
,,"int","int"
,,5639,-9931
,"8bits_house_smal",,
,,"x","y"
,,"int","int"
,,194,-4167
,,14166,-4166
,"8bits_barrel",,
,,"x","y"
,,"int","int"
,,480,32284
,,17208,32666
,"8bits_flower_green",,
,,"x","y"
,,"int","int"
,,-181,13977
,,-1969,25189
,"8bits_bush_right",,
,,"x","y"
,,"int","int"
,,12277,-8715
,,25033,13000
,"8bits_bush_left",,
,,"x","y"
,,"int","int"
,,3805,-7986
,"8bits_tower_red",,
,,"x","y"
,,"int","int"
,,-3972,-4201
,,18194,-4097
,"8bits_target_red",,
,,"x","y"
,,"int","int"
,,13722,-11909
,"8bits_stump_arrow",,
,,"x","y"
,,"int","int"
,,16083,-9201
,"8bits_barrel_flower",,
,,"x","y"
,,"int","int"
,,13416,-1145
,,19361,-5312
,,-277,-4305
,,-636,27765
,,-1333,27765
,"8bits_bush_small",,
,,"x","y"
,,"int","int"
,,12277,-10416
,,17666,-4375
,,-969,18598
,"8bits_stand_full_top_left",,
,,"x","y"
,,"int","int"
,,-3111,6736
,"8bits_stand_full_top_right",,
,,"x","y"
,,"int","int"
,,20888,5520
,"8bits_arrow_blue",,
,,"x","y"
,,"int","int"
,,-2574,12991
,,16433,33499
,"8bits_barrel_water_02",,
,,"x","y"
,,"int","int"
,,18399,14108
,"8bits_barrel_water_01",,
,,"x","y"
,,"int","int"
,,22060,11363
,"8bits_flower_pink",,
,,"x","y"
,,"int","int"
,,-909,-833
,,20454,-5454
,,14454,-5681
,,4060,-9962
,,-1788,11893
,,12500,32916
,,533,33291
,,18022,16916
,"8bits_small_flower_pink",,
,,"x","y"
,,"int","int"
,,18000,-416
,,18454,5946
,,19382,16869
,,-1181,20833
,,-484,21590
,,1417,31276
,,1933,31500
,,6166,32375
,,-2481,14907
,,-3074,14398
,,29814,15555
,,28185,6111
,,16222,-4953
,,26592,-6851
,,-4481,-6990
,,-9629,-4212
,,-10814,-972
,,27592,29814
,,34000,29166
,,23407,38333
,,24185,34629
,,24962,38564
,,23555,36342
,,9592,42777
,,4185,43240
,,-814,39583
,,-481,35879
,,14296,33703
,,17573,31376
,,18259,26111
,,18888,18379
,,-518,9305
,,-444,1712
,,-481,26666
,,-666,26296
,,-407,25324
,,18518,11064
,,18333,11435
,,777,17430
,,388,17291
,,17222,14305
,,17150,17187
,,17616,17541
,"8bits__barrel_mountain",,
,,"x","y"
,,"int","int"
,,22425,14666
,"8bits_stand_full_botto_right",,
,,"x","y"
,,"int","int"
,,21030,21439
,"8bits_stand_full_bottom_left",,
,,"x","y"
,,"int","int"
,,-3393,19620
,"8bits_barrel_side",,
,,"x","y"
,,"int","int"
,,-606,15681
,"8bits_tower",,
,,"x","y"
,,"int","int"
,,-3559,27172
,"8bits_target_blue",,
,,"x","y"
,,"int","int"
,,-3877,35075
,"8bits_tower_blue",,
,,"x","y"
,,"int","int"
,,-1757,31742
,,19600,29791
,"8bits_stump_arrow_blue",,
,,"x","y"
,,"int","int"
,,3324,32897
,,-10380,22976
,,28809,16250
,,13238,43392
,"8bits_armory_blue",,
,,"x","y"
,,"int","int"
,,5916,32742
,"8bits_hut",,
,,"x","y"
,,"int","int"
,,2600,37750
,,15200,37708
,,34518,23148
,,-6000,47031
,,-16458,17604
,"8bits_bench",,
,,"x","y"
,,"int","int"
,,15474,32183
,"8bits_flags",,
,,"x","y"
,,"int","int"
,,20833,34291
,"8bits_tree_pine_green",,
,,"x","y"
,,"int","int"
,,19433,38166
,,-5300,40083
,,-6000,-4208
,,24066,-1250
,,33041,3645
,,-14500,4000
,,28500,36000
,,4000,46500
,,28500,49500
,,-12000,43000
,,-15500,23500
,,-14000,14500
,,29500,-4000
,,34500,-12000
,"8bits_tree_pine_blue",,
,,"x","y"
,,"int","int"
,,-3066,42416
,,17333,42500
,,25200,7583
,,-7800,-708
,,26300,1333
,,1366,-11708
,,12800,-15125
,,25833,25416
,,-8000,-12500
,,30500,26000
,,-12500,30500
,,9500,48500
,,34000,44000
,,34000,38000
,,19500,-12000
,,4000,-14000
,"8bits_tree_simple_green",,
,,"x","y"
,,"int","int"
,,-7250,25937
,,-9458,2239
,,27124,10833
,,21624,41354
,,-791,44583
,,-10291,19270
,,30166,12604
,,33166,18124
,,-13333,38802
,,7625,51249
,,30124,51041
,,32083,41822
,,31708,-5520
,,-10541,-10729
,,-17125,-4062
,,-13500,
,,28500,-12000
,,-13000,26500
,,-17000,32500
,,500,52000
,,30000,33000
,,34500,1000
,"8bits_tree_simple_blue",,
,,"x","y"
,,"int","int"
,,-7875,5104
,,10499,-12499
,,-166,-8437
,,26958,20052
,,29291,22031
,,31416,8749
,,-10458,14322
,,-12208,17499
,"8bits_tree_round",,
,,"x","y"
,,"int","int"
,,-1375,-6979
,,22041,-8385
,,24458,29374
,,-6791,31718
,,-9625,9218
"Background",,,
