"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_dark_elixir_arena_dl.sc","dark_elixir_base_2v2",
"Objects",,,
,"pancake_Vignette",,
,,"x","y"
,,"int","int"
,,-4500,20000
,"dark_elixir_arena_bench",,
,,"x","y"
,,"int","int"
,,-9866,-6791
,"dark_elixir_arena_big_gem_bundle",,
,,"x","y"
,,"int","int"
,,-5733,27291
,,28523,8095
,"dark_elixir_arena_gem_bundle_top",,
,,"x","y"
,,"int","int"
,,-7333,-10125
,"dark_elixir_arena_gem_rock",,
,,"x","y"
,,"int","int"
,,17333,32083
,"dark_elixir_arena_rock_a",,
,,"x","y"
,,"int","int"
,,21366,18541
,"dark_elixir_arena_rock_b",,
,,"x","y"
,,"int","int"
,,25533,23666
,,8300,40500
,"dark_elixir_arena_rock_d_dark",,
,,"x","y"
,,"int","int"
,,22400,-3875
,,-2900,42208
,,5049,50531
,,3574,40510
,,16999,46718
,,19583,48489
,,15083,49739
,"dark_elixir_arena_rock_d_small",,
,,"x","y"
,,"int","int"
,,18566,28916
,"dark_elixir_rock_2_bundle",,
,,"x","y"
,,"int","int"
,,21900,3250
,"dark_elixir_arena_gem_3_pack",,
,,"x","y"
,,"int","int"
,,14166,-8666
,,-17142,714
,,-15190,36130
,,476,40357
,,19285,40178
,,26285,36666
,"dark_elixir_arena_gem_b_light",,
,,"x","y"
,,"int","int"
,,26666,-2875
,,-16166,6416
,,29500,22500
,,28666,37375
,,24933,42791
,"dark_elixir_arena_gem_e_light",,
,,"x","y"
,,"int","int"
,,2800,34833
,,-13100,3625
,"dark_elixir_arena_gem_2_pack_small_dark",,
,,"x","y"
,,"int","int"
,,21500,7750
,,11481,40718
,,21791,24843
,,24250,33020
,,18749,43802
,"dark_elixir_arena_gem_bundle_top_right",,
,,"x","y"
,,"int","int"
,,16400,-10541
,"dark_elixir_arena_gem_a_big",,
,,"x","y"
,,"int","int"
,,-13466,-8833
,,-10500,33375
,,-7083,45572
,,33619,17500
,,30190,-5119
,"dark_elixir_arena_gem_d",,
,,"x","y"
,,"int","int"
,,-13566,17750
,,25666,4666
,"dark_elixir_arena_rock_d_dark_small",,
,,"x","y"
,,"int","int"
,,-9366,30958
,,27300,7833
,,21047,43571
,"dark_elixir_arena_gem_c_light",,
,,"x","y"
,,"int","int"
,,28033,13375
,,30366,26666
,,12966,39208
,"dark_elixir_arena_rock_c",,
,,"x","y"
,,"int","int"
,,-2600,44000
"Background",,,
