"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_dream_arena_dl.sc","dream_base_01",
"Objects",,,
,"9000",,
,"dream_flower_01",,
,,"x","y"
,,"int","int"
,,16000,29500
,,7000,8000
,"dream_flower_02",,
,,"x","y"
,,"int","int"
,,1000,9000
,,12500,13000
,"dream_flower_03",,
,,"x","y"
,,"int","int"
,,1000,19500
,,13000,18000
,"dream_flower_04",,
,,"x","y"
,,"int","int"
,,16000,11500
,,12000,2000
,,11500,25000
,"dream_flower_05",,
,,"x","y"
,,"int","int"
,,1000,29000
,,6500,20500
,"dream_trophy_01",,
,,"x","y"
,,"int","int"
,,500,14000
,,500,17000
,,17500,17000
,,17500,14000
,"dream_clouds_02",,
,,"x","y"
,,"int","int"
,,9000,-13
,"dream_clouds_01",,
,,"x","y"
,,"int","int"
,,9000,
,"dream_lance_01",,
,,"x","y"
,,"int","int"
,,-1166,16675
,"dream_lance_02",,
,,"x","y"
,,"int","int"
,,18723,16500
,"dream_unicorn_01",,
,,"x","y"
,,"int","int"
,,14519,-725
,"dream_unicorn_02",,
,,"x","y"
,,"int","int"
,,3399,-707
,"dream_cloud_01",,
,,"x","y"
,,"int","int"
,,19000,18000
,,1066,-750
,,10500,-1500
,,14500,
,,-500,8000
,,-500,28500
,,18500,28000
,,18500,11500
,"dream_cloud_02",,
,,"x","y"
,,"int","int"
,,16000,-500
,,3000,
,"heist_vfx_butterfly_01",,
,,"x","y"
,,"int","int"
,,500,30000
,,17500,2000
,,7000,
"Background",,,
