"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_executioner_arena_dl.sc","kitchen_base_01",
"Objects",,,
,"jungle_firefly_01",,
,,"x","y"
,,"int","int"
,,9000,16000
,,17000,500
,,0,12500
,,13500,31500
,"jungle_firefly_02",,
,,"x","y"
,,"int","int"
,,5500,32000
,,15500,16000
,,11500,-500
,"jungle_firefly_03",,
,,"x","y"
,,"int","int"
,,0,31500
,,11000,15500
,,10000,-500
,,1000,
,"jungle_vfx_water_01",,
,,"x","y"
,,"int","int"
,,9000,
,"kitchen_vege_table",,
,,"x","y"
,,"int","int"
,,-2934,23500
,"kitchen_pot_tower",,
,,"x","y"
,,"int","int"
,,-3291,11770
,,-15000,41500
,"kitchen_raddish_table",,
,,"x","y"
,,"int","int"
,,21166,7041
,"kitchen_top_wall",,
,,"x","y"
,,"int","int"
,,8952,-4515
,"kitchen_teapot_table",,
,,"x","y"
,,"int","int"
,,21891,19445
,"kitchen_bottom_pot",,
,,"x","y"
,,"int","int"
,,19334,37427
,,33000,39000
,,-3240,36722
,,-14000,24000
,,32500,4000
,,27000,1000
,,-9500,1500
,,-14500,8500
,,2036,42148
,"kitchen_pot_rond",,
,,"x","y"
,,"int","int"
,,-9500,29500
,,26000,23000
,,25500,29500
,,12500,42000
,"kitchen_tree_trunk",,
,,"x","y"
,,"int","int"
,,12303,35719
,,27120,-3831
,"kitchen_barrel_water_light",,
,,"x","y"
,,"int","int"
,,5717,35122
,,6500,42194
,,15000,37000
,,23000,26500
,,-7000,5500
,,-3500,24000
,,-5500,24000
,,-4500,27000
,,-1222,40537
,,-5500,31000
,,22500,10500
,,29000,8000
,,-5000,3000
,"kitchen_wood_top_pile",,
,,"x","y"
,,"int","int"
,,19500,34500
,"kitchen_raddish",,
,,"x","y"
,,"int","int"
,,-2916,1361
,,26000,13000
,,-14166,19635
,"kitchen_cauldron_shadowed",,
,,"x","y"
,,"int","int"
,,-11500,35000
,,27000,19500
,,31500,10500
,,-10500,12500
,,8500,37000
,,20333,-347
,,-8000,44000
,,5500,46000
,,33500,19000
,,-16000,-500
,"kitchen_barrel_water_shadowed",,
,,"x","y"
,,"int","int"
,,18000,42000
,,31000,43000
,,-5500,41000
,,24500,38500
,,27500,38000
,,24000,43000
,,27000,40500
,,-8500,18000
,,-9000,20500
,,-7500,22000
,,-9500,23500
,,-7000,7500
,,-7500,11000
,,33000,30500
,,34500,32000
,,23000,45500
,,32000,45500
,,-943,-604
,,22500,-2000
,,46000,25000
,"kitchen_wooden_tope_shadowed",,
,,"x","y"
,,"int","int"
,,-1293,36926
,,-6500,32000
,,30000,34000
,,-12750,-2760
,,-17791,3645
,,29374,-572
,,23749,-4062
,,-17250,19270
,"kitchen_cauldron_02",,
,,"x","y"
,,"int","int"
,,-2974,32959
,,25190,19166
,"kitchen_barrel_top_shadowed",,
,,"x","y"
,,"int","int"
,,24000,42000
,,24500,37500
,,31000,42000
,,-7500,21197
,,-5541,23333
,,-7000,4843
,"kitchen_raddish_flipped",,
,,"x","y"
,,"int","int"
,,29000,34000
,"kitchen_handle_pot",,
,,"x","y"
,,"int","int"
,,33500,37000
,,2167,39788
,"kitchen_shadowed_pan",,
,,"x","y"
,,"int","int"
,,12500,40000
,,24500,27500
,,-8500,27000
,,-8500,1500
,,31000,3500
,"kitchen_pot_garlic",,
,,"x","y"
,,"int","int"
,,-10791,-1697
,"kitchen_plate_pile",,
,,"x","y"
,,"int","int"
,,-1500,7500
,,19500,30500
,,-4000,28500
,"kitchen_plates_pile_shadowed",,
,,"x","y"
,,"int","int"
,,-9000,6500
,,-10791,16874
,,30249,14531
,,24374,34114
,,20791,41979
,,-3250,42187
,,25999,5572
,,25041,7031
,,26666,8333
,"kitchen_shadowed_pan_flipped",,
,,"x","y"
,,"int","int"
,,3566,41208
,,27500,22000
,"kitchen_cauldron_shadowed_flipped",,
,,"x","y"
,,"int","int"
,,-16000,29500
,,31000,25000
,,-17500,13000
,"kitchen_pot_elixir",,
,,"x","y"
,,"int","int"
,,16500,35000
,"kitchen_pot_elixir_flipped",,
,,"x","y"
,,"int","int"
,,2500,36000
,"kitchen_bottom_wall",,
,,"x","y"
,,"int","int"
,,6722,49569
,"kitchen_cauldron_02_shadow",,
,,"x","y"
,,"int","int"
,,-3500,36000
"Background",,,
