"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_royal_arena.sc","royal_base_flood",
"Objects",,,
,"royal_bucket",,
,,"x","y"
,,"int","int"
,,17763,14373
,"royal_red_tower1",,
,,"x","y"
,,"int","int"
,,-500,536
,"royal_red_tower2",,
,,"x","y"
,,"int","int"
,,18500,500
,"royal_red_endwall1",,
,,"x","y"
,,"int","int"
,,2532,-2414
,"royal_red_wall_middle",,
,,"x","y"
,,"int","int"
,,9000,-3000
,"royal_mid_tower",,
,,"x","y"
,,"int","int"
,,501,14458
,"royal_red_endwall2",,
,,"x","y"
,,"int","int"
,,15300,-2500
,"royal_sidestand_right",,
,,"x","y"
,,"int","int"
,,19700,22625
,,19697,5000
,"royal_sidestand_left",,
,,"x","y"
,,"int","int"
,,-1866,5000
,,-1866,22500
,"royal_red_roof_left",,
,,"x","y"
,,"int","int"
,,-3598,7500
,"royal_red_roof_right",,
,,"x","y"
,,"int","int"
,,22000,7500
,"royal_blue_roof_left",,
,,"x","y"
,,"int","int"
,,-3500,25000
,"royal_blue_roof_right",,
,,"x","y"
,,"int","int"
,,21500,25500
,"royal_blue_wall_middle",,
,,"x","y"
,,"int","int"
,,9000,39500
,"royal_blue_tower1",,
,,"x","y"
,,"int","int"
,,-500,31500
,"royal_blue_tower2",,
,,"x","y"
,,"int","int"
,,21864,34124
,"royal_blue_endwall1",,
,,"x","y"
,,"int","int"
,,2000,36500
,"royal_blue_endwall2",,
,,"x","y"
,,"int","int"
,,16000,36500
,"royal_red_deco",,
,,"x","y"
,,"int","int"
,,29000,-6500
,"royal_blocktree",,
,,"x","y"
,,"int","int"
,,14000,-9000
,,36500,16500
,,-19000,16500
,,-6000,40500
,,33000,30500
,,-14000,33500
,,31000,41500
,,13500,46000
,,5500,46000
,,-16000,24500
,,23500,39000
,,-15000,3500
,,-16000,11500
,,33500,11500
,,-9000,35500
,,27500,32500
,,30500,15500
,,32500,18500
,,-13500,15500
,,-13000,9500
,,-12000,17500
,,29500,5000
,,-9500,-500
,,-7500,-7000
,,0,-8500
,,27500,-2000
,,26500,-7000
,,11000,48500
,,13000,52500
,,8000,47500
,,-3000,47500
,,4500,55500
,,14000,56000
,,15000,59000
,,3500,59000
,,17000,52500
,,500,52500
,,-3500,56000
,,20500,57000
,,23500,51500
,,25500,44500
,,29000,56000
,,31500,49000
,,-13000,42000
,,-13500,54000
,,-8000,46500
,"royal_bush1x",,
,,"x","y"
,,"int","int"
,,21500,46000
,,-14000,-9000
,,-11500,2500
,,28000,17500
,,18500,-10500
,,-9500,-4500
,,-16000,15500
,,28000,15000
,,-14500,20000
,,30000,8500
,,30500,-3500
,,33000,-9000
,"king_flood_blue",,
,,"x","y"
,,"int","int"
,,9033,28916
,"king_flood_red",,
,,"x","y"
,,"int","int"
,,9000,3000
,"princess_flood_blue",,
,,"x","y"
,,"int","int"
,,3489,24844
,,14471,24944
,"princess_flood_red",,
,,"x","y"
,,"int","int"
,,14470,5724
,,3463,5731
,"flood_small_wave1",,
,,"x","y"
,,"int","int"
,,3470,26543
,,8966,29958
,,14466,26500
,,3500,7416
,,9066,4250
,,14433,7333
,"flood_small_wave3",,
,,"x","y"
,,"int","int"
,,2600,25333
,,7766,28958
,,13433,25500
,,13400,6416
,,2400,6375
,,7733,3041
,,17265,15916
,"flood_small_wave5",,
,,"x","y"
,,"int","int"
,,9100,27291
,"flood_small_wave7",,
,,"x","y"
,,"int","int"
,,4533,25125
,,10266,28750
,,15466,25250
,,15500,6166
,,10500,3000
,"boat_back_waves_08_move",,
,,"x","y"
,,"int","int"
,,9000,-1500
,,15533,-1541
,,2633,-1875
,"boat_back_waves_09_move",,
,,"x","y"
,,"int","int"
,,-833,7125
,,-800,24666
,,-566,17833
,"boat_back_waves_10_move",,
,,"x","y"
,,"int","int"
,,19000,6375
,,18633,2666
,,18566,20291
,,19000,25000
,,19066,29833
,,18833,11541
,"flood_small_wave2",,
,,"x","y"
,,"int","int"
,,17700,17416
,"flood_small_wave4",,
,,"x","y"
,,"int","int"
,,17800,15000
,"royal_bucket_flood",,
,,"x","y"
,,"int","int"
,,17768,14380
,"royal_left_side_flood",,
,,"x","y"
,,"int","int"
,,-84,2354
"Background",,,
