"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_forbidden_arena_dl.sc","forbidden_base_02",
"Objects",,,
,"9000",,
,"forbidden_building_01",,
,,"x","y"
,,"int","int"
,,-1909,27000
,"forbidden_building_02",,
,,"x","y"
,,"int","int"
,,20000,26500
,"forbidden_building_03",,
,,"x","y"
,,"int","int"
,,8907,-9444
,"forbidden_lantern_01",,
,,"x","y"
,,"int","int"
,,1000,-7405
,"forbidden_lantern_02",,
,,"x","y"
,,"int","int"
,,19000,-6500
,"forbidden_statue_01",,
,,"x","y"
,,"int","int"
,,21867,15500
,"forbidden_statue_02",,
,,"x","y"
,,"int","int"
,,-3934,15749
,"forbidden_tree_01",,
,,"x","y"
,,"int","int"
,,-9450,3593
,,25500,17000
,,27000,2000
,,-8500,21500
,,-6500,37000
,,-10500,-13500
,,18500,-21500
,,19500,37000
,"forbidden_corner_02",,
,,"x","y"
,,"int","int"
,,17998,14499
,,17998,16917
,"forbidden_cauldron_01",,
,,"x","y"
,,"int","int"
,,15119,-2358
,,2907,-2277
,"forbidden_corner_01",,
,,"x","y"
,,"int","int"
,,-1,14666
,,67,17000
,"forbidden_light_glow1",,
,,"x","y"
,,"int","int"
,,1464,-4980
,,19500,-3000
,"forbidden_light_glow2",,
,,"x","y"
,,"int","int"
,,0,-2500
,,17500,-6500
,,0,32000
,"forbidden_lantern_03",,
,,"x","y"
,,"int","int"
,,222,31888
"Background",,,
