"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_giant_arena.sc","giant_base_01",
"Objects",,,
,"giant_arch_01",,
,,"x","y"
,,"int","int"
,,9296,38949
,"giant_banner_02",,
,,"x","y"
,,"int","int"
,,19084,29533
,"giant_stands_01",,
,,"x","y"
,,"int","int"
,,18961,-5915
,"giant_stands_02",,
,,"x","y"
,,"int","int"
,,21832,-3544
,"giant_stands_03",,
,,"x","y"
,,"int","int"
,,25370,15231
,"giant_stands_06",,
,,"x","y"
,,"int","int"
,,-7333,15324
,"giant_stands_05",,
,,"x","y"
,,"int","int"
,,-4037,-3333
,"giant_stands_04",,
,,"x","y"
,,"int","int"
,,-1185,-5787
,"giant_trophy_01",,
,,"x","y"
,,"int","int"
,,481,17361
,,17555,17546
,,17629,14675
,,444,14490
,"giant_trophy_02",,
,,"x","y"
,,"int","int"
,,17480,32764
,,588,32903
,"crowd_archer1_idle1",,
,,"x","y"
,,"int","int"
,,19000,21000
,,20000,11500
,,19000,9500
,,21000,6500
,,21500,15500
,,21000,22000
,,24500,21000
,,24000,19500
,,25500,15000
,,20000,12500
,,19000,22000
,,-2293,12574
,,-1000,17500
,,-3500,8500
,,-2500,21500
,,-1000,7405
,,22500,
,,-2346,13632
,,-1000,9000
,"crowd_barbarian1_idle1",,
,,"x","y"
,,"int","int"
,,19000,19000
,,20000,13500
,,21500,17000
,,21000,23000
,,20000,21000
,,20000,24000
,,19000,7000
,,21000,9000
,,25500,16500
,,23500,21500
,,24500,14500
,,-2500,10500
,,-2500,17500
,,-2000,23000
,,-1000,19500
,,-1000,14500
,,-1000,5500
,,-2000,8500
,,-3500,15500
,,22333,1785
,"crowd_giant1_idle1",,
,,"x","y"
,,"int","int"
,,20000,16000
,,-3786,13066
,"crowd_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,19000,11500
,,20000,8000
,,20000,5000
,,20000,18500
,,21500,20500
,,19000,23500
,,24000,16500
,,25500,19500
,,-1000,12000
,,-1000,21000
,,-1000,24000
,,-4280,1785
,"giant_banner_03",,
,,"x","y"
,,"int","int"
,,-1201,2536
,"giant_banner_04",,
,,"x","y"
,,"int","int"
,,-1105,29585
,"giant_banner_01",,
,,"x","y"
,,"int","int"
,,19134,2583
,"crowd_giant2_idle1",,
,,"x","y"
,,"int","int"
,,21500,12000
,,-3500,19000
,"crowd_goblin2_idle1",,
,,"x","y"
,,"int","int"
,,20500,25500
,,21500,18500
,,19000,5500
,,-1000,10500
,,-3000,6500
,,-3500,9500
,,-2346,19386
,,-2293,16211
,,-2289,15000
,,-3404,22722
,,-3053,24029
,"crowd_T_barbarian1_idle1",,
,,"x","y"
,,"int","int"
,,-500,-3000
,"crowd_T_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,18000,-2000
,"crowd_T_goblin2_idle1",,
,,"x","y"
,,"int","int"
,,-2500,
"Background",,,
