"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_goblin_party_dl.sc","goblin_party_base_01",
"Objects",,,
,"goblin_party_drawbridge_01",,
,,"x","y"
,,"int","int"
,,-3754,12525
,"goblin_party_floating_rock_01",,
,,"x","y"
,,"int","int"
,,-19000,-500
,"champion_floating_rock_03",,
,,"x","y"
,,"int","int"
,,35000,35000
,"champion_floating_rock_04",,
,,"x","y"
,,"int","int"
,,2500,40000
,,12393,-4719
,"champion_floating_rock_05",,
,,"x","y"
,,"int","int"
,,3500,40500
,,10641,33186
,,12300,-5724
,"goblin_party_king_blue",,
,,"x","y"
,,"int","int"
,,923,-1643
,"goblin_party_king_red",,
,,"x","y"
,,"int","int"
,,13595,-2092
,"goblin_party_stands_blue_01",,
,,"x","y"
,,"int","int"
,,-3636,21621
,"goblin_party_stands_blue_02",,
,,"x","y"
,,"int","int"
,,24077,21557
,"goblin_party_stands_blue_03",,
,,"x","y"
,,"int","int"
,,-12700,23250
,"goblin_party_stands_red_01",,
,,"x","y"
,,"int","int"
,,21827,5017
,"goblin_party_stands_red_02",,
,,"x","y"
,,"int","int"
,,-4297,2971
,"goblin_party_stands_red_03",,
,,"x","y"
,,"int","int"
,,30810,1356
,"goblin_party_trophy_big_01",,
,,"x","y"
,,"int","int"
,,21719,12514
,"goblin_party_wall_01",,
,,"x","y"
,,"int","int"
,,3106,33523
,"goblin_party_wall_02",,
,,"x","y"
,,"int","int"
,,18366,30544
,"champion_floating_rock_06",,
,,"x","y"
,,"int","int"
,,-13699,33791
,"champion_waterfall_dummy",,
,,"x","y"
,,"int","int"
,,8000,-1000
,,10000,-1000
,"champion_floating_rock_07",,
,,"x","y"
,,"int","int"
,,-9500,49000
,,27500,41000
,,-14500,5500
,"goblin_party_floating_rock_01",,
,,"x","y"
,,"int","int"
,,21500,-8500
,"disco_ball",,
,,"x","y"
,,"int","int"
,,9098,-3081
,"jungle_leaves_01_small",,
,,"x","y"
,,"int","int"
,,-3000,7000
,,21000,17500
,,21500,-2000
,,0,-4000
,,18500,-4000
,,-3000,-3500
,,-5500,28000
,,23500,29500
,,23500,15000
,,-4000,16500
,,19500,-3000
,,13500,36500
,,0,36000
,,-3000,27000
,,26500,13000
,,23500,8000
,"jungle_firefly_01",,
,,"x","y"
,,"int","int"
,,22500,-1500
,"jungle_bamboo_01",,
,,"x","y"
,,"int","int"
,,4500,-4500
,,13500,-4500
,,17500,-4000
,,-500,-3500
,,17500,-3000
,,19000,-3500
,,20000,-5000
,"goblin_party_floating_rock_02",,
,,"x","y"
,,"int","int"
,,500,-8500
,,11000,39000
,"spears_02",,
,,"x","y"
,,"int","int"
,,-490,149
,,7312,35886
,,18500,500
,"spears_01",,
,,"x","y"
,,"int","int"
,,-1000,19000
,,12500,-2500
,"crowd_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,-752,2569
,,18864,2984
,,18909,21959
,,-765,23875
,"crowd_goblin2_idle1",,
,,"x","y"
,,"int","int"
,,-819,21734
,,18819,26182
,,18864,7094
,,-919,4621
,"crowd_T_goblin2_idle1",,
,,"x","y"
,,"int","int"
,,15801,-450
,"crowd_T_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,22500,-500
,"jungle_vine_02",,
,,"x","y"
,,"int","int"
,,-5500,-2000
,"crowd_B_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,11000,38000
,"crowd_B_goblin2_idle1",,
,,"x","y"
,,"int","int"
,,3300,32958
,"electric_vignette_01",,
,,"x","y"
,,"int","int"
,,9500,500
"Background",,,
