"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_lunar_arena_dl.sc","lunar_base_01",
"Objects",,,
,"9000",,
,"lunar_cauldron_01",,
,,"x","y"
,,"int","int"
,,476,14293
,,477,17300
,"lunar_cauldron_02",,
,,"x","y"
,,"int","int"
,,17565,14187
,,17607,16983
,"lunar_lantern_02",,
,,"x","y"
,,"int","int"
,,3348,-5225
,,20000,24500
,,20500,10500
,,19661,1185
,"lunar_lantern_04",,
,,"x","y"
,,"int","int"
,,14150,-3159
,,-500,35000
,"lunar_mountain_03",,
,,"x","y"
,,"int","int"
,,25233,45000
,"lunar_mountain_05",,
,,"x","y"
,,"int","int"
,,-10366,34416
,"lunar_mountain_06",,
,,"x","y"
,,"int","int"
,,27867,20542
,"lunar_mountain_01",,
,,"x","y"
,,"int","int"
,,-8500,45000
,"lunar_mountain_02",,
,,"x","y"
,,"int","int"
,,28433,32375
,"lunar_mountain_04",,
,,"x","y"
,,"int","int"
,,-9500,8000
,"lunar_lantern_05",,
,,"x","y"
,,"int","int"
,,-5000,-1500
,,-2791,12031
,,-2500,23000
,,19709,34864
,,27124,5718
,,22500,-7500
,"spooky_fog_01",,
,,"x","y"
,,"int","int"
,,-2000,46500
,,3500,47500
,,12000,48000
,,8500,47500
,,11500,46000
,,4000,45000
,,6500,43500
,,-5500,44500
,,18500,46500
"Background",,,
