"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_miner_arena_dl.sc","miner_base_01",
"Objects",,,
,"jungle_firefly_01",,
,,"x","y"
,,"int","int"
,,9000,16000
,,17000,500
,,0,12500
,,13500,31500
,"jungle_firefly_02",,
,,"x","y"
,,"int","int"
,,5500,32000
,,15500,16000
,,11500,-500
,"jungle_firefly_03",,
,,"x","y"
,,"int","int"
,,0,31500
,,11000,15500
,,10000,-500
,,1000,
,"jungle_vfx_water_01",,
,,"x","y"
,,"int","int"
,,9000,
,"mine_Handle",,
,,"x","y"
,,"int","int"
,,17696,16829
,"mine_Rails_Top_Left",,
,,"x","y"
,,"int","int"
,,-9596,-5119
,"mine_Rails_Top",,
,,"x","y"
,,"int","int"
,,29865,-2967
,"mine_BigRockH",,
,,"x","y"
,,"int","int"
,,22084,4864
,,9500,49500
,,20000,42000
,,31667,28833
,"mine_BigRockJ",,
,,"x","y"
,,"int","int"
,,22705,-6322
,,-2500,-8000
,,30000,28500
,"mine_StoneArch",,
,,"x","y"
,,"int","int"
,,16936,-4115
,"mine_Rails_Solo",,
,,"x","y"
,,"int","int"
,,14500,-3500
,,10500,-3500
,,6500,-3500
,,13599,36000
,,9500,36000
,,5500,36000
,,1500,36000
,,-2500,36000
,,-6500,36000
,,6600,42750
,"mine_RailStopper",,
,,"x","y"
,,"int","int"
,,4500,-3500
,"mine_GemE",,
,,"x","y"
,,"int","int"
,,20555,-8944
,,19233,23583
,"mine_Helmet",,
,,"x","y"
,,"int","int"
,,4000,33000
,,20666,8159
,"mine_GemB",,
,,"x","y"
,,"int","int"
,,13500,-16500
,,-454,-4235
,,31000,41000
,,37000,48500
,,29000,-10500
,"mine_GemC",,
,,"x","y"
,,"int","int"
,,13000,-11000
,,27500,8500
,,-12047,45654
,"mine_GemH",,
,,"x","y"
,,"int","int"
,,9000,-5500
,,-6500,16500
,,5500,-10500
,,-9000,25000
,,-10500,11500
,,27000,19500
,,25500,40000
,,-11000,-8500
,"mine_BigRockI",,
,,"x","y"
,,"int","int"
,,14500,-19500
,"mine_GemA",,
,,"x","y"
,,"int","int"
,,16500,-22000
,,-9500,7000
,,-10500,42000
,,-454,-10872
,"mine_Entrance",,
,,"x","y"
,,"int","int"
,,23897,11303
,"mine_Entrance_left",,
,,"x","y"
,,"int","int"
,,-8000,11418
,"mine_GemF",,
,,"x","y"
,,"int","int"
,,24500,12000
,,-2958,22841
,,-7673,20331
,,-5500,28000
,,2000,37500
,,18000,45000
,,29500,-17000
,,-15000,20500
,,28000,24000
,,-10500,-15000
,"mine_ArenaCrystal1",,
,,"x","y"
,,"int","int"
,,-1697,3189
,,-571,31845
,"mine_Rails_Bottom",,
,,"x","y"
,,"int","int"
,,-14000,39000
,"mine_Rails_Bottom_Right",,
,,"x","y"
,,"int","int"
,,19459,41126
,"mine_BigRockB",,
,,"x","y"
,,"int","int"
,,32000,41000
,"mine_BigRockK",,
,,"x","y"
,,"int","int"
,,7000,-12000
,,-9000,10000
,,-7500,23500
,,23500,24000
,,32111,19834
,,-15000,15000
,,33000,-7500
,,-5000,51000
,"mine_GemG",,
,,"x","y"
,,"int","int"
,,24500,17000
,,-4500,33000
,,-1000,45000
,,21000,-3000
,"mine_BigRockA",,
,,"x","y"
,,"int","int"
,,-17500,23000
,,33500,-2000
,,-13000,-12000
,"mine_BigRockG",,
,,"x","y"
,,"int","int"
,,30000,35500
,,22000,49000
,,6945,56500
,,-13904,47940
,"mine_scroll",,
,,"x","y"
,,"int","int"
,,-3000,27000
,,20000,2500
,"mine_WoodArch",,
,,"x","y"
,,"int","int"
,,-15000,27000
,"mine_RailSupport",,
,,"x","y"
,,"int","int"
,,7500,39500
,"mine_ArenaCrystal3",,
,,"x","y"
,,"int","int"
,,636,14280
,"mine_BigRockL",,
,,"x","y"
,,"int","int"
,,2500,48000
,,33000,-14000
,,-7023,61060
,"mine_StoneArch_Left",,
,,"x","y"
,,"int","int"
,,5133,42000
,"mine_BigRockE",,
,,"x","y"
,,"int","int"
,,866,41792
,"mine_Wagon_with_shovel",,
,,"x","y"
,,"int","int"
,,-12266,30250
,"mine_Wagon_without_shovel",,
,,"x","y"
,,"int","int"
,,11533,35041
,,13857,-4583
,"mine_GemI",,
,,"x","y"
,,"int","int"
,,21000,28500
,"mine_Candle01",,
,,"x","y"
,,"int","int"
,,19000,29000
,,-4181,24848
,,2545,-1174
,"mine_Candle03",,
,,"x","y"
,,"int","int"
,,2000,44000
,,-2014,13014
,"heist_vfx_lightray_01",,
,,"x","y"
,,"int","int"
,,13000,-10000
,,23500,-12000
,"mine_BigRockD",,
,,"x","y"
,,"int","int"
,,22000,15500
,"mine_Vignette",,
,,"x","y"
,,"int","int"
,,-5500,18500
,"tomb_vfx_sparkle_01",,
,,"x","y"
,,"int","int"
,,-1000,-4500
,,-8500,7500
,,26500,8000
,,13500,-5000
,,-2500,22500
,"mine_candleflicker",,
,,"x","y"
,,"int","int"
,,-3636,11401
,,21272,11287
"Background",,,
