"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_monk_arena_dl.sc","monk_base_2v2",
"Objects",,,
,"monk_arch",,
,,"x","y"
,,"int","int"
,,8866,-4875
,"monk_crystal_3_small",,
,,"x","y"
,,"int","int"
,,5766,-1911
,,16566,-791
,,6060,39053
,,14272,37727
,,19303,28295
,"monk_crystal_big",,
,,"x","y"
,,"int","int"
,,4487,-3438
,"monk_stairs",,
,,"x","y"
,,"int","int"
,,8851,-8935
,"monk_waterfall",,
,,"x","y"
,,"int","int"
,,-4583,13958
,"monk_rocks_a_light",,
,,"x","y"
,,"int","int"
,,29408,11781
,"monk_three_rock",,
,,"x","y"
,,"int","int"
,,18091,-5468
,"monk_rocks_a_light_small",,
,,"x","y"
,,"int","int"
,,14341,-2513
,"monk_rocks_c_light",,
,,"x","y"
,,"int","int"
,,22466,10291
,,-4037,-2083
,"monk_rocks_a_light_left",,
,,"x","y"
,,"int","int"
,,-566,32916
,,-3666,-6064
,"monk_tree",,
,,"x","y"
,,"int","int"
,,-4133,29833
,"monk_tiles_rock",,
,,"x","y"
,,"int","int"
,,18966,708
,,15972,34201
,"monk_bamboo_group_dark",,
,,"x","y"
,,"int","int"
,,3456,-6833
,,-9629,-1620
,,-7814,-5138
,,-9222,-9305
,,23533,6458
,,24933,3541
,,26666,8250
,,23666,-2500
,,26533,-3333
,,24266,-7000
,,27000,-9875
,,22866,-10625
,,19600,-11291
,,21200,-5750
,,-6000,-9333
,,-5466,-11708
,,-8966,-13250
,,-2600,-13333
,,-433,-14291
,,3866,-13625
,,2266,-12041
,,21600,24750
,,22233,31125
,,-4166,38250
,,-1200,39583
,,17638,38437
,,13722,43333
,,16583,41076
,,20111,35555
,,20694,33020
,,24555,35277
,,23694,38576
,,21833,39791
,,-8636,30757
,,-6757,34696
,,-7333,38030
,,-10416,25989
,,-11250,29791
,,-10291,35416
,,-10958,19010
,,12333,-11874
,,15208,-13593
,,6875,53020
,,-6458,48333
,,19916,44583
,,17166,46406
,"monk_bamboo_top_solo",,
,,"x","y"
,,"int","int"
,,5400,-10583
,,12533,-10291
,,4424,42840
,,1484,43522
,,-1878,42386
,,-4454,42575
,,-2291,40885
,,6708,44791
,,13333,43906
,,7958,47552
,,10374,48177
,,11999,47812
,,19958,27135
,,8952,-16071
,,11333,-16726
,,5571,55059
,,8619,57202
,,11333,57083
,"monk_bamboo_solo_dark",,
,,"x","y"
,,"int","int"
,,13200,-6875
,,1766,-6166
,,19472,41875
,,26749,30625
,,11444,39201
,,1638,38263
,"monk_rocks_b_light",,
,,"x","y"
,,"int","int"
,,-2555,3888
,,10515,42916
,"monk_box_light",,
,,"x","y"
,,"int","int"
,,-925,185
,,25366,29500
,"monk_flag_blue",,
,,"x","y"
,,"int","int"
,,19222,24768
,"monk_flag_pink_right",,
,,"x","y"
,,"int","int"
,,21111,-787
,"monk_rocks_b_light_small",,
,,"x","y"
,,"int","int"
,,20066,4208
,,27466,29125
,,19133,22416
,,4305,38020
,,12638,37013
,"monk_bamboo_group_truncs_light",,
,,"x","y"
,,"int","int"
,,-133,-7666
,,15066,-10375
,"monk_crystal_3",,
,,"x","y"
,,"int","int"
,,166,-3500
,,19575,6553
,"monk_rocks_c_light _small",,
,,"x","y"
,,"int","int"
,,19899,19250
,,24366,28208
,,9499,36979
,,24606,14810
,"monk_rock_square",,
,,"x","y"
,,"int","int"
,,22966,20750
,,27212,25416
,,24969,17462
,"monk_bamboo_top_solo_big",,
,,"x","y"
,,"int","int"
,,-8466,41208
,,27333,41375
,,-1727,46401
,,3333,47386
,,15333,47121
,,19727,46098
,,22333,43598
,,-6939,19166
,,9958,52656
,,15000,53177
,,33750,34270
,,27208,47239
,,21833,50937
,,2625,52968
,,-2291,52395
,,-12208,47760
,,-9874,49218
,"monk_bamboo_top_solo_big_medium",,
,,"x","y"
,,"int","int"
,,28600,37291
,,-9800,37208
,,-5233,38833
,,-6393,23257
,,-8333,26174
,,30041,17499
,,31416,19739
,,30749,20833
,,31041,23958
,,31999,28802
,,34833,27604
,,34249,23229
,,5999,-15364
,,1166,42187
,,29916,7864
,,29916,-1302
,,30416,3177
,,-12625,12552
,,-12875,9374
,,-13083,20677
,"monk_bamboo_group_dark_small",,
,,"x","y"
,,"int","int"
,,933,40375
,,3266,40666
,,29242,27840
,,28545,33787
,,26666,35984
,,30727,36401
,,30454,32537
,,17208,-11041
,,22249,-8750
,,27083,-6979
,,27666,3281
,,17958,-14687
,,21624,-14947
,,24541,-13489
,,6374,-11249
,,-2208,-8750
,,2166,-7708
,,4999,-7187
,,11958,-7291
,,1166,-10000
,,19749,-8229
,,29249,-2656
,,29249,-5885
,,-10500,-5989
,,-11208,-7239
,"monk_rock_small",,
,,"x","y"
,,"int","int"
,,10861,35000
,,5944,41180
,,27424,22916
,,-1888,27222
,"monk_rock_water",,
,,"x","y"
,,"int","int"
,,13499,33472
,,24416,20312
,,6545,35719
,,21424,17765
,,26484,17121
,,-444,27048
,"monk_rock_cube",,
,,"x","y"
,,"int","int"
,,23499,24479
,"monk_crystal_big_small",,
,,"x","y"
,,"int","int"
,,23121,13295
,"monk_bell",,
,,"x","y"
,,"int","int"
,,2435,-2756
"Background",,,
