"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_pancakes_arena_dl.sc","pancake_base_01",
"Objects",,,
,"jungle_firefly_01",,
,,"x","y"
,,"int","int"
,,9000,16000
,,17000,500
,,0,12500
,,13500,31500
,"jungle_firefly_02",,
,,"x","y"
,,"int","int"
,,5500,32000
,,15500,16000
,,11500,-500
,"jungle_firefly_03",,
,,"x","y"
,,"int","int"
,,0,31500
,,11000,15500
,,10000,-500
,,1000,
,"pancake_banana_stadium_bottom",,
,,"x","y"
,,"int","int"
,,-2975,23864
,"pancake_banana_stadium_top",,
,,"x","y"
,,"int","int"
,,-3071,5480
,"pancake_pekka",,
,,"x","y"
,,"int","int"
,,-3292,13022
,"pancake_sirup_bottle",,
,,"x","y"
,,"int","int"
,,16443,4407
,"pancake_sliced_sirup",,
,,"x","y"
,,"int","int"
,,-11000,13000
,"pancake_tower_05",,
,,"x","y"
,,"int","int"
,,-5963,29139
,,-9200,-8916
,,-15571,30000
,"pancake_tower_06",,
,,"x","y"
,,"int","int"
,,-11000,26500
,,-5333,-12625
,"pancake_banana_stadium_top_right",,
,,"x","y"
,,"int","int"
,,20709,4228
,"pancake_banana_stadium_bottom_right",,
,,"x","y"
,,"int","int"
,,20979,24233
,"pancake_tower_08",,
,,"x","y"
,,"int","int"
,,24800,18500
,,30533,6833
,,-5714,-14166
,,26666,-17261
,,16047,-12440
,"pancake_strawberry_small",,
,,"x","y"
,,"int","int"
,,500,14565
,"pancake_cream_decoration_small",,
,,"x","y"
,,"int","int"
,,466,17180
,,12566,125
,,1200,-3000
,,8866,34250
,,22066,32083
,,17428,14494
,"pancake_sliced_sirup_small",,
,,"x","y"
,,"int","int"
,,1733,-2708
,,1592,33194
,,-6777,18148
,,23592,24398
,,31000,833
,,-12888,-2731
,,15518,46018
,,22700,32333
,"pancake_tower_07",,
,,"x","y"
,,"int","int"
,,24034,18958
,,21000,-3125
,,20733,31041
,,-12952,43273
,"pancake_tower_01",,
,,"x","y"
,,"int","int"
,,26000,12000
,,9952,31685
,,-10366,19708
,,10566,-10208
,,-19047,7916
,"pancake_tower_02",,
,,"x","y"
,,"int","int"
,,-10074,6620
,,14266,-8000
,"pancake_cream",,
,,"x","y"
,,"int","int"
,,-7518,28564
,,41,-1354
,,-9250,19010
,,33666,12447
,,5799,-4509
,"pancake_sliced_sirup_small_right",,
,,"x","y"
,,"int","int"
,,3000,34212
,,8366,34041
,,15533,33083
,,15466,-541
,,2000,-666
,"pancake_tower_05_big",,
,,"x","y"
,,"int","int"
,,962,33333
,,-14466,-208
,,22111,40069
,"pancake_tower_sirup",,
,,"x","y"
,,"int","int"
,,10444,43333
,,-14047,23154
,,30000,-7000
,,-12500,-11500
,"pancake_tower_04",,
,,"x","y"
,,"int","int"
,,-4814,36111
,,6133,-15541
,"pancake_berry_light",,
,,"x","y"
,,"int","int"
,,10444,38657
,,2888,31435
,,12095,31488
,"pancake_berry_dark",,
,,"x","y"
,,"int","int"
,,5404,-66
,,-9333,15138
,,-8000,39722
,"pancake_cream_stairs",,
,,"x","y"
,,"int","int"
,,18339,17261
,"pancake_solo_medium_sirup",,
,,"x","y"
,,"int","int"
,,-14000,34000
,"pancake_tower_03",,
,,"x","y"
,,"int","int"
,,13866,31209
,,17233,-14000
,,27952,23928
,"pancake_tower_09",,
,,"x","y"
,,"int","int"
,,23749,25989
,,1166,-15416
,"pancake_tower_10",,
,,"x","y"
,,"int","int"
,,2666,-6875
,"pancake_tower_11",,
,,"x","y"
,,"int","int"
,,8291,-3125
,"pancake_sirup_drop_01",,
,,"x","y"
,,"int","int"
,,29305,-10208
,,29000,-8500
,,17380,17470
,,5523,31875
,"pancake_small_sirup",,
,,"x","y"
,,"int","int"
,,-2266,-3916
,,23700,23625
,,-11400,16625
,,2458,47083
,,31500,10500
,,4500,-19000
,,-18000,
,,-18000,3500
,"pancake_Vignette",,
,,"x","y"
,,"int","int"
,,-4500,20000
"Background",,,
