"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_ranked_arena_dl.sc","ranked_base_2v2",
"Objects",,,
,"ranked_arena_statue_pedestal",,
,,"x","y"
,,"int","int"
,,-900,43875
,"ranked_arena_statue_pedestal",,
,,"x","y"
,,"int","int"
,,-900,43875
,,18566,44458
,"ranked_arena_crystal_R",,
,,"x","y"
,,"int","int"
,,18766,-1958
,"ranked_arena_crystal_L",,
,,"x","y"
,,"int","int"
,,-666,-2166
,"ranked_arena_firepit_stairs",,
,,"x","y"
,,"int","int"
,,-2333,16708
,,2291,-1451
,,15843,-1570
,,20566,16875
,"ranked_arena_wall",,
,,"x","y"
,,"int","int"
,,9160,6316
,"ranked_lights",,
,,"x","y"
,,"int","int"
,,-7434,-17292
,"ranked_arena_king",,
,,"x","y"
,,"int","int"
,,9125,-6655
,"ranked_arena_statue_pedestal",,
,,"x","y"
,,"int","int"
,,-900,43875
,,-13332,35069
,,30833,34653
,"ranked_arena_statue_cloth",,
,,"x","y"
,,"int","int"
,,-2603,7127
,,-8591,38386
,,25946,38042
,"ranked_arena_statue_skeleton",,
,,"x","y"
,,"int","int"
,,18222,38240
,,-13721,29012
,"ranked_arena_statue_queen",,
,,"x","y"
,,"int","int"
,,-1476,38288
,,30183,29295
,"ranked_arena_statue_pedestal_medium",,
,,"x","y"
,,"int","int"
,,20476,10990
,,20666,24038
,"ranked_arena_statue_knight",,
,,"x","y"
,,"int","int"
,,20894,8451
,"ranked_arena_statue_monk",,
,,"x","y"
,,"int","int"
,,19921,21092
,"ranked_arena_column_side_R",,
,,"x","y"
,,"int","int"
,,30468,9980
,"ranked_arena_column_side_L",,
,,"x","y"
,,"int","int"
,,-12714,9474
,"ranked_arena_tower_front_R_top",,
,,"x","y"
,,"int","int"
,,30761,-8095
,"ranked_arena_tower_front_L_top",,
,,"x","y"
,,"int","int"
,,-12904,-8511
"Background",,,
