"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_rock_evolution_arena_dl.sc","rockevolution_base_01",
"Objects",,,
,"summerrock_arena_bucket",,
,,"x","y"
,,"int","int"
,,17763,14373
,"summerrock_royal_red_tower1",,
,,"x","y"
,,"int","int"
,,666,-976
,"summerrock_royal_red_tower2",,
,,"x","y"
,,"int","int"
,,17334,-1207
,"summerrock_royal_red_wall_middle",,
,,"x","y"
,,"int","int"
,,9067,-12521
,"summerrock_royal_mid_tower",,
,,"x","y"
,,"int","int"
,,501,14458
,"summerrock_royal_sidestand_right",,
,,"x","y"
,,"int","int"
,,19700,22625
,,19697,5000
,"summerrock_royal_sidestand_left",,
,,"x","y"
,,"int","int"
,,-7908,4500
,,-7782,22500
,"summerrock_royal_red_roof_left",,
,,"x","y"
,,"int","int"
,,-6098,7500
,"summerrock_royal_red_roof_right",,
,,"x","y"
,,"int","int"
,,20671,6946
,"summerrock_royal_blue_roof_left",,
,,"x","y"
,,"int","int"
,,-7750,25812
,"summerrock_royal_blue_roof_right",,
,,"x","y"
,,"int","int"
,,21500,25500
,"summerrock_royal_blue_wall_middle",,
,,"x","y"
,,"int","int"
,,9000,39500
,"summerrock_royal_blue_tower1",,
,,"x","y"
,,"int","int"
,,-500,31500
,"summerrock_royal_blue_tower2",,
,,"x","y"
,,"int","int"
,,21864,34124
,"summerrock_royal_blue_endwall1",,
,,"x","y"
,,"int","int"
,,2000,36500
,"summerrock_royal_blue_endwall2",,
,,"x","y"
,,"int","int"
,,16000,36500
,"royal_red_deco",,
,,"x","y"
,,"int","int"
,,29000,-6500
,,-12500,-5500
,"royal_blue_deco",,
,,"x","y"
,,"int","int"
,,6000,44500
,,12000,44500
,"royal_blocktree",,
,,"x","y"
,,"int","int"
,,19000,-14500
,,36500,16500
,,-19000,16500
,,-6000,40500
,,33000,30500
,,-14000,33500
,,31000,41500
,,20500,44500
,,1000,48500
,,-16000,24500
,,23500,39000
,,-15000,3500
,,-16000,11500
,,33500,11500
,,-9000,35500
,,27500,32500
,,30500,15500
,,32500,18500
,,-13500,15500
,,-13000,9500
,,-12000,17500
,,29500,5000
,,-9500,-500
,,-7500,-7000
,,-5000,-12000
,,27500,-2000
,,28000,-9500
,,14000,47000
,,13000,52500
,,2500,45500
,,-3000,47500
,,4500,55500
,,14000,56000
,,15000,59000
,,3500,59000
,,17000,52500
,,500,52500
,,-3500,56000
,,20500,57000
,,23500,51500
,,25500,44500
,,29000,56000
,,31500,49000
,,-13000,42000
,,-13500,54000
,,-8000,46500
,"royal_bush1x",,
,,"x","y"
,,"int","int"
,,21500,46000
,,-14000,-9000
,,-11500,2500
,,28000,17500
,,23500,-12000
,,-9500,-4500
,,-16000,15500
,,28000,15000
,,-14500,20000
,,30000,8500
,,30500,-3500
,,33000,-9000
,"summerrock_arena_light_yellow",,
,,"x","y"
,,"int","int"
,,8899,16214
,"summerrock_arena_light_yellow_small",,
,,"x","y"
,,"int","int"
,,1533,1041
,,16333,332
,,2142,30297
,,15380,30833
,"summerrock_arena_light_white",,
,,"x","y"
,,"int","int"
,,21000,2000
,,-4055,20624
,"Grassland_rock1",,
,,"x","y"
,,"int","int"
,,21500,3000
,"center_stage",,
,,"x","y"
,,"int","int"
,,9001,15756
"Background",,,
