"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_shipwreck_arena.sc","shipwreck_base_01_1v1",
"Objects",,,
,"cannon_ball_1",,
,,"x","y"
,,"int","int"
,,18000,
,,15500,32500
,,-2148,30463
,"cannon_ball_2",,
,,"x","y"
,,"int","int"
,,4000,32500
,,-166,167
,,11033,-1458
,,16812,-894
,,18733,30666
,,-866,31375
,"boat_rope",,
,,"x","y"
,,"int","int"
,,2000,32000
,"Grassland_rock1",,
,,"x","y"
,,"int","int"
,,500,17000
,,0,14583
,"Grassland_rock3",,
,,"x","y"
,,"int","int"
,,17866,17125
,,19133,24625
,"WoodWall_single_2",,
,,"x","y"
,,"int","int"
,,-600,-1166
,,-1867,14042
,,18853,27093
,,-1130,29185
,,20200,19041
,,19767,18166
,,20000,2500
,,19000,2000
,,19000,2500
,"Palmtree_01",,
,,"x","y"
,,"int","int"
,,700,-2875
,,20500,
,,17771,-4292
,"Palmtree_02",,
,,"x","y"
,,"int","int"
,,19500,32500
,,22000,17500
,"Palmtree_03",,
,,"x","y"
,,"int","int"
,,-2500,-2500
,,16215,-4980
,,19000,-1000
,,20277,30564
,,-2398,9394
,"barrel_land_01",,
,,"x","y"
,,"int","int"
,,-1134,3916
,,-1500,27000
,"barrel_water_01",,
,,"x","y"
,,"int","int"
,,-3498,16167
,"barrel_water_02",,
,,"x","y"
,,"int","int"
,,22408,13380
,,-7500,22000
,"barrel_land_02",,
,,"x","y"
,,"int","int"
,,-866,13583
,,500,34000
,,2500,-1000
,,19140,28434
,"Stone_01",,
,,"x","y"
,,"int","int"
,,15473,-2103
,"Stone_03",,
,,"x","y"
,,"int","int"
,,-466,-2958
,"Stone_04",,
,,"x","y"
,,"int","int"
,,14000,21000
,"Stone_05",,
,,"x","y"
,,"int","int"
,,-1976,12628
,"Stone_06",,
,,"x","y"
,,"int","int"
,,19500,12500
,"Palmtree_04",,
,,"x","y"
,,"int","int"
,,-3500,27000
,,-4293,12035
,"Stone_01_water",,
,,"x","y"
,,"int","int"
,,-7000,17500
,,25933,9916
,,-5000,38500
,"Stone_02_water",,
,,"x","y"
,,"int","int"
,,-1632,37416
,,24000,25500
,,26167,7291
,"Stone_05_underwater",,
,,"x","y"
,,"int","int"
,,23500,21000
,,-5500,20500
,,-4500,5000
,"Stone_03_underwater",,
,,"x","y"
,,"int","int"
,,26500,34500
,,-9500,8000
,,-12000,39000
,,8971,39266
,"Stone_01_underwater",,
,,"x","y"
,,"int","int"
,,-8000,25500
,,28000,29500
,,-7000,4000
,,1744,40052
,,19821,39833
,"Stone_02_underwater",,
,,"x","y"
,,"int","int"
,,-6000,23500
,,25000,4000
,,-4500,8500
,"plank3_animate",,
,,"x","y"
,,"int","int"
,,13000,37000
,,2500,-6500
,"plank4_animate",,
,,"x","y"
,,"int","int"
,,-6000,500
,"crowd_archer1_idle1",,
,,"x","y"
,,"int","int"
,,18833,24507
,"crowd_goblin1_idle1",,
,,"x","y"
,,"int","int"
,,20000,12500
,"crowd_barbarian1_idle1",,
,,"x","y"
,,"int","int"
,,25500,9500
,"Grassland_bush1",,
,,"x","y"
,,"int","int"
,,17500,34000
,"shipwreck2_part",,
,,"x","y"
,,"int","int"
,,6908,36560
,"dart_goblin_bar",,
,,"x","y"
,,"int","int"
,,-1703,19813
,"dart_goblin_mask",,
,,"x","y"
,,"int","int"
,,-984,24517
,"dart_goblin_bar_r",,
,,"x","y"
,,"int","int"
,,19800,5582
,"dart_goblin_mask_r",,
,,"x","y"
,,"int","int"
,,19133,10333
,"royal_recruit_laying-1",,
,,"x","y"
,,"int","int"
,,-1500,1000
,"royal_recruit_laying_1m",,
,,"x","y"
,,"int","int"
,,20000,21000
,"royal_recruit_shield",,
,,"x","y"
,,"int","int"
,,5500,13000
,"royal_recruit_spear",,
,,"x","y"
,,"int","int"
,,8500,13500
"Background",,,
