"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_spooky_arena.sc","spooky_base_01_2v2",
"Objects",,,
,"spooky_barrel_01",,
,,"x","y"
,,"int","int"
,,5838,37155
,,-1333,4333
,"spooky_building_blue_01",,
,,"x","y"
,,"int","int"
,,10174,38298
,,-17360,29122
,"spooky_building_blue_02",,
,,"x","y"
,,"int","int"
,,22094,28437
,"spooky_building_blue_03",,
,,"x","y"
,,"int","int"
,,-2635,35872
,"spooky_building_blue_04",,
,,"x","y"
,,"int","int"
,,18094,35950
,,-15000,35500
,"spooky_building_red_01",,
,,"x","y"
,,"int","int"
,,-4797,18285
,"spooky_building_red_02",,
,,"x","y"
,,"int","int"
,,21768,2077
,"spooky_building_red_03",,
,,"x","y"
,,"int","int"
,,-1384,-4182
,,33500,-2500
,"spooky_building_red_04",,
,,"x","y"
,,"int","int"
,,19711,-3692
,,-15667,10184
,"spooky_fence_02",,
,,"x","y"
,,"int","int"
,,8931,31897
,"spooky_fog_01",,
,,"x","y"
,,"int","int"
,,-3000,20000
,,16500,12000
,,1000,2500
,,14000,19500
,,17000,5000
,,1500,28000
,,4047,30807
,,-7500,4500
,,-7000,11500
,,-13000,20000
,,-7000,26500
,,-4000,30500
,,0,41000
,,5000,38500
,,12500,42000
,,15000,31500
,,22000,34000
,,19000,40500
,,23000,17000
,,7500,-500
,,-5000,
,,-8000,-6500
,,23500,-7500
,,29000,2500
,,26000,13000
,,30500,21000
,,-12500,29500
,,-11500,38500
,,32500,35500
,,-20500,500
,,-19500,13500
,"spooky_fountain_01",,
,,"x","y"
,,"int","int"
,,19839,14752
,"spooky_shed_01",,
,,"x","y"
,,"int","int"
,,-20139,16343
,"spooky_stands_blue_01",,
,,"x","y"
,,"int","int"
,,-3458,22785
,"spooky_stands_blue_02",,
,,"x","y"
,,"int","int"
,,21175,20236
,"spooky_stands_red_01",,
,,"x","y"
,,"int","int"
,,-3370,8304
,"spooky_stands_red_02",,
,,"x","y"
,,"int","int"
,,21318,8882
,"spooky_statue_01",,
,,"x","y"
,,"int","int"
,,2602,-1576
,"spooky_statue_02",,
,,"x","y"
,,"int","int"
,,15123,-1687
,"spooky_tower_blue_01",,
,,"x","y"
,,"int","int"
,,29873,36610
,,-5011,25796
,,25170,11599
,"spooky_tower_red_01",,
,,"x","y"
,,"int","int"
,,-4767,166
,"spooky_wall_01",,
,,"x","y"
,,"int","int"
,,8929,-4830
,"spooky_building_red_05",,
,,"x","y"
,,"int","int"
,,32000,13500
,"spooky_building_red_06",,
,,"x","y"
,,"int","int"
,,-14473,177
,"spooky_building_blue_06",,
,,"x","y"
,,"int","int"
,,33868,29321
,"spooky_tower_red_02",,
,,"x","y"
,,"int","int"
,,37500,1000
,"spooky_statue_01_overtime",,
,,"x","y"
,,"int","int"
,,2602,-1576
,"spooky_statue_02_overtime",,
,,"x","y"
,,"int","int"
,,15123,-1687
,"spooky_fountain_01_overtime",,
,,"x","y"
,,"int","int"
,,19839,14752
,"electric_vignette_01",,
,,"x","y"
,,"int","int"
,,9000,
"Background",,,
